#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,없음,0,82093,0,0,0,0,0,0
1,없음,192001,82093,1,0,0,0,1,1
2,월계수,192002,82093,1,0,0,0,2,1
3,하트,192003,82093,1,0,0,0,10,1
4,별,192004,82093,1,0,0,0,11,1
5,방어 역할,192005,82093,1,0,0,0,12,1
6,공격 역할,192006,82093,1,0,0,0,14,1
7,회복 역할,192007,82093,1,0,0,0,13,1
8,반짝이,192008,82093,1,0,0,0,32,1
9,짐승 발바닥,192009,82093,1,0,0,0,16,1
10,느낌표,192010,82093,1,0,0,0,17,1
11,물음표,192011,82093,1,0,0,0,18,1
12,나이트,192301,82093,124,0,0,0,2150,2
13,전사,192302,82093,125,0,0,0,2151,2
14,암흑기사,192303,82093,126,0,0,0,2152,2
15,건브레이커,192304,82093,127,0,0,0,2153,2
16,백마도사,192305,82093,128,0,0,0,2154,2
17,학자,192306,82093,129,0,0,0,2155,2
18,점성술사,192307,82093,130,0,0,0,2156,2
19,현자,192308,82093,131,0,0,0,2157,2
20,몽크,192309,82093,132,0,0,0,2158,2
21,용기사,192310,82093,133,0,0,0,2159,2
22,닌자,192311,82093,134,0,0,0,2160,2
23,사무라이,192312,82093,135,0,0,0,2161,2
24,리퍼,192313,82093,136,0,0,0,2162,2
25,음유시인,192314,82093,137,0,0,0,2164,2
26,기공사,192315,82093,138,0,0,0,2165,2
27,무도가,192316,82093,139,0,0,0,2166,2
28,흑마도사,192317,82093,140,0,0,0,2167,2
29,소환사,192318,82093,141,0,0,0,2168,2
30,적마도사,192319,82093,142,0,0,0,2169,2
31,별빛 팀,192401,82093,143,0,0,0,3000,10
32,그림자 팀,192402,82093,144,0,0,0,3001,10
33,크리스탈라인 컨플릭트: 제왕(시즌 1),192403,82093,145,0,0,0,3200,5
34,크리스탈라인 컨플릭트: 용자(시즌 1),192404,82093,146,0,0,0,3201,5
35,크리스탈라인 컨플릭트: 입상자(시즌 1),192405,82093,147,0,0,0,3202,5
36,크리스탈라인 컨플릭트: 브론즈(시즌 1),192406,82093,148,0,0,0,3208,5
37,크리스탈라인 컨플릭트: 실버(시즌 1),192407,82093,149,0,0,0,3207,5
38,크리스탈라인 컨플릭트: 골드(시즌 1),192408,82093,150,0,0,0,3206,5
39,크리스탈라인 컨플릭트: 플래티넘(시즌 1),192409,82093,151,0,0,0,3205,5
40,크리스탈라인 컨플릭트: 다이아몬드(시즌 1),192410,82093,152,0,0,0,3204,5
41,크리스탈라인 컨플릭트: 크리스탈(시즌 1),192411,82093,153,0,0,0,3203,5
42,컴패니언 특전 1,192901,82093,154,1032,1034,1036,4000,7
43,컴패니언 특전 2,192902,82093,155,1033,1035,1037,4001,7
44,절 바하무트 토벌전,192701,82093,319,0,0,0,2500,4
45,절 알테마 웨폰 파괴작전,192702,82093,320,0,0,0,2501,4
46,절 알렉산더 토벌전,192703,82093,321,0,0,0,2502,4
47,절 용시전쟁,192704,82093,322,0,0,0,2503,4
48,크리스탈라인 컨플릭트: 제왕(시즌 2),192412,82093,323,0,0,0,3209,5
