key,0
#,Name
int32,str
0,""
1,"얼음"
2,"해후"
3,"갈론드"
4,"동물"
5,"겨울"
6,"수염"
7,"캐주얼"
8,"특이함"
9,"교묘한 손재주"
10,"근동풍"
11,"해적"
12,"사령부"
13,"와일드"
14,"마물"
15,"멋내기 안경"
16,"요리사"
17,"여름"
18,"지성파"
19,"자연"
20,"양복"
21,"인형탈"
22,"쿨"
23,"아방가르드"
24,"탐험"
25,"라이더"
26,"귀족"
27,"무뢰한"
28,"선원"
29,"에스닉"
30,"연구자"
31,"뾰족함"
32,"광대"
33,"하늘도적"
34,"마술사"
35,"산적"
36,"시크하게"
37,"가로"
38,"붕대"
39,"요염함"
40,"대담함"
41,"신대륙풍"
42,"스터드"
43,"노동자"
44,"큐트"
45,"복슬복슬"
46,"술 장식"
47,"의식"
48,"릴랙스"
49,"꼬마 친구"
50,"국기"
51,"고저스"
52,"뼈"
53,"맹우"
54,"환상적"
55,"바람"
56,"숙련된 생산자"
57,"식재"
58,"십자"
59,"숙련된 무인"
60,"알라그 의례"
61,"가죽"
62,"숙련된 채집가"
63,"독서가"
64,"실크햇"
65,"동물 귀"
66,"심플"
67,"속옷"
68,"총잡이"
69,"의례"
70,"스칼라"
71,"긴 치마"
72,"섹시"
73,"미니스커트"
74,"아오자이"
75,"짧은 장화"
76,"접은 단"
77,"왕"
78,"베일"
79,"백합"
80,"베레모"
81,"털모자"
82,"팬지"
83,"데이지"
84,"단안경"
85,"앞챙모자"
86,"고글"
87,"뿔"
88,"중절모"
89,"낭인"
90,"시스이 궁"
91,"시민"
92,"하늘쥐"
93,"블리오"
94,"해적 셔츠"
95,"가방"
96,"겹옷조끼"
97,"진마"
98,"튜닉"
99,"내열 장비"
100,"판초"
101,"알라미고 가운"
102,"양복"
103,"정장웃옷"
104,"속옷"
105,"스카프"
106,"가을 외투"
107,"긴팔 셔츠"
108,"동방풍"
109,"긴장갑"
110,"팔덮개"
111,"손등장갑"
112,"손목"
113,"손톱"
114,"깔끔한 장갑"
115,"철권"
116,"샬레이안"
117,"손보호구"
118,"끝단 조임"
119,"나팔바지"
120,"나풀거리는 치마"
121,"짧은 바지"
122,"칠부바지"
123,"정장 하의"
124,"헐렁바지"
125,"앞자락"
126,"덧바지"
127,"긴바지"
128,"청바지"
129,"산악 민족"
130,"가죽신"
131,"샌들"
132,"딱 붙는 긴장화"
133,"군화"
134,"락슈미"
135,"유카타"
136,"천동"
137,"드라바니아 목장식"
138,"율동"
139,"붉은색 보석"
140,"침공"
141,"보라색 보석"
142,"노란색 보석"
143,"진성"
144,"양파"
145,"군장"
146,"표범 무늬"
147,"무장투구"
148,"기사 투구"
149,"안대"
150,"늑대 털가죽"
151,"미래"
152,"날개 장식"
153,"깃털 모자"
154,"짧은 셔츠"
155,"투기장"
156,"드레이프"
157,"가죽 웃옷"
158,"판금 갑옷"
159,"민소매"
160,"야만신풍"
161,"겐지"
162,"누비옷"
163,"미늘갑옷"
164,"패왕"
165,"무법자"
166,"용맥"
167,"승부사"
168,"혁명 투사"
169,"이국풍 누비옷"
170,"키마이라 소재"
171,"골드 소서"
172,"아라한"
173,"고리띠"
174,"반장갑"
175,"손목장갑"
176,"리본 장식"
177,"돌기 장식"
178,"디아볼로스"
179,"무릎 보호대"
180,"치마바지"
181,"알라미고"
182,"잃어버린 알라그"
183,"체크 무늬"
184,"홍련 의복"
185,"창천 의복"
186,"신생 의복"
187,"옆트임바지"
188,"장갑군화"
189,"부리신"
190,"나무덧신"
191,"가죽 신발"
192,"예식구두"
193,"파란색 보석"
194,"초록색 보석"
195,"하얀색 보석"
196,"검은색 보석"
197,"기동"
198,"야만족 장인"
199,"가면무도회"
200,"사슬갑옷"
201,"숲의 가면"
202,"조각상 가면"
203,"전통 구슬 장식"
204,"가죽끈 장화"
205,"영웅의 환영"
206,"탐험모자"
207,"프로토 알테마"
208,"벙어리장갑"
209,"초승달 장식"
210,"히아신스"
211,"부흥 작업복"
212,"달마스카"
213,"속삭임양모"
214,"비옷"
215,"동물 모양 투구"
216,"유골"
217,"구알라그"
218,"고깔모자"
219,"새의 머리"
220,"줄무늬"
221,"여우"
222,"술장식 장화"
223,"머리쓰개"
224,"소녀스러운 드레스"
225,"코스모스"
226,"카네이션"
227,"호접란"
228,"갈레말드"
229,"수호자"
230,"반란군"
231,"트리텔레이아"
232,"장미"
233,"오메가"
234,"요르하"
235,"모즈족"
236,"너덜너덜"
237,"전사의 손톱"
238,"모험의 첫걸음"
239,"벚꽃"
240,"이슈가르드의 최첨단"
241,"시그마"
242,"평화주창자"
243,"뿔"
244,"몬스터 헌터"
245,"새벽의 여행자"
246,"암흑가"
247,"꽃"
248,"관객"
249,"잠옷"
250,"이발리스"
251,"크리스타리움"
252,"용머리"
253,"롱카"
254,"야옹 선생"
255,"알라그"
256,"상급 알라그"
257,"무난한 캐주얼"
