#,Text
0,
1,(획득률+UNKNOWN%)
2,획득률xUNKNOWN
3,획득 가능
4,상위 레벨 아이템 획득률+UNKNOWN%
5,상위 레벨 아이템 획득률xUNKNOWN
6,상위 레벨 아이템 획득률 UNKNOWN%
7,하위 레벨 아이템 획득률+UNKNOWN%
8,하위 레벨 아이템 획득률xUNKNOWN
9,하위 레벨 아이템 획득률 UNKNOWN%
10,
11,
12,
13,
14,획득 수+UNKNOWN
15,획득 수×UNKNOWN
16,획득 수 UNKNOWN개
17,획득 수+UNKNOWN개(능력치 반영)
18,채집 횟수/내구도+UNKNOWN
19,채집 횟수/내구도+UNKNOWN(능력치 반영)
20,숨은 자원 출현률×0.00배
21,소장품 채집 가능
22,획득 수 보너스 발생률+UNKNOWN%
23,획득 수 보너스 발생률+UNKNOWN%(능력치 반영)
24,소장 가치 최대 시: 승화율+UNKNOWN%
25,소장 가치 최대 시: 승화율+UNKNOWN%(능력치 반영)
26,소장 가치+UNKNOWN(능력치 반영)
27,신중한 순화: 추가 효과 발생률＋UNKNOWN%(능력치 반영)
28,집중 검사: 증가율＋UNKNOWN%(능력치 반영)
29,가치 상향 효과+UNKNOWN%(능력치 반영)
30,소장 가치+UNKNOWN
31,신중한 순화: 추가 효과 발생률＋UNKNOWN%
32,집중 검사: 증가율＋UNKNOWN%
33,가치 상향 효과+UNKNOWN%
