#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,신생 에오르제아,61412,1,True
2,제7성력 스토리,61412,2,True
3,창천의 이슈가르드,61412,3,True
4,용시전쟁 완결편,61412,4,True
5,용시전쟁 전후편,61412,5,True
6,홍련의 해방자,61412,6,True
7,해방전쟁 전후편,61412,7,True
8,칠흑의 반역자,61412,8,True
9,새벽의 귀환편,61412,9,True
10,종말의 서곡편,61412,10,True
11,효월의 종언,61412,11,True
12,새로운 모험편,61412,12,True
13,황금의 유산,61412,13,True
14,황금의 유산 완결편,61412,14,True
15,윈터러의 책동편,61412,15,True
16,야만신의 위협,61411,16,True
17,바하무트,61411,17,True
18,크리스탈 타워,61411,18,True
19,알렉산더,61411,19,True
20,고대의 신들,61411,20,True
21,마하의 그림자,61411,21,True
22,차원의 틈 오메가,61411,22,True
23,차원의 틈 오메가 번외편,61411,22,True
24,이발리스로의 귀환,61411,23,True
25,사성수기담,61411,24,True
26,에덴,61411,25,True
27,요르하: 어둠의 묵시록,61411,26,True
28,웨폰 시리즈,61411,27,True
29,판데모니움,61411,28,True
30,판데모니움 번외편,61411,28,True
31,에오르제아의 신화,61411,29,True
32,아르카디아,61411,30,True
33,바나딜의 반향,61411,31,True
34,우호부족 이야기,61411,32,True
35,일일 퀘스트,61411,32,True
36,우호부족 이야기,61411,33,True
37,일일 퀘스트,61411,33,True
38,우호부족 이야기,61411,34,True
39,일일 퀘스트,61411,34,True
40,우호부족 이야기,61411,36,True
41,일일 퀘스트,61411,36,True
42,우호부족 이야기,61411,37,True
43,일일 퀘스트,61411,37,True
44,우호부족 이야기,61411,38,True
45,일일 퀘스트,61411,38,True
46,우호부족 이야기,61411,39,True
47,일일 퀘스트,61411,39,True
48,우호부족 이야기,61411,40,True
49,일일 퀘스트,61411,40,True
50,우호부족 이야기,61411,41,True
51,일일 퀘스트,61411,41,True
52,우호부족 이야기,61411,42,True
53,일일 퀘스트,61411,42,True
54,우호부족 이야기,61411,43,True
55,일일 퀘스트,61411,43,True
56,우호부족 이야기,61411,44,True
57,일일 퀘스트,61411,44,True
58,우호부족 이야기,61411,45,True
59,일일 퀘스트,61411,45,True
60,우호부족 이야기,61411,46,True
61,일일 퀘스트,61411,46,True
62,우호부족 이야기,61411,47,True
63,일일 퀘스트,61411,47,True
64,우호부족 이야기,61411,48,True
65,일일 퀘스트,61411,48,True
66,우호부족 이야기,61411,49,True
67,일일 퀘스트,61411,49,True
68,우호부족 이야기,61411,50,True
69,일일 퀘스트,61411,50,True
70,우호부족 이야기,61411,51,True
71,일일 퀘스트,61411,51,True
72,우호부족 이야기,61411,52,True
73,일일 퀘스트,61411,52,True
74,우호부족 이야기 외전,61411,53,True
75,우호부족 이야기 외전 창천편,61411,53,True
76,우호부족 이야기 외전 홍련편,61411,53,True
77,우호부족 이야기 외전 효월편,61411,53,True
78,용시전쟁 번외편,61411,54,True
79,새벽의 귀환 번외편,61411,54,True
80,새로운 모험 번외편,61411,54,True
81,힐디브랜드,61411,55,True
82,힐디브랜드 창천편,61411,55,True
83,힐디브랜드 홍련편,61411,55,True
84,돌아온 힐디브랜드,61411,55,True
85,맨더빌 웨폰,61411,55,True
86,돌아온 힐디브랜드 황금편,61411,55,True
87,조디악 웨폰,61411,56,True
88,아니마 웨폰,61411,56,True
89,금단의 땅 에우레카,61411,56,True
90,세이브 더 퀸,61411,56,True
91,팬텀 웨폰,61411,56,True
92,제7재해 회고록,61411,58,True
93,배달부 모그리,61411,58,True
94,성 앙달림 신학원기,61411,58,True
95,보이드 재생 계획,61411,58,True
96,타타루의 대박 상점,61411,58,True
97,도마 모험단,61411,57,True
98,도마 도읍지 부흥기,61411,57,True
99,이슈가르드 부흥 이야기,61411,57,True
100,이슈가르드 부흥 부가 퀘스트,61411,57,True
101,모웬 도구,61411,57,True
102,망자의 궁전,61411,57,True
103,천궁탑,61411,57,True
104,에우레카 오르토스,61411,57,True
105,노르브란트 순례길,61411,57,True
106,무인도 개척기,61411,57,True
107,변형 던전,61411,57,True
108,우주 개척 이야기,61411,57,True
109,우주 개척 부가 퀘스트,61411,57,True
110,초승달 섬,61411,57,True
111,부가 퀘스트: 라노시아,61411,59,True
112,부가 퀘스트: 검은장막 숲,61411,60,True
113,부가 퀘스트: 다날란,61411,61,True
114,부가 퀘스트: 커르다스,61411,62,True
115,부가 퀘스트: 모르도나,61411,63,True
116,부가 퀘스트: 이슈가르드,61411,64,True
117,부가 퀘스트: 아발라시아 구름바다,61411,65,True
118,부가 퀘스트: 고지 드라바니아,61411,66,True
119,부가 퀘스트: 저지 드라바니아,61411,66,True
120,부가 퀘스트: 드라바니아 구름바다,61411,66,True
121,부가 퀘스트: 이딜샤이어,61411,66,True
122,부가 퀘스트: 아지스 라,61411,67,True
123,부가 퀘스트: 랄거의 손길,61411,68,True
124,부가 퀘스트: 기라바니아 변방지대,61411,68,True
125,부가 퀘스트: 기라바니아 산악지대,61411,68,True
126,부가 퀘스트: 기라바니아 호반지대,61411,68,True
127,부가 퀘스트: 쿠가네,61411,70,True
128,부가 퀘스트: 홍옥해,61411,69,True
129,부가 퀘스트: 얀샤,61411,69,True
130,부가 퀘스트: 아짐 대초원,61411,69,True
131,부가 퀘스트: 크리스타리움,61411,71,True
132,부가 퀘스트: 율모어,61411,72,True
133,부가 퀘스트: 레이크랜드,61411,71,True
134,부가 퀘스트: 콜루시아 섬,61411,72,True
135,부가 퀘스트: 아므 아랭,61411,73,True
136,부가 퀘스트: 일 메그,61411,74,True
137,부가 퀘스트: 라케티카 대삼림,61411,75,True
138,부가 퀘스트: 템페스트,61411,76,True
139,부가 퀘스트: 올드 샬레이안,61411,77,True
140,부가 퀘스트: 라자한,61411,78,True
141,부가 퀘스트: 라비린토스,61411,77,True
142,부가 퀘스트: 사베네어 섬,61411,78,True
143,부가 퀘스트: 갈레말드,61411,79,True
144,부가 퀘스트: 비탄의 바다,61411,80,True
145,부가 퀘스트: 엘피스,61411,81,True
146,부가 퀘스트: 울티마 툴레,61411,82,True
147,부가 퀘스트: 툴라이욜라,61411,83,True
148,부가 퀘스트: 오르코 파차,61411,83,True
149,부가 퀘스트: 코자말루 카,61411,83,True
150,부가 퀘스트: 야크텔 밀림,61411,83,True
151,부가 퀘스트: 샬로니 황야,61411,84,True
152,부가 퀘스트: 헤리티지 파운드,61411,84,True
153,부가 퀘스트: 솔루션 나인,61411,84,True
154,부가 퀘스트: 리빙 메모리,61411,85,True
155,검술사 퀘스트,62301,86,True
156,격투사 퀘스트,62302,86,True
157,도끼술사 퀘스트,62303,86,True
158,창술사 퀘스트,62304,86,True
159,궁술사 퀘스트,62305,86,True
160,쌍검사 퀘스트,62309,86,True
161,환술사 퀘스트,62306,87,True
162,주술사 퀘스트,62307,87,True
163,비술사 퀘스트,62308,87,True
164,목수 퀘스트,62310,88,True
165,대장장이 퀘스트,62311,88,True
166,갑주제작사 퀘스트,62312,88,True
167,보석공예가 퀘스트,62313,88,True
168,가죽공예가 퀘스트,62314,88,True
169,재봉사 퀘스트,62315,88,True
170,연금술사 퀘스트,62316,88,True
171,요리사 퀘스트,62317,88,True
172,광부 퀘스트,62318,89,True
173,원예가 퀘스트,62319,89,True
174,어부 퀘스트,62320,89,True
175,나이트 퀘스트,62401,93,True
176,몽크 퀘스트,62402,93,True
177,전사 퀘스트,62403,93,True
178,용기사 퀘스트,62404,93,True
179,음유시인 퀘스트,62405,93,True
180,닌자 퀘스트,62410,93,True
181,백마도사 퀘스트,62406,94,True
182,흑마도사 퀘스트,62407,94,True
183,소환사 퀘스트,62408,94,True
184,학자 퀘스트,62409,94,True
185,암흑기사 퀘스트,62412,93,True
186,기공사 퀘스트,62411,93,True
187,점성술사 퀘스트,62413,94,True
188,사무라이 퀘스트,62414,93,True
189,적마도사 퀘스트,62415,94,True
190,건브레이커 퀘스트,62417,93,True
191,무도가 퀘스트,62418,93,True
192,현자 퀘스트,62420,94,True
193,리퍼 퀘스트,62419,93,True
194,바이퍼 퀘스트,62421,93,True
195,픽토맨서 퀘스트,62422,94,True
196,청마도사 퀘스트,62416,94,True
197,연철과 퀘스트,61411,90,True
198,수공과 퀘스트,61411,90,True
199,식약과 퀘스트,61411,90,True
200,조달과 퀘스트,61411,90,True
201,어업과 퀘스트,61411,90,True
202,중용의 공예관 외전,61411,90,True
203,고고학부 퀘스트,62521,91,True
204,천문학부 퀘스트,62521,91,True
205,의학부 퀘스트,62521,91,True
206,문화학부 퀘스트,62521,91,True
207,에테르학부 퀘스트,62521,91,True
208,마법대학 외전,62521,91,True
209,쇠붙이 퀘스트,62523,92,True
210,필기 공방 퀘스트,62523,92,True
211,과즙 팡팡 퀘스트,62523,92,True
212,약재상 퀘스트,62523,92,True
213,수산 퀘스트,62523,92,True
214,종합상가 외전,62523,92,True
215,방어 역할 퀘스트 칠흑편,62522,95,True
216,회복 역할 퀘스트 칠흑편,62522,95,True
217,물리 공격 역할 퀘스트 칠흑편,62522,95,True
218,마법 공격 역할 퀘스트 칠흑편,62522,95,True
219,역할 퀘스트 외전 칠흑편,62522,95,True
220,방어 역할 퀘스트 효월편,62522,95,True
221,회복 역할 퀘스트 효월편,62522,95,True
222,근거리 물리 공격 역할 퀘스트 효월편,62522,95,True
223,원거리 물리 공격 역할 퀘스트 효월편,62522,95,True
224,원거리 마법 공격 역할 퀘스트 효월편,62522,95,True
225,역할 퀘스트 외전 효월편,62522,95,True
226,방어 역할 퀘스트 황금편,62522,95,True
227,회복 역할 퀘스트 황금편,62522,95,True
228,근거리 물리 공격 역할 퀘스트 황금편,62522,95,True
229,원거리 물리 공격 역할 퀘스트 황금편,62522,95,True
230,원거리 마법 공격 역할 퀘스트 황금편,62522,95,True
231,역할 퀘스트 외전 황금편,62522,95,True
232,흑와단 퀘스트,61401,96,True
233,쌍사당 퀘스트,61402,96,True
234,불멸대 퀘스트,61403,96,True
235,기간 한정 퀘스트,61411,97,True
236,강신제,61411,97,True
237,한국 전용,61411,97,True
238,발렌티온데이,61411,97,True
239,발렌티온데이 & 프린세스데이,61411,97,True
240,프린세스데이,61411,97,True
241,프린세스데이 & 알 사냥 축제,61411,97,True
242,알 사냥 축제,61411,97,True
243,골드 소서 축제,61411,97,True
244,불꽃축제,61411,97,True
245,신생제,61411,97,True
246,수호천절,61411,97,True
247,별빛축제,61411,97,True
248,기타 기간 한정 이벤트,61411,97,True
249,특수 퀘스트,61411,98,True
250,방문자 퀘스트,61411,98,True
251,,0,0,False
252,,0,0,False
253,,0,0,False
254,,0,0,False
255,,0,0,False
256,,0,0,False
257,,0,0,False
258,,0,0,False
259,,0,0,False
260,,0,0,False
261,,0,0,False
262,,0,0,False
263,,0,0,False
264,,0,0,False
265,,0,0,False
266,,0,0,False
267,,0,0,False
268,,0,0,False
269,용병 의뢰,62501,99,False
270,목수 의뢰,62502,103,False
271,대장장이 의뢰,62503,104,False
272,갑주제작사 의뢰,62504,105,False
273,보석공예가 의뢰,62505,106,False
274,가죽공예가 의뢰,62506,107,False
275,재봉사 의뢰,62507,108,False
276,연금술사 의뢰,62508,109,False
277,요리사 의뢰,62509,110,False
278,광부 의뢰,62510,100,False
279,원예가 의뢰,62511,101,False
280,어부 의뢰,62512,102,False
281,흑와단 의뢰,62513,124,False
282,쌍사당 의뢰,62514,124,False
283,불멸대 의뢰,62515,124,False
284,던전,61801,125,False
285,레이드,61802,125,False
286,토벌전,61804,125,False
287,던전,61801,126,False
288,레이드,61802,126,False
289,토벌전,61804,126,False
290,딥 던전,61824,126,False
291,던전,61801,127,False
292,레이드,61802,127,False
293,토벌전,61804,127,False
294,딥 던전,61824,127,False
295,금단의 땅 에우레카,61833,127,False
296,던전,61801,128,False
297,레이드,61802,128,False
298,토벌전,61804,128,False
299,세이브 더 퀸,61838,128,False
300,던전,61801,129,False
301,레이드,61802,129,False
302,토벌전,61804,129,False
303,딥 던전,61824,129,False
304,변형/파생 던전,61846,129,False
305,던전,61801,130,False
306,레이드,61802,130,False
307,토벌전,61804,130,False
308,초승달 섬,61851,130,False
309,딥 던전,61824,130,False
310,,0,0,False
311,길드 작전,61803,125,False
312,,0,0,False
313,,0,0,False
314,,0,0,False
315,,0,0,False
316,,0,0,False
317,,0,0,False
318,,0,0,False
319,,0,0,False
320,,0,0,False
321,,0,0,False
322,,0,0,False
323,,0,0,False
324,,0,0,False
325,,0,0,False
326,,0,0,False
327,,0,0,False
328,,0,0,False
329,,0,0,False
330,,0,0,False
331,,0,0,False
332,,0,0,False
333,,0,0,False
334,,0,0,False
335,,0,0,False
336,,0,0,False
337,,0,0,False
338,,0,0,False
339,,0,0,False
340,,0,0,False
341,,0,0,False
342,주요 퀘스트: 구 버전,0,131,False
343,부가 퀘스트: 구 버전,0,131,False
344,클래스 퀘스트: 구 버전,0,131,False
345,잡 퀘스트: 구 버전,0,131,False
346,총사령부 퀘스트: 구 버전,0,131,False
