key,0,1,2,3,4,5,6,7
#,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"0",0,0,1,0,0
1000,"",0,"",0,0,0,0,0
1001,"목수 우주 데이터 1",0,"0",0,0,1,0,0
1002,"목수 우주 데이터 2",0,"0",0,0,1,0,0
1003,"목수 우주 데이터 3",0,"0",0,0,1,0,0
1004,"목수 우주 데이터 4",0,"0",0,0,1,0,0
1005,"대장장이 우주 데이터 1",0,"0",0,0,1,0,0
1006,"대장장이 우주 데이터 2",0,"0",0,0,1,0,0
1007,"대장장이 우주 데이터 3",0,"0",0,0,1,0,0
1008,"대장장이 우주 데이터 4",0,"0",0,0,1,0,0
1009,"갑주제작사 우주 데이터 1",0,"0",0,0,1,0,0
1010,"갑주제작사 우주 데이터 2",0,"0",0,0,1,0,0
1011,"갑주제작사 우주 데이터 3",0,"0",0,0,1,0,0
1012,"갑주제작사 우주 데이터 4",0,"0",0,0,1,0,0
1013,"보석공예가 우주 데이터 1",0,"0",0,0,1,0,0
1014,"보석공예가 우주 데이터 2",0,"0",0,0,1,0,0
1015,"보석공예가 우주 데이터 3",0,"0",0,0,1,0,0
1016,"보석공예가 우주 데이터 4",0,"0",0,0,1,0,0
1017,"가죽공예가 우주 데이터 1",0,"0",0,0,1,0,0
1018,"가죽공예가 우주 데이터 2",0,"0",0,0,1,0,0
1019,"가죽공예가 우주 데이터 3",0,"0",0,0,1,0,0
1020,"가죽공예가 우주 데이터 4",0,"0",0,0,1,0,0
1021,"재봉사 우주 데이터 1",0,"0",0,0,1,0,0
1022,"재봉사 우주 데이터 2",0,"0",0,0,1,0,0
1023,"재봉사 우주 데이터 3",0,"0",0,0,1,0,0
1024,"재봉사 우주 데이터 4",0,"0",0,0,1,0,0
1025,"연금술사 우주 데이터 1",0,"0",0,0,1,0,0
1026,"연금술사 우주 데이터 2",0,"0",0,0,1,0,0
1027,"연금술사 우주 데이터 3",0,"0",0,0,1,0,0
1028,"연금술사 우주 데이터 4",0,"0",0,0,1,0,0
1029,"요리사 우주 데이터 1",0,"0",0,0,1,0,0
1030,"요리사 우주 데이터 2",0,"0",0,0,1,0,0
1031,"요리사 우주 데이터 3",0,"0",0,0,1,0,0
1032,"요리사 우주 데이터 4",0,"0",0,0,1,0,0
1033,"광부 우주 데이터 1",0,"0",0,0,1,0,0
1034,"광부 우주 데이터 2",0,"0",0,0,1,0,0
1035,"광부 우주 데이터 3",0,"0",0,0,1,0,0
1036,"광부 우주 데이터 4",0,"0",0,0,1,0,0
