key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_000","이런 늙은이에게 무슨 볼일인가?
지금 자네는 내 얘길 들을 필요가 없어 보이네만."
1,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_010","라쇼의 의뢰를 받은 게 자네로구먼.
그래, 관상이 딱 영웅호걸 상이군그려…….
30층을 돌파하면 다시 나한테 말을 걸어주게나."
2,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_020","자네, 히루코를 쓰러뜨렸다면서.
혹시 31층 위에도 도전할 생각이라면
부탁 하나 해도 되겠나."
3,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_021","천궁탑 최상층에 도달한 자만이 가질 수 있는
진정한 영웅의 증거 4종…….
나는 그걸 모두 보고 싶다네."
4,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_022","물론 공짜로 보여달란 소리는 아닐세.
소원을 들어준다면 보상으로 내 보물을 주겠네.
……기다리고 있겠네, 영웅 양반."
5,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_030","훌륭하구먼, 아주 훌륭해.
천궁탑 최상층에 도달했다면서?
영웅이 못 된 나와는 비교도 안 될 정도의 무위로구먼."
6,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_031","그 기세로 진정한 영웅의 증거를 모두 가져와서 내게 보여주게나.
기다리고 있겠네, 영웅 양반!"
7,"TEXT_DEEPDUNGEON2ACHIEVEMENT_SYSTEM_000_032","<Sheet(Item,23177,0)/><13>FF0F02280BFF054974656DF25A890103FF04EBA5BCFF04EC9D84</13>
'해적 형제단 조달원'에게 건네면
4종류의 장신구와 교환할 수 있습니다."
8,"TEXT_DEEPDUNGEON2ACHIEVEMENT_SYSTEM_000_033","이 장신구를 모두 장착하거나 소지하고
'나이든 해적'에게 말을 걸면
업적과 특별한 아이템을 입수할 수 있습니다."
9,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_040","진정한 영웅의 증거를 모두 구했는가!
그렇다면 약속대로 내 보물을…….
아, 그런데 자네 짐이 가득 찼구먼."
10,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_041","짐을 정리한 뒤에 다시 말을 걸어주지 않겠나?
괜찮네, 지금까지 기다린 시간을 생각하면
그 정도 기다리는 건 어렵지 않네."
11,"TEXT_DEEPDUNGEON2ACHIEVEMENT_SYSTEM_000_042","'나이든 해적'에게 말을 걸어
업적과 특별한 아이템을 입수하려면
소지품에 1칸 이상의 빈 공간이 필요합니다."
12,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_050","오오, 진정한 영웅의 증거를 모두 손에 넣었는가.
잘했네, 참으로 대단하구먼…….
자네의 무위와 용기는 그 옛날의 텐젠도 뛰어넘었네!"
13,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_051","그렇다면 보상으로 내 보물을 받게나.
이건 해적 형제단의 초대 두목이 손에 넣은 뒤로
두목이었던 자가 대대로 물려받아온 물건이라네."
14,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_052","대대로 내려온 이 보물을 진정한 영웅이 나타났을 때 전달하는 것.
두목의 자리를 물려주고 난 자가 맡은 명예직이었네.
설마 그 임무를 완수할 수 있을지는 몰랐네만."
15,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_053","헐헐헐, 죽기 전에 좋은 이야깃거리가 생겼구먼.
고맙네, 진정한 영웅 양반.
그럼 이걸 받아주게나."
16,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_060","……헛, 짐이 너무 많은 것 아닌가?
그 상태로는 보물을 가져갈 수 없겠어.
정리한 다음 다시 말을 걸어주게나."
17,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_070","역대 두목들 사이에서 전해 내려오는 얘기로는,
'요괴 잡는 텐젠'의 주인공인 텐젠도
천궁탑 시련에 도전했었다고 하네."
18,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_071","하지만 그 대단한 영웅조차 정상에는 올라섰지만,
영웅의 증거를 모두 손에 넣을 수는 없었다고 하는구먼."
19,"TEXT_DEEPDUNGEON2ACHIEVEMENT_DD2FORMERLEADER_000_072","전설에 나온 대로 요괴를 잡으러 가서 그런 건지
아니면 뭔가 다른 이유가 있는 건지…….
그것까지는 알려져 있진 않다네."
20,"TEXT_DEEPDUNGEON2ACHIEVEMENT_TEST","（★未使用／削除予定★）"
