key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_1","환술사 길드에 잘 오셨습니다.
궁금한 것이 있다면 말씀하세요."
1,"TEXT_REGFSTCNJGUILD_00023_Q1_000_1","무엇을 물어보시겠습니까?"
2,"TEXT_REGFSTCNJGUILD_00023_A1_000_1","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGFSTCNJGUILD_00023_A1_000_2","'환술'에 대한 설명을 부탁한다"
4,"TEXT_REGFSTCNJGUILD_00023_A1_000_3","취소"
5,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_2","저는 환술사 길드에서 환술에 대해 가르치는
'길드마스터'입니다."
6,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_3","환술의 발전을 위해 후학을 양성함과 동시에
숲과 정령의 뜻대로 시민을 이끄는 것이 제 사명입니다."
7,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_4","외모가 어린아이 같아 어리둥절하실지도 모르지만
이래 봬도 당신보다 훨씬 오래 살았죠."
8,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_5","환술이란 생명에 작용하는 마법입니다.
주로 상처를 낫게 하거나 육체를 지켜주는 효과를 발휘하죠."
9,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_6","당신처럼 전장에 나설 일이 많은 모험가가 환술을 익히면
'치유사'로서 큰 활약을 펼칠 수 있겠죠.
하지만 환술이 가진 힘은 그뿐만이 아닙니다."
10,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_7","땅, 바람, 물과 같은 자연이 지닌 힘을 빌려서
파괴 현상을 일으켜 공격에 활용할 수도 있어요."
11,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_8","위력만 놓고 보자면, 파괴적인 마법을 내세우는
주술보다는 아무래도 약합니다만, 자신과 힘이 비슷한 적한테서
몸을 지킬 수단으로 삼기에는 부족함이 없을 겁니다."
12,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_9","높은 경지에 오른 환술사는 뛰어난 치유와 정화의 힘으로
독으로 고통스러워 하는 이를 구할 수도 있고
큰 부상으로 땅에 쓰러진 이조차 다시 일어서게 할 수 있습니다."
