key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_1","거기 가는 모험가.
원한다면 '전송마법'과 '에테라이트'에 대해
설명해줄 수 있는데, 듣고 가겠어?"
1,"TEXT_REGSEAAETHEGUID_00051_Q1_000_1","무엇을 물어보시겠습니까?"
2,"TEXT_REGSEAAETHEGUID_00051_A1_000_1","전송마법이란?"
3,"TEXT_REGSEAAETHEGUID_00051_A1_000_2","에테라이트란?"
4,"TEXT_REGSEAAETHEGUID_00051_A1_000_3","데존과 텔레포의 차이점은?"
5,"TEXT_REGSEAAETHEGUID_00051_A1_000_4","취소"
6,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_10","'전송마법'이 뭔지 이해하려면
일단 '에테르'에 대해 알고 있어야 해."
7,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_11","에테르는 모든 생명의 근원이자
마법의 원동력이 되는 힘이지."
8,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_12","자네나 나는 물론이고,
이 세상 모든 생명에 에테르가 깃들어 있어."
9,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_13","그건 우리가 밟고 있는 이 땅도 마찬가지지.
우리 눈에는 보이지 않지만, 땅속에도 '지맥'이라 불리는
에테르의 흐름이 사방팔방으로 뻗어있어."
10,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_14","이 '지맥'의 흐름을 타고
순식간에 원하는 장소로 이동하는 마법이
바로 '데존'이나 '텔레포' 같은 '전송마법'이지."
11,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_20","'에테라이트'는 전송마법을
보조하기 위해 만든 장치를 말해."
12,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_21","보다시피 결정화한 에테르……
즉 '크리스탈'을 사용하여 만들었지."
13,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_22","단순히 '지맥'의 흐름에 몸을 맡기는 건 쉬운 일이지만
그건 풍랑이 몰아치는 바다에 뛰어드는 거나 마찬가지야.
자칫하면 격렬한 흐름에 휩쓸려 돌아올 수 없게 될 거다."
14,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_23","에테라이트는 바로 그 격렬한 '지맥'의 흐름 속에서
어디로 나가면 되는지를 알려주는 등대 같은 존재지."
15,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_24","'지맥'의 흐름이 교차하는 지점에
에테라이트를 설치해야 비로소
그곳으로 이동할 수 있게 되는 거다."
16,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_25","단, 전송마법을 사용해서 원하는 곳으로 이동하려면
그곳에 있는 에테라이트를 만져 '교감'한 적이 있어야 돼.
새로운 에테라이트를 보면 제일 먼저 '교감'부터 하는 게 좋아."
17,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_30","전송마법에는 데존과 텔레포 두 가지가 있는데
그중에 더 사용하기 쉬운 건 데존이야."
18,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_31","데존은 정신 부담이 적기 때문에
손쉽게 사용할 수 있지."
19,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_32","하지만 에테라이트하고 강한 결속이 필요하기 때문에
미리 지정한 장소로만 전송이 가능한데
이 지정 장소를 '귀환 지점'이라고 불러."
20,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_33","반면 텔레포는 한 번이라도 교감한 적 있는
에테라이트라면 어디로든 갈 수 있지."
21,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_34","단, 이동할 때마다 일정 금액을 내야 하는 걸 잊지 마.
에테라이트 망을 복구하는 데 드는 비용이니 양해해주면 좋겠군."
22,"TEXT_REGSEAAETHEGUID_00051_SUNDHIMAL_000_35","텔레포는 정신적인 부담이 크기 때문에
안정된 상태에서 정신을 집중해야만 사용할 수 있어.
상황에 따라 두 마법을 적절히 구분해서 사용하는 게 중요하지."
