#,Unknown0,Unknown1
0,TEXT_REGSEAREDFARM_00070_ANAOC_000_1,"어서 오시게. 여기는 붉은수탉 농장일세.
무슨 일로 찾아오셨는가?"
1,TEXT_REGSEAREDFARM_00070_Q1_000_1,무엇을 물어보시겠습니까?
2,TEXT_REGSEAREDFARM_00070_A1_000_1,당신의 이야기를 들려달라고 한다
3,TEXT_REGSEAREDFARM_00070_A1_000_2,여기는 어떤 곳인지 물어본다
4,TEXT_REGSEAREDFARM_00070_A1_000_3,취소
5,TEXT_REGSEAREDFARM_00070_ANAOC_000_2,"나는 이 붉은수탉 농장을 관리하고 있는
농장장 어녹이란 사람일세.
원예가가 된 지 벌써 몇 년이 흘렀는지 모르겠군……."
6,TEXT_REGSEAREDFARM_00070_ANAOC_000_3,"나는 원래 재해 전에 일터에서 물러났던 몸이네만
피해 복구에 공헌하고 싶은 마음에
이렇게 다시 한번 괭이를 손에 쥐게 되었네."
7,TEXT_REGSEAREDFARM_00070_ANAOC_000_4,"다행히 우리 농장에는 열의 있는 젊은이들이 많이 모여있다네.
지금은 이들에게 내 경험과 지식을 전해주고
농장을 발전시키는 게 인생의 낙이 되었지."
8,TEXT_REGSEAREDFARM_00070_ANAOC_000_5,"이곳 붉은수탉 농장에서는
다양한 선진 농법을 시험하고 있다네."
9,TEXT_REGSEAREDFARM_00070_ANAOC_000_6,"요즘 들어 그 성과가 나타나기 시작한 덕에
많은 작물과 세 종류의 가축을 키우는
큰 농장으로 성장하게 된 걸세."
10,TEXT_REGSEAREDFARM_00070_ANAOC_000_7,"개척 정책을 추진하고 계신 제독님은
좋은 시범 사례라며 우리를 칭찬해주고 계시지."
11,TEXT_REGSEAREDFARM_00070_ANAOC_000_8,"당장 걱정되는 건 농장 경비가 허술하다는 점일세.
옛날에는 이 동네 해적들이 지켜주었으나,
지금 계신 제독님은 해적을 금지하고 계시니 말이야."
12,TEXT_REGSEAREDFARM_00070_ANAOC_000_010,"오오, 자네는……
그때는 우리에게 큰 도움을 줘서 정말 고마웠네."
13,TEXT_REGSEAREDFARM_00070_ANAOC_000_011,난 그럭저럭 잘 지내고 있네.
14,TEXT_REGSEAREDFARM_00070_ANAOC_000_012,"마을 사람들은 코볼드족이 언제 쳐들어올까 불안해하면서도
밤낮으로 뼈가 으스러져라 일하고 있지."
15,TEXT_REGSEAREDFARM_00070_ANAOC_000_013,"다들 이 농장이 잘되라고 그러는 거 아니겠는가.
농장장 입장에서는 눈물 나게 고마운 일이지."
16,TEXT_REGSEAREDFARM_00070_ANAOC_000_020,"자네도 다 아는 얘기겠지만……
듣고 싶다면 내 얼마든지 들려주지."
17,TEXT_REGSEAREDFARM_00070_ANAOC_000_021,"이곳 붉은수탉 농장에서는
다양한 선진 농법을 시험하고 있다네."
18,TEXT_REGSEAREDFARM_00070_ANAOC_000_022,"요즘 들어 그 성과가 나타나기 시작한 덕에
많은 작물과 세 종류의 가축을 키우는
큰 농장으로 성장하게 된 걸세."
19,TEXT_REGSEAREDFARM_00070_ANAOC_000_023,"개척 정책을 추진하고 계신 제독님은
좋은 시범 사례라며 우리를 칭찬해주고 계시지."
20,TEXT_REGSEAREDFARM_00070_ANAOC_000_024,"당장 걱정되는 건 농장 경비가 허술하다는 점일세.
옛날에는 이 동네 해적들이 지켜주었으나,
지금 계신 제독님은 해적을 금지하고 계시니 말이야."
