key,0,1
#,,
int32,str,str
0,"TEXT_COMDEFMOBOFFICER_00180_MOBOFFICER_000_000","'마물 수배 게시판'에 실려 있는 토벌 대상은
하나같이 매우 위험한 존재이기 때문에
실력이 뛰어난 장병만이 임무를 받을 수 있습니다."
1,"TEXT_COMDEFMOBOFFICER_00180_MOBOFFICER_000_001","수고 많으십니다.
'마물 사냥'에 관해 자세한 설명이 필요하시면
언제든지 제게 물어보십시오."
2,"TEXT_COMDEFMOBOFFICER_00180_Q1_000_000","무엇을 물어보시겠습니까?"
3,"TEXT_COMDEFMOBOFFICER_00180_A1_000_001","'마물 수배서'에 대해서"
4,"TEXT_COMDEFMOBOFFICER_00180_A1_100_002","'정예 마물'에 대해서"
5,"TEXT_COMDEFMOBOFFICER_00180_A1_000_002","'정예 마물 수배서'에 대해서"
6,"TEXT_COMDEFMOBOFFICER_00180_A1_000_003","'동맹 휘장'에 대해서"
7,"TEXT_COMDEFMOBOFFICER_00180_A1_000_004","취소"
8,"TEXT_COMDEFMOBOFFICER_00180_MOBOFFICER_000_002","'마물 사냥'에 관해 자세한 설명이 필요하시면
소속 총사령부의 '마물 사냥 담당관'에게
문의하시기 바랍니다."
9,"TEXT_COMDEFMOBOFFICER_00180_MOBOFFICER_000_010","'마물 수배 게시판'에 실려 있는 수배전단 중 하나입니다.
각지에 서식하는 마물 중에서
특히 문제가 되는 마물을 토벌 대상으로 지정하고 있습니다."
10,"TEXT_COMDEFMOBOFFICER_00180_SYSTEM_000_011","마물 수배 게시판에서 얻은 '마물 수배서'는
임무용 아이템 칸에 들어갑니다."
