key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_000","빈티 풀풀 나는 모험가가 뭐 하러 왔냐? 앙?
난 너 같은 놈한테 볼일 없어, 썩 꺼져!"
1,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_SYSTEM_000_001","고대의 무기를 제작하고 강화시킬 수 있는 직업은 다음과 같습니다.
나이트, 전사, 몽크, 용기사, 음유시인, 닌자,
흑마도사, 소환사, 백마도사, 학자."
2,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_001","빈티 풀풀 나는 모험가가 여긴 무슨 일이야? 어엉?
이 몸은 주전자 만드느라 바쁘시다!"
3,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_Q1_000_1","무엇을 물어보시겠습니까?"
4,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_A1_000_1","'고대의 무기'에 대해서"
5,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_A1_000_2","'아니마 웨폰'에 대해서"
6,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_A1_000_3","'주전자'에 대해서"
7,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_A1_000_4","취소"
8,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_010","……뭐야, 너냐.
고대의 무기는 잘 쓰고 있겠지!?"
9,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_020","나한테 이렇게나 많은 무기를 살려내게 하다니, 정말 대단하군.
네놈이 어떤 사정으로 뭐랑 싸우는지는 모르겠다만……
무리는 하지 마라. 가끔은 여기서 푹 쉬다 가라고."
10,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_030","잘잔인지 잘못잔인지 하는 이상한 노인네가 자꾸 귀찮게 하는데
네놈이 가서 상대 좀 해줘. 어디 먼 나라에서 왔다나?
난 주전자 만드느라 바쁘니까 그리 알아!"
11,"TEXT_REGFSTARMORCRAFTSMANLEGENDARY_00159_GEROLT_000_040","뭐어? 아트마가 어쨌다고?
그딴 건 술집에 달아둔 안주값도 안 돼!"
