key,0,1
#,,
int32,str,str
0,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_000","쿠뽀뽀~!
모그모그 고향에서 두 번째로 박식한
이 모그치한테 물어볼 게 있어쿠뽀?"
1,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_001","시두르구가 얼른 기운을 되찾았으면 좋겠다쿠뽀.
그러기 위해 필요한 건 역시 사랑쿠뽀?"
2,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_002","어라, 오늘은 리엘이랑 같이 안 왔네쿠뽀?
울지 마쿠뽀, 모그모그 고향에서 두 번째로 똑똑한
모그치가 말상대를 해 줄게쿠뽀~!"
3,"TEXT_REGDRA2MOGHOME_00287_SCENE00000Q","무엇을 물어보시겠습니까?"
4,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A1","당신의 이야기를 들려달라고 한다"
5,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A2","여기는 어떤 곳인지 물어본다"
6,"TEXT_REGDRA2MOGHOME_00287_SCENE00000A3","취소"
7,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_010","모그치는 이곳 '모그모그 고향'의 파수꾼이야쿠뽀!
이상한 낌새를 알아채서 바로 '모그린' 장로님과
'모그모그 호위단'에 알리는 게 모그가 할 일이지쿠뽀."
8,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_011","이변이 생겼을 때 빨리 알아채려면
세~심한 관찰력과 넓~은 지식이 필요해쿠뽀.
그래서 모그치는 모그린 님 다음으로 아는 게 많다쿠뽀!"
9,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_012","너도 어려운 일이 있으면 언제든지 모그한테 상의해쿠뽀.
이번엔 아무 데도 안 도망갈 테니까쿠뽀~!"
10,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_020","'모그모그 고향'은 모그들이 생활하는 곳이야쿠뽀!
'솜 알'이라는 무지무지 높은 산 꼭대기에 있어쿠뽀!
얼마나 높냐면…… 내려가 본 적이 없어서 모르겠다쿠뽀!"
11,"TEXT_REGDRA2MOGHOME_00287_MOGGIE_021","어쩌다 드래곤족의 포효에 깜짝 놀라거나
마물한테 쫓겨 다니는 것만 빼면 즐거운 보금자리야쿠뽀!"
