key,0,1
#,,
int32,str,str
0,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_010","앗, <If(PlayerParameter(4))>언니<Else/>오빠</If>!
미안하지만, 이 가게는 물건 파는 곳이 아니야.
필요한 게 있으면 로웨나 아줌마네 가게로 가봐!"
1,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_020","안녕~ <Highlight>ObjectParameter(1)</Highlight> <If(PlayerParameter(4))>언니<Else/>오빠</If>!
나한테 무슨 볼일 있어?"
2,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_030","안녕~ <Highlight>ObjectParameter(1)</Highlight> <If(PlayerParameter(4))>언니<Else/>오빠</If>!
또 만나서 반가워!
모험 이야기를 들려주려고?"
3,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_040","안녕~ <Highlight>ObjectParameter(1)</Highlight> <If(PlayerParameter(4))>언니<Else/>오빠</If>!
슬슬 올 줄 알았어.
새로운 모험 이야기가 있으면 들려줘!"
4,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_000_050","우와~! <Highlight>ObjectParameter(1)</Highlight> <If(PlayerParameter(4))>언니<Else/>오빠</If> 왔다!
저기 있잖아, 내가 얼~마나 기다렸는지 알아?
아, 참…… 또 모험 이야기 들려줘야 돼?"
5,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_Q1_000_000","무엇을 하시겠습니까?"
6,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_001","공상 수첩을 건넨다"
7,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_002","새로운 공상 수첩을 받는다"
8,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_100_002","공상 수첩에 대해서 물어본다"
9,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_A1_000_003","취소"
10,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_SHOP_0","쿠로의 상장: 금상을 교환"
11,"TEXT_CMNCNTWEEKLYBINGO_00372_KHLOEALIAPOF_SHOP_1","쿠로의 상장: 은상을 교환"
