key,0,1
#,,
int32,str,str
0,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_000","이곳은 농장 '바이론의 식량'이다.
농작물이라도 사러 온 거냐?"
1,"TEXT_REGGYR3BYRONSBREAD_00398_Q1_000_000","무엇을 물어보시겠습니까?"
2,"TEXT_REGGYR3BYRONSBREAD_00398_A1_000_001","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGGYR3BYRONSBREAD_00398_A1_000_002","여기는 어떤 곳인지 물어본다"
4,"TEXT_REGGYR3BYRONSBREAD_00398_A1_000_003","취소"
5,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_010","보다시피 난 여기서 밭을 갈고 있지.
땅은 메마르고 농사일은 힘만 드는데 수확은 적어서
내팽개치고 싶은 마음은 굴뚝 같지……."
6,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_011","하지만 알라가나에 돌아가 봤자
채석업이 쇠퇴한 지금 살림이 나아지리란 보장도 없어."
7,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_012","그렇다면 이를 악물고 밭을 잘 일궈서
적어도 아이들 세대엔 편하게 살 수 있게 해줘야겠지."
8,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_020","바이론 영감님이 만든 농원이야.
석재공이었던 영감님은 알라가나의 채석업이 쇠퇴하는 가운데,
적어도 일용할 빵만이라도 얻자는 생각으로 농업을 시작했지."
9,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_021","'바이론의 식량'이란 지명에는
영감님의 그런 바람이 담겨 있는 거지.
하지만 결국 영감님은 첫 수확을 앞두고 돌아가셨어."
10,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_022","그 후, 우리가 농장을 이어받아서 개간해왔고
적지만 그럭저럭 수확도 얻을 수 있게 되었지.
정말 요 몇 년 동안은 너무나 힘든 나날이었어……."
11,"TEXT_REGGYR3BYRONSBREAD_00398_IMMODESTMOUSE_000_023","이것도 다 영감님이 굶주린 배를 쥐어잡으면서
이 딱딱하게 메마른 땅을 열심히 일궈준 덕분이야.
그래서 우리는 여기를 쉽게 버릴 수 없어."
