key,0,1
#,,
int32,str,str
0,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_000","난 무기를 더 강하게 만드는 방법과
빚을 갚을 방법을 생각하느라 바빠.
생각이 정리될 때까지 저리 가 있어, 훠이, 훠이!"
1,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_010","무기를 더 강하게 만들 방법이 떠올랐지만
아무래도 네 무기는 아직 그럴 단계가 아닌 것 같군.
아네모스 지대에서 한계까지 강화하거든 다시 와!"
2,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_020","아, 왔구나, 모험가!
빚을 갚을 새로운 방법……이 아니군.
무기를 더 강하게 만들 방법이 떠올랐다!"
3,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_021","뭐야, 표정이 왜 그래?
이 천하의 명장 게롤트 님이 강화해주겠다고 하잖아.
감사한 척이라도 해라!"
4,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_022","그럼, 서로 이해했으니 설명해 주지.
현재 아네모스 지대에서 얻은 소재로 강화한 무기는
더 이상 강화할 수 없는 상태다."
5,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_023","강력한 바람속성의 힘 때문에 가공하는 데 지장이 있어.
억지로 아네모스 지대의 소재로 강화하려고 하면……
말짱 도루묵이 될 거야."
6,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_024","평범한 장인이라면 여기서 포기했겠지.
하지만 안심해……. 난 천재다!
해결할 방법을 이미 고안해냈지!"
7,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_025","속성의 힘이 치우쳐져 있다면……
균형을 다시 맞추면 되는 거다!"
8,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_026","즉, 너무나도 강력한 바람속성에 걸맞은
절묘한 양의 속성 에테르를 지닌 결정을 찾아
강화할 때 활용하면 된다는 거지."
9,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_027","그런 크리스탈을 어디서 구해야 할지 모르겠다는 얼굴이군.
흥! 그런 게 있을 리가 없잖아!
네가 만들어야지!"
