key,0,1
#,,
int32,str,str
0,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_KRILE_000_000","와줘서 고마워.
오래 기다리느라 힘들었지?
그럼, 이 섬의 탐색을 다시 시작하자!"
1,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_KRILE_000_001","그럼 일단 앞으로의 방침에 대해서……."
2,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_EJIKATSUNJIKA_000_002","서게이트 항구에서 너희가 이쪽에 있다고 들었다.
중요……하다고까진 할 수 없지만 어느 정도 정보를 얻었기에
약속대로 얘기를 해주러 왔다."
3,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_KRILE_000_003","쓸데없는 잘난 척은 여전하네…….
좋아, 먼저 정보 교환부터 하자.
우리가 지맥을 안정화시키려고 노력하고 있단 건 알고 있지?"
4,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_KRILE_000_004","그러면 그 뒷이야기부터 할게.
서게이트 항구 주변의 지맥을 안정화시켜서
작동하지 않던 중계 에테라이트를 작동시켰는데……."
5,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_Q1_000_000","뭐라고 하시겠습니까?"
6,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_A1_000_001","수수께끼의 남자를 만났다"
7,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_A1_000_002","갈러프의 과거를 보았다"
8,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_EJIKATSUNJIKA_000_010","수수께끼의 남자……?
조사대 인원이 아니란 얘긴가?
무슨 말인지, 상세히 말해봐."
9,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_EJIKATSUNJIKA_000_020","갈러프의 과거라고!?
그걸 봤다는 얘긴…… 아, 그래 '초월하는 힘'이군!
무슨 말인지 상세히 말해봐, 어서 얘기해보라고!!"
10,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_EJIKATSUNJIKA_000_030","갑자기 나타나 자칭 '악을 물리치는 힘'이라는 수수께끼의 남자…….
봉인에 대해서 얘기하는 과거의 갈러프와 사람들……."
11,"TEXT_CTSERKEUREKA2EVENTKRILE_00498_KRILE_000_031","할아버지들이 '뭔가'를 봉인한 곳은
발 섬이 틀림없을 거야.
난 전혀 모르겠지만, 에지카 넌 혹시 짐작 가는 데 있어?"
