key,0,1
#,,
int32,str,str
0,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_000","……난 에오르제아 동맹군의 일원이 아니야.
뭐, 허락을 받고 여기에 와 있기는 하지만."
1,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_001","……호오, 클랜의 동료인가?
난 이 일대의 정예 마물을 쫓고 있어.
정보가 필요하면 가르쳐줄 수도 있지……."
2,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_Q1_000_000","무엇을 물어보시겠습니까?"
3,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_001","B급: 넘버 XIX '땅거미의 야미니'"
4,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_002","B급: 잔인한 유괴범 '오젤룸'"
5,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_003","A급: 붉은 녹의 사냥꾼 '오르쿠스'"
6,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_004","A급: 눈을 사냥하는 거대 벌 '얼'"
7,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_005","S급: 삼천 년의 꽃 '우담바라'"
8,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_A1_000_006","취소"
9,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_010","칼리아나파 아난타족 중에 '야미니'라는 소녀가 있었어.
그 소녀는 풍부한 마력을 갖고 태어났는데
이윽고 제국군에 징용당해서 끌려갔지."
10,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_011","동맹군에서 보낸 첩보원이 제공한 정보에 따르면
그 소녀는 알라미고 시내 일각에 세워진
수상한 실험 시설에 수용되었다고 해."
11,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_012","그 안에서 대체 무슨 일이 벌어졌는지는 아무도 몰라.
하지만 다시 돌아왔을 때 그 소녀는 자아를 잃고
닥치는 대로 사람을 공격하는 무시무시한 존재가 되어 있었지."
12,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_020","'오젤룸'은 낫처럼 예리한 부리를 가진 괴조야.
날개가 발달하지 않아 날지는 못하는데, 놀라울 정도로 강한 다리 힘을 이용해서
뛰어오르면 단번에 바위산을 뛰어넘을 정도라더라."
13,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_021","포악하고 육식을 즐기는 오젤룸은
변방지대에 사는 아난타족이나 메씨족 미코테에게
큰 위협이 되고 있는 모양이야."
14,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_022","사실, 몇 년 전에 굽어보는 바위에서
메씨족 아이들이 잇달아 실종되는 사건이 일어났는데
가장 유력한 용의자가 오젤룸이라고 들었어."
15,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_030","개미귀신에게는 맹금류 같은 천적이 많아서
 원래 땅속에 숨어서 사냥하는데 '오르쿠스'는 달라.
스스로 지상에 모습을 드러내고 사냥감을 찾아다니지."
16,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_031","하긴 당연한 일이야…….
그놈은 강철도 녹일 만큼 강력한 분비액을 몸속에서 만들어서
분사하는 능력을 가지고 있거든."
17,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_032","소문으로는 그런 능력을 발휘하기 시작한 건
현자의 나무 주변에서 사냥하게 되면서래.
돌연변이를 일으키는 원인이라도 있었던 걸까?"
18,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_040","'얼'이라는 거대한 벌에 대해 알려달라고?
그놈 특징은, 곰도 즉사할 만큼 강력한 독침과
날갯짓으로 일으키는 폭풍 같은 충격파야."
19,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_041","이건 아난타족한테 들은 얘기인데
한때 메씨족의 '눈'이 일족을 지키려고 그놈과 싸우다가
독침을 맞고도 목숨을 바쳐 동굴에 가뒀다더라고."
20,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_042","그런데 용숨결 구덩이가 생겼을 때의 충격으로 동굴이 무너졌는지
봉인했던 그놈이 요즘 들어 나타나기 시작한 거야."
21,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_050","'우담바라'는 신출귀몰한 거대 식인 식물이야.
평소에는 땅속에 몸을 숨기고 사냥감을 기다리는지
발견하기 쉽지 않은 모양이야."
22,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_051","랄거 성도교의 오래된 경전에 기록된,
3000년에 한 번만 꽃을 피우는 전설의 식물인
'우담바라'라는 이름으로 불리는 것도 그만큼 발견하기 어려워서 그래."
23,"TEXT_CTSHNT40CASTRUMORIENS_00425_YAYANEJA_000_052","일설에 따르면 다른 식물의 소리 없는 비명을 듣고
싱싱한 사냥감이 다가오는 것을 감지한대.
그놈을 땅속에서 잘 끌어낼 수 있으면 좋을 텐데……."
24,"TEXT_CTSHNT40CASTRUMORIENS_00425_TALK_ACTOR","（★未使用／削除予定★）"
