key,0,1
#,,
int32,str,str
0,"TEXT_FESNYR2019_00442_BOARSERVER_000_000","저는 동방에서 온 사절단의 일원입니다.
궁금하신 것이 있으면 뭐든 말씀해 주십시오."
1,"TEXT_FESNYR2019_00442_Q1_000_1","무엇을 물어보시겠습니까?"
2,"TEXT_FESNYR2019_00442_A1_000_1","여기서 무슨 일을 하고 있는지 물어본다"
3,"TEXT_FESNYR2019_00442_A1_000_2","'강신제'란 무엇인지 물어본다"
4,"TEXT_FESNYR2019_00442_A1_000_3","'떡 찧기'에 대해서 물어본다"
5,"TEXT_FESNYR2019_00442_A1_000_4","취소"
6,"TEXT_FESNYR2019_00442_BOARSERVER_000_001","네에, 저희들은 '강신제'의 계절을 맞아
에오르제아와 친목을 다지기 위해
저 멀리 동방에서 온 사절단입니다."
7,"TEXT_FESNYR2019_00442_BOARSERVER_000_002","저희 사절단의 대표, '돼지 사또'님과 함께
'강신떡'을 나눠드리는 행사를 기획하고 있습니다.
많은 기대 부탁드립니다!"
8,"TEXT_FESNYR2019_00442_BOARSERVER_000_010","네, 모험가님께서 고양이 사또 녀석을 혼쭐내주신 덕분에
무사히 '강신제'가 진행되고 있답니다."
9,"TEXT_FESNYR2019_00442_BOARSERVER_000_011","축제 기간 중에는 계속해서 '강신떡'을 나눠드릴 예정이니
혹시 마음이 내키시면 또다시 떡을 회수해주십시오!"
10,"TEXT_FESNYR2019_00442_BOARSERVER_000_030","네에, 저희들은 '강신제'의 계절을 맞아
에오르제아와 친목을 다지기 위해
저 멀리 동방에서 온 사절단입니다."
11,"TEXT_FESNYR2019_00442_BOARSERVER_000_031","림사 로민사에서 저희들의 대표 '돼지 사또'님이
'강신떡'을 나눠드리는 행사를 기획하고 계십니다.
괜찮으시다면 한번 보러 가주십시오!"
12,"TEXT_FESNYR2019_00442_BOARSERVER_000_040","이런, 모르십니까?
동방 사람인 제가 설명하는 것도
왠지 좀 이상하긴 합니다만……."
13,"TEXT_FESNYR2019_00442_BOARSERVER_000_041","'강신제'란 새로운 계절의 시작을 축하하는 거룩한 축제입니다.
이 땅에서는 열두 신 중에서 새로운 주신을 뽑는다고 하는데,
이번엔 지하와 상인의 신 '날달'님이 선택되었다는군요. "
14,"TEXT_FESNYR2019_00442_BOARSERVER_000_042","한편 동방에서는 신화에 등장하는 12마리 동물 중에서
새로운 계절을 상징하는 동물을 뽑는 전통이 있습니다만,
올해에는 '돼지'가 뽑혔습니다."
15,"TEXT_FESNYR2019_00442_BOARSERVER_000_043","돼지를 모르시진 않으시겠지요?
에오르제아에선 '멧돼지'라 불리는 바로 그 동물이랍니다.
이것도 동방의 문화니까 이해 부탁드립니다."
16,"TEXT_FESNYR2019_00442_BOARSERVER_000_050","'떡 찧기'는 복을 부르는 떡인 '강신떡'을 만드는 걸 말합니다.
동방에선 따끈따끈하게 쪄낸 쌀을 큰 절구에 넣고
절굿공이로 치대어 하얗고 부드러운 '떡'을 만듭니다."
17,"TEXT_FESNYR2019_00442_BOARSERVER_000_051","하지만 실제로 보시는 게 더 알기 쉽겠지요.
'떡 종사관'이 '떡 찧기'를 보여드리고 있으니
관심이 있으시면 가서 직접 한번 보시는 게 어떠실는지요?"
18,"TEXT_FESNYR2019_00442_BOARSERVER_000_052","'떡 찧기'는 중부 라노시아 산들바람 관문의 남동쪽,
저지 라노시아의 소금기둥 해변 동쪽에서 하고 있습니다."
19,"TEXT_FESNYR2019_00442_TALK_ACTOR","（★未使用／削除予定★）"
