key,0,1
#,,
int32,str,str
0,"TEXT_CMNFATSHOP1N4FIELD_00583_SIULMET_000_001","미안하지만 준비 중이야.
예정됐던 상품이 늦게 들어올 것 같거든.
가게를 열게 되면 잘 부탁할게."
1,"TEXT_CMNFATSHOP1N4FIELD_00583_SYSTEM_000_002","이 광역 무역상과 거래하려면
'주요 퀘스트: 칠흑의 반역자'를
특정 상태까지 완료할 필요가 있습니다."
2,"TEXT_CMNFATSHOP1N4FIELD_00583_SIULMET_001_001","여기선 광역 무역상으로서
레이크랜드의 특산품을 취급하고 있어.
단, 대금 지불은 '두 빛깔 보석'으로 부탁해."
3,"TEXT_CMNFATSHOP1N4FIELD_00583_SYSTEM_999_001","좁 요새의 광역 무역상 슈르메와 거래가 가능해졌습니다!"
4,"TEXT_CMNFATSHOP1N4FIELD_00583_SYSTEM_001_002","이 지역의 광역 교역상과 거래할 수 있게 되었습니다.
'두 빛깔 보석'과 맞바꿔서 다양한 물품을 입수할 수 있습니다."
5,"TEXT_CMNFATSHOP1N4FIELD_00583_SYSTEM_001_003","또한 광역 무역상이 취급하는 상품의 품목은
그 지역의 돌발 임무 달성 횟수에 따라 늘어납니다.
적극적으로 돌발 임무에 도전해 보십시오."
6,"TEXT_CMNFATSHOP1N4FIELD_00583_SIULMET_002_001","자, 지금 거래 가능한 물건은 이 정도다.
레이크랜드의 치안이 안정된다면
품목도 더 다양해질 텐데 말이지……."
7,"TEXT_CMNFATSHOP1N4FIELD_00583_SIULMET_002_002","최근 들어 레이크랜드의 치안이 개선됐어.
도로의 물류도 함께 안정돼서 거래 품목도
조금 더 다양해졌지."
8,"TEXT_CMNFATSHOP1N4FIELD_00583_SIULMET_002_003","자, 여기 다양한 특산품을 한번 구경해 봐!
레이크랜드의 치안이 예전과는 비교가 안 될 정도로
안정된 덕분에 좋은 상품을 들여올 수 있게 됐거든!"
9,"TEXT_CMNFATSHOP1N4FIELD_00583_ZUMUTT_000_001","라리호!
찾아와 줘서 정말 기쁘긴 한데 아직 준비 중이야.
상품이 들어오는 대로 가게를 열 거야."
10,"TEXT_CMNFATSHOP1N4FIELD_00583_ZUMUTT_001_001","라리호!
난 이 마을에서 광역 무역상을 하고 있어!
'두 빛깔 보석'과 섬의 특산품을 교환할 수 있어!"
