key,0,1
#,,
int32,str,str
0,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_DRAKE_000_000","앗, 모험가님!
로고스 샤드의 감정은 조금 더 기다려 주십시오.
지금 도구 조정 중이라…… 번거롭게 해드려서 죄송합니다."
1,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_DRAKE_000_010","늘 로고스 융합기를 이용해주셔서 감사합니다.
사실은 모험가님에게 자극을 받았는지,
스승님께서 기억 주입법에 대해 추가 연구를 시작하셨어요."
2,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_DRAKE_000_011","원래 이쯤 되면 연구도 일단락되었을 테니
성과를 자랑하러…… 응?"
3,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_GEROLT_000_012","뭐야! 너, 아직도 있었냐?
이렇게까지 때맞춰 있다니 소름 끼칠 지경이구만!"
4,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_GEROLT_000_013","노, 농담이야, 그렇게 화내지 마.
네놈도 솔깃해할 얘기를 가져왔으니까.
마음 풀어라, 어?"
5,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_DRAKE_000_014","그렇다면 기억 주입법을 응용해서
새로운 뭔가를 만들 수 있게 된 건가요?"
6,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_GEROLT_000_015","그렇지.
히다토스 지대의 재료로 방어구를 강화할 수 있게 되었다!"
7,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_GEROLT_000_016","뭐, 늘 그렇지만 난 무기 강화를 하느라 바빠.
설계도는 '조사대 장인'에게 맡겨두었으니
필요한 재료와 교환해서 그 녀석한테 방어구를 강화해 달라고 해."
8,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_GEROLT_000_017","좋아, 그럼 나는 이만 갈게.
오랜만에 이것저것 연구할 수 있어서 즐거웠다!"
9,"TEXT_CTSERKCTSERKEUREKA4MAGIAARCAGUIDE_00560_DRAKE_000_018","이렇게 된 이상, 로고스 융합기처럼
방어구 강화도 많은 이용 부탁드려요!"
