key,0,1
#,,
int32,str,str
0,"TEXT_CTSSFSCHARACTER4_00541_GREETING_ADKIRAGH_000_000","어서 와!
이 몸의 협력자, <Highlight>ObjectParameter(1)</Highlight>!
벼랑 끝 주점이 위기에서 벗어날 수 있도록 잘 부탁해!"
1,"TEXT_CTSSFSCHARACTER4_00541_GREETING_ADKIRAGH_000_001","어서 와, <Highlight>ObjectParameter(1)</Highlight>!
이제 손님도 서서히 늘고 있어!"
2,"TEXT_CTSSFSCHARACTER4_00541_GREETING_ADKIRAGH_000_002","응?
누군가 했더니, <Highlight>ObjectParameter(1)</Highlight><13>FF0820022903EB0203FF07EC9E96EC9584FF0AEC9DB4EC9E96EC9584</13>!
벼랑 끝 주점을 도와줘서 늘 고마워!"
3,"TEXT_CTSSFSCHARACTER4_00541_GREETING_ADKIRAGH_000_003","기다리고 있었어, <Highlight>ObjectParameter(1)</Highlight>.
자네 협력 덕분에 쉴 틈도 없이 아주 바쁘다니까!
이런 걸 즐거운 비명이라고 한다지!?"
4,"TEXT_CTSSFSCHARACTER4_00541_GREETING_ADKIRAGH_000_004","이 몸의 친구, <Highlight>ObjectParameter(1)</Highlight>!
오늘은 납품이야? 아니면 이 몸을 위한 의상을 가져온 거야?
어느 쪽이든 자네의 방문은 언제나 날 설레게 한다니까!"
5,"TEXT_CTSSFSCHARACTER4_00541_TOPMENU_000_000","무엇을 하시겠습니까?"
6,"TEXT_CTSSFSCHARACTER4_00541_TOPMENU_000_001","의뢰물 건네주기(<Sheet(ENpcResident,IntegerParameter(1),0)/>: 남은 횟수 <Value>IntegerParameter(2)</Value>회)"
7,"TEXT_CTSSFSCHARACTER4_00541_TOPMENU_000_002","아드키라에게 장비 투영하기"
8,"TEXT_CTSSFSCHARACTER4_00541_TOPMENU_000_003","'단골 거래'에 대해 물어보기"
9,"TEXT_CTSSFSCHARACTER4_00541_TOPMENU_000_004","취소"
10,"TEXT_CTSSFSCHARACTER4_00541_GUIDEMENU_000_000","무엇을 물어보시겠습니까?"
11,"TEXT_CTSSFSCHARACTER4_00541_GUIDEMENU_001_000","아드키라의 신뢰도에 대하여"
12,"TEXT_CTSSFSCHARACTER4_00541_GUIDEMENU_007_000","납품 조건과 보상에 대해서"
