key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_000","……이곳 일대는 악취가 코를 찌르지?
난 여기 온지 아직 얼마 안 됐지만
이 거리에 대해 알고 싶다면 알려주지."
1,"TEXT_REGNOR4GATETOWN_00591_Q1_000_000","무엇을 물어보시겠습니까?"
2,"TEXT_REGNOR4GATETOWN_00591_A1_000_001","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGNOR4GATETOWN_00591_A1_000_002","여기는 어떤 곳인지 물어본다"
4,"TEXT_REGNOR4GATETOWN_00591_A1_000_003","취소"
5,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_010","……원래는 근처 어촌에 살고 있었는데
빈곤한 생활이 지긋지긋해지더군.
그래서 율모어에서의 생활을 꿈꾸며 얼마 전부터 여기서 살고 있지."
6,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_011","딱히 이렇다 할 재주도 없어서 '위쪽'으로 올라갈 가망은 없지만
악취에 익숙해지니 이곳 생활도 그렇게 나쁘진 않은 것 같아."
7,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_012","여긴 미친 곳이지만 고향에 돌아갈 생각은 없어.
난 집도 가족도 전부 버리고 여기에 왔거든.
떨어지는 찌꺼기나 받아먹으며 기회가 오길 기다려야지."
8,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_014","여기에서 자유시민이 버리는
찌꺼기나 받아먹으며 살아왔는데
새로운 원수의 방침 전환으로 이 생활도 끝이라고 해."
9,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_015","이제부터는 스스로 벌어서 먹고살아야 하는데……
그게 당연한 삶의 방식이겠지만
생각이 바로 바뀌진 않는 법이야."
10,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_020","여긴 '문전촌'이다.
나처럼 율모어에 들어가고 싶어도 못 들어가는 사람들이
'위'에서 떨어지는 찌꺼기를 받아먹으며 살아가는 장소지."
11,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_021","율모어의 원수, 돈 바우스리의 비호 아래에 있는 한
이 문전촌도 죄식자의 습격을 받을 걱정은 없어.
더구나 무상 식량 배급까지 해주니…… 최고잖아?"
12,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_022","그래도 율모어에 가게 된다면 여기와는 하늘과 땅 차이겠지.
뭔가 특기라도 익혀 두면 귀한 분들의 눈에 들 가능성이 있어.
그렇게 되면 인재로 팔려서 주인을 모실 수가 있는 거지!"
13,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_023","그런데 지난번 소동 이후에 무상 배급됐던 '메올'의 정체가
죄식자의 고기였다는 소문이 돌고 있어…….
그게 정말이라 생각하면 머리가 돌아버릴 것 같아…… 우웩……."
14,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_024","더구나 마침 위에서 소동이 일었을 때
이곳 고참 녀석들이 일제히 꼭두각시처럼 헛소릴 지껄이던데…….
율모어…… 왠지 꺼림칙한 기분이 들어……."
15,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_030","여긴 '문전촌'이다.
지금까진 율모어에 들어가고 싶어도 선택받지 못해
어쩔 수 없는 낙오자들이 사는 곳이었는데."
16,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_031","앞으로는 원하는 사람은
일을 얻거나 다른 마을로 이주할 수 있는 모양이야.
그렇다면 이곳에도 변화의 바람이 불겠지."
17,"TEXT_REGNOR4GATETOWN_00591_THYTH_000_032","율모어에 흡수되어 훌륭한 도시의 일부가 될지,
사람들이 떠나 을씨년스러운 폐허로 변할지,
그건 알 수 없지만…… 좋은 변화일 거야, 분명."
