key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN40KUGANEMINSTREL_00653_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN40KUGANEMINSTREL_00653_Q1_000_001","어떤 이야기를 들려주시겠습니까?"
2,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_GREETING_000","안녕, 최근에 한 경험 중에 재밌는 거 없었어?
내가 노래로 만들어 부를 만한 모험담이 있다면
꼭 들려줬으면 좋겠는데 말이야."
3,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MENU_CANCEL","취소"
4,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_NOSELECT_000","……지금은 과거를 회상하는 것보다 더 소중한 일이 있나 보지?
후후후, 미래의 모험을 향해 달려가는 너의 눈동자는 아주 멋져.
과거의 격전을 얘기하고 싶어지면 언제든지 또 찾아오도록 해."
5,"TEXT_CTSOPN40KUGANEMINSTREL_00653_MINSTREL_NOCONTENT_000","……아 그렇지, 지난번에 네가 얘기해 준 모험담 기억하지?
거기서 영감을 얻어 만든 희곡이 '무지코 극장'에서 호평 일색이야!
관객들의 미소는 우리 창작자들에겐 활력의 원천이지."
6,"TEXT_CTSOPN40KUGANEMINSTREL_00653_SYSTEM_OPENCONTENT_000","（★未使用／削除予定★）"
7,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_000","자, 오늘은 어떤 이야기를 들려주려나?"
8,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_001","……죽은 딸을 부활시키기 위해
치유를 관장하는 야만신, 락슈미에 의지했던 어머니…….
그리고 영혼 없는 인형이 된 딸…… 이리도 슬픈 이야기가 있나."
9,"TEXT_CTSOPN40KUGANEMINSTREL_00653_WANDERINGMINSTREL_000_002","치유의 힘으로 부활하려 한들 영혼은 이미 육체 밖에 있고
사라진 영혼을 기리고 슬픔에 고뇌하는 마음을 치유하기 위해
계속 마음을 바친다……."
