key,0,1
#,,
int32,str,str
0,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_000","특별한 장식용 달걀을 낳는 닭이 도망쳐 버렸어!
어쩌면 좋아!"
1,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_001","돌발 임무 ""알 사냥 축제 '끈끈이는 끈적끈적'""에 참가하려면
퀘스트 '알 사냥은 토끼 손으로'를 진행해야 합니다."
2,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_002","특별한 장식용 달걀을 낳는 닭이 도망쳐 버렸어!
괜찮다면 붙잡는 걸 도와주지 않을래?
붙잡는 방법은 가르쳐줄게!"
3,"TEXT_FESEST2020TRANSFORM_00668_Q1_000_000","무엇을 하시겠습니까?"
4,"TEXT_FESEST2020TRANSFORM_00668_A1_000_001","닭 포획 돕기"
5,"TEXT_FESEST2020TRANSFORM_00668_A1_000_002","닭 포획 방법 듣기"
6,"TEXT_FESEST2020TRANSFORM_00668_A1_000_003","취소"
7,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_010","돌발 임무 ""알 사냥 축제: 끈끈이는 끈적끈적""에 참가하려면
투사 또는 마법사 클래스여야 합니다."
8,"TEXT_FESEST2020TRANSFORM_00668_Q2_000_000","닭 포획을 도우시겠습니까?"
9,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_012","고마워!
그럼 닭을 붙잡기 위한 그물하고 끈끈이……
그리고 도와주는 사람에겐 토끼 인형탈을 빌려줄게!"
10,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_013","'인형탈 착용' 상태를 해제하고 싶을 때는
전용 액션 '인형탈 벗기'를 사용하면
원래대로 돌아갈 수 있습니다."
11,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_014","또한 실수로 '인형탈 착용' 상태가 해제되었을 경우에는
다시 한번 '알 사냥 축제 실행위원'에게 말을 걸어주세요."
12,"TEXT_FESEST2020TRANSFORM_00668_Q3_000_000","무엇을 물어보시겠습니까?"
13,"TEXT_FESEST2020TRANSFORM_00668_A3_000_001","닭의 포획 방법을 물어본다"
14,"TEXT_FESEST2020TRANSFORM_00668_A3_000_002","보상으로 받는 '<Sheet(Item,29983,0)/>'에 대해서 물어본다"
15,"TEXT_FESEST2020TRANSFORM_00668_A3_000_003","뒤로"
16,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_020","도망 다니는 닭을 그물로 잡아줘.
닭이 너무 날렵해서 도저히 붙잡을 수 없을 때는
닭에게 끈끈이를 던져서 움직임을 둔하게 만들 수 있어!"
17,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_020","'알 사냥 축제 실행위원'에게 말을 걸어 인형탈 착용 상태가 되면
임무용 기술 '끈끈이'와 '포획'을 실행할 수 있게 됩니다."
18,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_021","돌발 임무 ""알 사냥 축제: 끈끈이는 끈적끈적""에서 활약하려면
닭의 움직임을 둔하게 만들어 붙잡아야 합니다.
임무용 기술을 사용하여 닭을 붙잡아 봅시다!"
19,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_030","닭 포획을 도와주는 사람에게는
답례로 '<Sheet(Item,29983,0)/>'<13>FF0F02280BFF054974656DF2751F0103FF04EBA5BCFF04EC9D84</13> 줄 거야."
20,"TEXT_FESEST2020TRANSFORM_00668_EGGHUNTSTAFF_000_031","'<Sheet(Item,29983,0)/>'의 개수에 따라
'꿈꾸는 달걀 소녀'한테 가서 멋진 물건과 교환할 수 있어.
그러니까 닭 포획을 많이 많이 도와줘!"
21,"TEXT_FESEST2020TRANSFORM_00668_SYSTEM_000_032","'<Sheet(Item,29983,0)/>'<13>FF0F02280BFF054974656DF2751F0103FF04EB8A94FF04EC9D80</13> 검은장막 숲 중부삼림에서 발생하는
돌발 임무 ""알 사냥 축제: 끈끈이는 끈적끈적""에 참가해서
활약하면 얻을 수 있습니다."
