key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFBGB_00621_RADOVAN_000_000","잘 왔다, 진정한 건브레이커,
<Highlight>ObjectParameter(1)</Highlight>."
1,"TEXT_JOBDEFBGB_00621_RADOVAN_000_100","잘 왔다, <Highlight>ObjectParameter(1)</Highlight>.
건브레이커로서 계속 정진하고 있는 모양이로군."
2,"TEXT_JOBDEFBGB_00621_RADOVAN_001_000","안내해 줘서 고맙다.
그런데 건브레이커답지 않은 차림새를 하고 있군……?"
3,"TEXT_JOBDEFBGB_00621_RADOVAN_002_000","너를 여기저기 데리고 다녀서 미안했다.
그런데 건브레이커답지 않은 차림새를 하고 있군……?"
4,"TEXT_JOBDEFBGB_00621_Q1_000_000","무엇을 물어보시겠습니까?"
5,"TEXT_JOBDEFBGB_00621_A1_000_001","근황에 대해서 물어본다"
6,"TEXT_JOBDEFBGB_00621_A1_000_002","'건브레이커'에 대한 설명을 부탁한다"
7,"TEXT_JOBDEFBGB_00621_A1_000_003","취소"
8,"TEXT_JOBDEFBGB_00621_RADOVAN_000_010","나는 이곳 망자의 종소리에서 호위업을 하면서
새로운 건브레이커 후계자를 찾고 있다."
9,"TEXT_JOBDEFBGB_00621_RADOVAN_000_011","역시 너와 같은 재목은 좀처럼 찾기 힘들겠지만,
그래도 느긋하게 찾아볼 생각이야."
10,"TEXT_JOBDEFBGB_00621_RADOVAN_000_012","소피는 벌써 이 거리에 적응한 모양인지
모험가들을 모집해서 '돌' 모으기에 열중하고 있더군."
11,"TEXT_JOBDEFBGB_00621_RADOVAN_000_013","조국과 가족을 잃은 우리가 에오르제아에서 얻은 첫 번째 자유.
무엇과도 맞바꿀 수 없는 나날들을, 지키지 못했던 자의 몫까지
소중히 누리며 살아야 하겠지."
12,"TEXT_JOBDEFBGB_00621_RADOVAN_000_110","전멸한 줄로만 알았던 동포들 중에 생존자가 있어서,
소멸한 조국 보즈야의 부흥도 이제 꿈꿀 수 있게 되었지."
13,"TEXT_JOBDEFBGB_00621_RADOVAN_000_111","이제 무리해서 후계자를 찾을 필요도 없어서
우리는 호위업에 전념하기로 했다."
14,"TEXT_JOBDEFBGB_00621_RADOVAN_000_112","내가 에오르제아의 보즈야인으로서 할 수 있는 일은
호위업으로 이름을 알려 조국의 존재를 세상에 알리는 거니까."
15,"TEXT_JOBDEFBGB_00621_RADOVAN_000_113","소피도 제국의 손에 불타 버린 고향 라바나스터를
에오르제아인에게 알리려고 동분서주하고 있더군."
16,"TEXT_JOBDEFBGB_00621_RADOVAN_000_114","그리고 언젠가 너의 호위를 맡을 수 있도록
나도 건브레이커로서 매일 정진하고 있어!"
17,"TEXT_JOBDEFBGB_00621_RADOVAN_000_120","실은 빛바랜 바위라는 이름의 거한이 우리 실력을 높이 사서
의뢰하고 싶은 일이 있다고 해서……. 탑에서 출현하는
제국병으로부터 이크살족을 지키는 임무를 맡았었지."
18,"TEXT_JOBDEFBGB_00621_RADOVAN_000_121","이러쿵저러쿵 하는 사이에 탑이 홀연히 사라져서 깜짝 놀랐어.
그리고 그 현상의 배후엔 네 활약이 있었단 이야길 듣고
한 번 더 놀랐지."
19,"TEXT_JOBDEFBGB_00621_RADOVAN_000_122","그리고 또 놀란 건
제국을 증오했던 로스틱이 일사바드 파견단에 참가해서
제국인을 돕기 위한 활동에 종사했다는 이야기였어……."
20,"TEXT_JOBDEFBGB_00621_RADOVAN_000_123","제국 수도가 붕괴했으니 보즈야와 달마스카도 독립의 길을 걷겠지.
나도 소피도 한층 더 정진해서 호위로 이름을 떨치고
조국과 에오르제아의 가교 구실을 하고 싶어."
21,"TEXT_JOBDEFBGB_00621_RADOVAN_000_020","'건브레이커'의 기원은 제3성력 시대까지 거슬러 올라간다.
당시 세계를 지배했던 건 고대 알라그 제국."
22,"TEXT_JOBDEFBGB_00621_RADOVAN_000_021","소수 민족이었던 로스가르족은 거대 제국에게 핍박받고
벽지에 세운 소국에서 조용히 살고 있었지."
23,"TEXT_JOBDEFBGB_00621_RADOVAN_000_022","그들을 통솔했던 여왕의 이름은 '군힐드'.
그리고 여왕을 지키는 근위병들은
공격과 방어가 동시에 가능한 특수한 무기를 가지고 있었다."
24,"TEXT_JOBDEFBGB_00621_RADOVAN_000_023","그게 바로 우리가 갖고 있는 '건블레이드'.
'건'이란 군힐드를 줄인 말이고
건블레이드는 '군힐드의 검'이라는 뜻이다."
25,"TEXT_JOBDEFBGB_00621_RADOVAN_000_024","후에 알라그 제국에서 탄환을 발사하는 무기가 고안됐을 때
형상이 건블레이드와 닮아서 '건'이라 불리게 됐지.
'총'이라는 단어도 거기에서 기원됐다 봐야겠지."
26,"TEXT_JOBDEFBGB_00621_RADOVAN_000_025","친위대 일족은 알라그 제국의 침략에 계속 맞서 싸웠고
특히나 '총'을 눈엣가시로 여기고 파괴했지.
그래서 그들이 '건브레이커'라 불리게 된 거다."
27,"TEXT_JOBDEFBGB_00621_RADOVAN_000_026","결국 '제4재해'로 인해 소국은 알라그 제국과 함께 멸망했어.
건브레이커의 기술은 살아남은 일족들에 의해 긴 세월 동안
조용히 계승되어 갔고."
28,"TEXT_JOBDEFBGB_00621_RADOVAN_000_027","그 후예인 내 조국 보즈야도 소멸하고
존속 위기에 처했었지만 너라는 후계자를 발견할 수가 있었지."
29,"TEXT_JOBDEFBGB_00621_RADOVAN_000_028","여왕의 호위에서 발상한 우리의 기술은 사람을 지키는 기술이다.
진정한 건브레이커가 된 너는,
앞으로도 그 기술로 누군가를 지키는 데 힘써다오."
