key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_000","무엇을 물어보시겠습니까?"
1,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_005","근황에 대해서 물어본다"
2,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_010","영령 장비에 대해서 물어본다"
3,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_015","영령 장비 수취에 대해서 물어본다"
4,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_020","취소"
5,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_100","그대가 그 크리스탈을 보여 준 덕분에
제작 의욕이 마구 샘솟고 있어."
6,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_101","역시 가끔씩 바깥공기를 쐬는 것도 중요하군.
이런 바닷속 '공방'도 마음에 들긴 하지만
아무래도 안에 틀어박히기 쉽지……."
7,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_102","나중에 어딘가 따로 집을 구하는 것도 생각해 봐야겠어.
조용히 의뢰를 처리하는 사이에 모인 돈이
제법 있지 뭔가."
8,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_300","그대가 가진 빈 껍데기 같은 크리스탈……
나는 그것을 보고 격렬하고 화려하지만
애수가 서린 '영웅'의 인생을 떠올렸지."
9,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_301","그에 걸맞은 장비를 만들어 '영령 장비'라 부르기로 했어.
다시 뇌리를 스칠 '빛'을 얻게 된다면
종류를 늘릴 수도 있겠지."
10,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_302","'80레벨의 역할 퀘스트'를 완료하면
해당 역할의 '영령 장비 수취'를 선택할 수 있게 됩니다."
11,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_400","'영령 장비'는 역전의 영웅을 떠올리며 만든 장비…….
그 진가를 끌어내려면 상응하는 역량이 필요하지."
12,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_401","그대의 실력이 그에 걸맞다면
이 그레놀트, 금전 따위를 받지 않아도
스스로 손을 움직일 거야."
13,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_402","'영령 장비 수취'에서는
80레벨에 도달한 직업의 '영령 장비'를 획득할 수 있습니다."
14,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_403","장비를 잃어버린 경우에도
'영령 장비 수취'에서 다시 획득할 수 있습니다."
