key,0,1
#,,
int32,str,str
0,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_000","저희는 반격 작전을 위해 더 준비를 하고 있겠습니다.
그때는 반드시 해방자님도 참가 부탁드립니다!
그날까지 잠시만 기다려 주십시오!!"
1,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_001","……확인하고 싶은 것이 있으십니까?"
2,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_005","이미 반격 작전은 시작되었습니다.
일단 최전선인 우트야 전초지로 서둘러 가주십시오.
선착장 앞에 있는 '셰로슈'가 안내해드릴 겁니다."
3,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_006","……확인하고 싶은 것이 있으십니까?"
4,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_010","우트야 전초지를 한 걸음 벗어나면 바로 전장입니다.
신생 군힐드의 검 덕분에 모두의 사기가 높아져
반드시 카스트룸 라쿠스리토레를 함락시킬 수 있을 것입니다! "
5,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_011","……확인하고 싶은 것이 있으십니까?"
6,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_015","저는 아직 미시야가 배신했다는 걸 믿을 수 없습니다.
하지만 지금 생각해 보면 그녀는 매번 혼자서 고민하는 듯한,
결코 마음을 열지 않았던 측면이 있었던 것 같습니다."
7,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_016","……확인하고 싶은 것이 있으십니까?"
8,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_020","드디어 카스트룸 라쿠스리토레 공성전이군요.
무슨 일이 있어도 그 요새를 함락해 미코토 님을 구해야 합니다!
저도 목숨을 걸고 싸우겠습니다, 반드시 승리해낼 겁니다……!"
9,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_021","……확인하고 싶은 것이 있으십니까?"
10,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_025","……생각지도 못한 사태가 되었습니다.
함락한 카스트룸 라쿠스리토레를 어쩔 수 없이 포기하게 되고,
신생 군힐드의 검들까지 잃게 될 줄이야."
