key,0,1
#,,
int32,str,str
0,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_001","오, 이방인이 오시다니 별일이군요.
이 도시는 방어를 강화하기 위해 문을 닫아 두었거든요.
도움이 필요하시다면 사양하지 말고 물어보세요."
1,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_100_001","바, 방금 뭔가 불길한 게……!"
2,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_002","기괴한 야수가 제 곁을 빠르게 지나갔을 때는 숨이 멎는 줄
알았습니다. 다들 불안할 테니…… 지금은 서로 힘을 모아야죠.
혹시 제가 도움이 될 일이 있을까요?"
3,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_003","종말이 사라지고 하늘은 예전의 색을 되찾았죠…….
덕분에 라자한에도 조금씩 활기가 돌아오고 있습니다!
혹시 제가 도움이 될 일이 있을까요?"
4,"TEXT_REGISB5RADZATHAN_00739_Q1_000_000","무엇을 물어보시겠습니까?"
5,"TEXT_REGISB5RADZATHAN_00739_A1_000_001","당신의 이야기를 들려달라고 한다"
6,"TEXT_REGISB5RADZATHAN_00739_A1_000_002","여기는 어떤 곳인지 물어본다"
7,"TEXT_REGISB5RADZATHAN_00739_A1_000_003","취소"
8,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_100","바리크 상회의 비서, 파룬나라고 합니다.
저희 상회는 교역도시 라자한 안에서도 특히 긴 역사를 가진,
말하자면 노포입니다."
9,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_101","주인님을 필두로,
재능 넘치는 따님들이 장사에 매진하고 계시죠."
10,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_102","하지만 지금은 전례 없는 불황이 한창입니다.
오랫동안 계속된 바리크 상회의 대가 끊기지 않도록
필사적으로 노력하는 중입니다."
11,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_103","다른 나라와의 교역이 재개되면서
바리크 상회에도 예전과 같은 활기가 돌아왔습니다.
저도 질 수 없죠!"
12,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_200","이곳은 자유도시 라자한.
'색채'라는 뜻의 라즈에 '도시'를 뜻하는 한이 더해진 이 이름은
서로 다른 종족과 신앙이 뒤섞인 모습을 나타내죠."
13,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_201","바다의 동서를 잇는 입지,
그리고 세계 각국과 상호 불가침 조약을 맺은 중립성 때문에
교역의 연결 고리인 상업 도시로서 발전을 이뤄 왔습니다."
14,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_202","하지만 요즘은 불길한 탑의 영향으로
다른 나라의 상선이 뜸해져서 엄청난 불황을 겪고 있습니다.
모두가 쓰러지기 전에 이 곤경을 꼭 벗어나고 싶군요."
15,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_203","하지만…… 이 소동 때문에 라자한은 큰 피해를 입었습니다.
사람도 재산도 잃고, 앞으로 어떻게 해야 할지 모두
망연자실한 상태죠. 저희도 예외는 아닙니다."
16,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_204","그런데 지난번 그 종말 소동으로
이 도시는 태수 아히완 님을 비롯해, 많은 것을 잃었습니다…….
달로 이주한다는 얘기도 솔직히 영 내키지 않고요."
17,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_205","하지만 그런 때일수록
저희는 힘을 모아, 해야 할 일을 해야죠.
백성을 생각하신 브리트라 님의 결단을 저는 믿습니다."
18,"TEXT_REGISB5RADZATHAN_00739__FAHRUNNAH_000_206","종말이 사라지고 다른 나라와의 교역도 재개되면서
이 도시에도 예전의 활기가 돌아왔습니다.
저는 그 사실이 제일 기쁩니다."
