key,0,1
#,,
int32,str,str
0,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_000","오오, 이런 시기에 여행자라니 별일이네.
궁금한 게 있다면 내가 가르쳐 줄게."
1,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_001","그 '탑'에서 일어난 일은 들었어.
니다나와 동포들이 걱정이야……."
2,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_002","너희 덕분에 '탑'이 사라지고 동포가 구출됐다고 들었어.
은인인 너에게 도움이 되는 거라면 뭐든지 물어봐."
3,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_003","부상자가 많이 나오는 바람에
우리 연금술사들은 약을 만드느라 바빠.
하지만 궁금한 게 있다면 내가 대답해 줄게."
4,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_004","잘 왔어. 은인인 너의 방문이라면 환영이야.
궁금한 게 있다면 내가 대답해 줄게."
5,"TEXT_REGISB5THEGREATWORK_00748_Q1_000_000","무엇을 물어보시겠습니까?"
6,"TEXT_REGISB5THEGREATWORK_00748_A1_000_001","당신의 이야기를 들려달라고 한다"
7,"TEXT_REGISB5THEGREATWORK_00748_A1_000_002","여기는 어떤 곳인지 물어본다"
8,"TEXT_REGISB5THEGREATWORK_00748_A1_000_003","취소"
9,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_010","난 여기에 사는 연금술사 중 한 명이야.
전에는 원예가로서, 채집한 약초를 이곳에 팔았는데
여러 번 드나드는 사이에 연금술에 관심이 생겼거든……."
10,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_011","처음에는 간단한 조합 작업에도 악전고투했지만
지금은 나도 유열향의 일원이야.
모두에게 도움이 되기 위해 배움의 나날을 보내고 있지."
11,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_020","이곳은 '데미르의 유열향'이야.
저명한 연금술사 일족 '데미르 가문'이 만든 마을인데
그들의 위대한 업적과 공훈을 기리며 지어진 이름이지."
12,"TEXT_REGISB5THEGREATWORK_00748_AMRA_000_021","여전히 많은 연금술사들이 사는 곳이고
그 공방에서 선현들이 고안한, 유익한 약을 만들면서
새로운 약을 세상에 내놓기 위해 연구를 계속하고 있어."
