key,0,1
#,,
int32,str,str
0,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_001","어머, 여행자로군요?
세계의 지식이 모이는 도시, 올드 샬레이안에 온 걸 환영해요.
뭔가 궁금한 거라도 있으신가요?"
1,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_002","안녕하세요, 새벽의 혈맹에 계신 분이죠?
별 밖으로 대이동이 결정되다니, 정말 놀랍지만……
뭔가 궁금한 거라도 있으신가요?"
2,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_003","안녕하세요, 새벽의 영웅님.
하늘 끝으로 떠나게 되셨다고 들었는데……
그런 분께서 제게 물어볼 것이 있으신가요?"
3,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_004","어머, 새벽의 영웅님.
지식의 도시, 올드 샬레이안에 돌아오셨군요.
뭔가 궁금한 거라도 있으신가요?"
4,"TEXT_REGNOT5OLDSHARLAYAN_00738_Q1_000_000","무엇을 물어보시겠습니까?"
5,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_001","당신의 이야기를 들려달라고 한다"
6,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_002","여기는 어떤 곳인지 물어본다"
7,"TEXT_REGNOT5OLDSHARLAYAN_00738_A1_000_003","취소"
8,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_100","마법대학에서 계약직 강사로 일하는 와메메라고 해요.
전공은 자연 지리학인데, 고대에서 지금에 이르기까지
각지의 지형 및 기후의 추이를 연구하고 있어요."
9,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_101","수업하는 틈틈이 여기서 바닷바람을 쐬는 게 제 일과인데요.
그 때문인지 길 잃은 사람들이 자주 말을 걸어서
요즘은 거의 안내인이나 다름없답니다."
10,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_200","세계적인 학술도시, 샬레이안이죠.
제6재해의 대홍수 때, 창시자 뉸크레프가 구출한 사람들을 이곳
북해로 데려와 일으킨 마을에서 시작되어 발전한 도시국가랍니다."
11,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_201","과거에 저지 드라바니아에 있었던 식민도시를
에오르제아의 백성들이 '샬레이안'으로 인식하면서
이곳은 어느새 '올드 샬레이안'이라는 이름으로 불리게 되었어요."
12,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_202","지금은 각종 학문이 꽃을 피워
세계의 모든 지식을 등록하는 '세계 도감'의 편찬을 비롯한
지적 활동이 대대적으로 추진되고 있어요."
13,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_203","그런 역사 깊은 도시가 흔들리고 있답니다.
별을 버리고 대이동을 한다고 철학자 의회가 밝혔는걸요.
지금까지와 같은 생활은 할 수 없게 되겠죠."
14,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_204","그런 역사 깊은 도시도 종말이 찾아오면 어떻게 될런지…….
여러분은 그 근원을 없애기 위해 하늘 끝으로 가시려는 거죠?
이 도시의 사람들은 모두 여러분의 무사 귀환을 바라고 있어요."
15,"TEXT_REGNOT5OLDSHARLAYAN_00738_WAMEME_000_205","그런 역사 깊은 도시가 평온한 일상을 되찾은 것도
종말의 위기를 제거해 주신 여러분 덕분이에요.
저도 굴하지 않고 연구를 계속하겠어요!"
