key,0,1
#,,
int32,str,str
0,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_001","……너, 꽤나 강하군 그래.
마물 사냥에 관심이 있으면
언젠가 다시 만나게 될 거다."
1,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_002","여어, 마물을 사냥하러 왔어?
볼로가 형님께 인정받은 너라면
이 몸이 가진 정보를 나눠 줄 수도 있어."
2,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_Q1_000_000","무엇을 물어보시겠습니까?"
3,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_001","B급: 분노하는 이동 식물 '미친 용설란'"
4,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_002","B급: 흡혈 마수 '추파카브라'"
5,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_003","A급: 지혜롭지 못한 현명목 '네추키호'"
6,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_004","A급: 독재의 여왕벌 '여왕매벌' "
7,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_005",""
8,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_006","취소"
9,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_010","아, 너 혹시 거대 용설란 아냐?
아가베를 닮은 이동성 식물인데 아주 공격적이고
깔쭉깔쭉한 잎을 낫처럼 휘둘러 대는 성가신 녀석들인데."
10,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_011","미친 용설란은 그중에서도 특별한 개체에게 붙이는 이름이야.
평범한 거대 용설란의 수명은 몇십 년 정도고
평생 딱 한번 꽃을 피우고 번식을 끝낸 후에는 시들어 버리는데……"
11,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_012","이 녀석의 경우에는 꽃을 피운 후에도 계속 살아 있거든.
그냥 생명력만 강한 게 아니라 더 사납기까지 하다더라고…….
피해자도 많아서 토벌 대상으로 지정된 거야."
12,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_020","흡혈마를 본 적이 있어?
짐승의 피를 빨아먹는 기분 나쁜 마물인데
이 세계가 아닌 다른 곳에서 왔다는 소문까지 있는 위험한 놈들이야."
13,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_021","추파카브라는…… 그 옛 이름이지.
듣자 하니 투랄에는 피를 빠는 괴물이 있다고
뱃사람들 사이에서 소문이 난 적이 있다더군."
14,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_022","그리고 그 이름은 요즘
실제로 인명 피해를 낸 위험한 개체의 이름으로 쓰일 때가 많아.
인간의 맛을 본 녀석은 계속 인간을 노리지…… 빨리 사냥해야 해."
15,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_030","네추키호…… 이 기묘한 이름은
펠루펠루족의 언어로 '현명한 나무'라는 의미라더라."
16,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_031","그런데 진짜로 현명한 것 같지는 않아.
아무튼 인간만 보면 지팡이 같은 가지로 마구 때려 대서
현지의 목동이나 행상인 중에서 사망자까지 나왔거든."
17,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_032","심지어 불사의 존재인지 사냥해도 어딘가에 또 나타나.
나무에 붙은 악령이다, 뿌리를 통해 다른 나무로 기억을 옮긴다 등등,
다양한 설이 있지만 우리 입장에서는 사냥하면 그만인걸."
18,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_040","이 대륙에는 큰독거미매라는, 사람을 죽이는 살인벌이 있어.
그놈들은 무리가 커지면 새로운 여왕을 길러서
그 여왕이 무리의 절반을 데리고 세력을 확장하러 떠나지."
19,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_041","뱃사람들의 얘기로는 외국에도 퍼지고 있는 모양이야.
번식력이 강한 살인벌이 더 이상 늘어나지 못하도록
만약 여왕매벌을 발견하면 앞장서서 사냥해 줘."
20,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_042","다만 도전할 때는 조심해야 해.
상대는 온갖 생물을 조종하는 페로몬을 분비하거든……
인간도 예외는 아니고 말이야."
21,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_050",""
22,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_051",""
23,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_052",""
24,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_053",""
25,"TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_054",""
