key,0,1
#,,
int32,str,str
0,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_000","어머, 혹시 농지에 관심이 많아?
궁금한 게 있다면 내가 가르쳐 줄게."
1,"TEXT_REGSAK6YYUPYESHALO_00885_Q1_000_000","무엇을 물어보시겠습니까?"
2,"TEXT_REGSAK6YYUPYESHALO_00885_A1_000_001","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGSAK6YYUPYESHALO_00885_A1_000_002","여기는 어떤 곳인지 물어본다"
4,"TEXT_REGSAK6YYUPYESHALO_00885_A1_000_003","취소"
5,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_010","후후, 농지가 아니라 나한테 관심이 있었구나?
이름은 요피카나고, 보다시피 셔토나족이야."
6,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_011","아, 나이는 비밀이니까 묻지 말아 줄래?
취미는 흙을 만지거나 신선한 채소로 요리를 만드는 거고
특기는 채소의 신선도를 구분하는 거야."
7,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_020","여긴 아웃스커츠의 생활에 꼭 필요한 '유페 원형농지'야.
농지의 관리자인 샬로키 밑에서
다양한 채소를 기르고 있어."
8,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_021","일렉트로프 기술의 도움을 받아가면서
땅의 선물을 받으며 땅을 밟고 살아가는 것…….
우리의 그런 마음에 버팀목이 되어 주는 중요한 시설이라 할 수 있지."
9,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_022","에버킵 내부에서도 채소가 생산되지만
원래 투랄에서 만들어진 것과는 품종이 다르거든.
그것이 투랄 채소를 땅에서 기르는, 이 농지가 존재하는 의미인 거야."
10,"TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_023","다만 요전에 에버킵에서 큰일이 일어났잖아?
이번에는 괜찮았지만 유사시에 식량 지원이 가능하도록
수확량이나 농지의 활용법을 재검토하는 게 좋을지도 모르겠어."
