key,0,1
#,,
int32,str,str
0,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_000","영원인들의 잠들지 않는 도시 '리빙 메모리'에 오신 것을 환영합니다.
무엇을 도와드릴까요?"
1,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_Q1_000_000","무엇을 물어보시겠습니까?"
2,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_001","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_002","여기는 어떤 곳인지 물어본다"
4,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_003","취소"
5,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_010","저의 개체명은 직원 PX-0006.
'기억의 문'의 안내 창구를 담당하고 있습니다.
궁금한 점이 있으시면 무엇이든 물어보십시오."
6,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_020","리빙 메모리의 현관인 '기억의 문'입니다.
이 구역은 리빙 메모리의 중심……
이곳에서 집라인을 이용하여 각 구역으로 이동할 수 있습니다."
7,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_021","치유의 휴양지 '커낼타운'과
희망의 테마파크 '예스터랜드',
용기와 불꽃의 '볼케이노 어사일럼'……"
8,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_022","그리고 탐구심을 충족시키는 '윈드패스 가든'.
부디 원하는 구역에서 편히 쉬시기 바랍니다."
9,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_023","다만 새로 오신 분께서는
집라인 이용자로 등록부터 하셔야 합니다…….
우선 북쪽의 '메인 터미널'을 방문하실 것을 추천드립니다."
10,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_024","다만 현재, '워터 터미널'은 정지 중입니다.
해당 구역으로 이동하실 때는 주의하십시오."
11,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_025","다만 현재, '워터 터미널'과
'어스 터미널'은 정지 중입니다.
해당 구역으로 이동하실 때는 주의하십시오."
12,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_026","다만 현재, '워터 터미널'과 '어스 터미널',
'파이어 터미널'은 정지 중입니다.
해당 구역으로 이동하실 때는 주의하십시오."
13,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_027","현재, 각 구역의 터미널은 정지 중입니다만
영원인 여러분, 안심하십시오. 안심하십시오.
생명력 에테르는 곧 공급될 것입니다. 안심하십시오."
14,"TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_028","다만 현재, 각 구역의 터미널은 정지 중입니다.
해당 구역으로 이동하실 때는 주의하십시오."
