key,0,1
#,,
int32,str,str
0,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_000","어서 와, 어서 와, 여행자님…….
오크 하누에 대해 뭔가 궁금한 게 있어?"
1,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_001","어머, 어머, 갈대를 살려 준 여행자님!
오크 하누에 대해 뭔가 궁금한 게 있어?"
2,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_002","계승 의식은 끝났다고 들었는데
와 줘서 기뻐, 여행자님!
오크 하누에 대해 뭔가 궁금한 게 있어?"
3,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_003","어서 와, 어서 와, 여행자님!
여기에 대해 뭔가 궁금한 게 있어?"
4,"TEXT_REGYOK6OKHANU_00871_Q1_000_000","무엇을 물어보시겠습니까?"
5,"TEXT_REGYOK6OKHANU_00871_A1_000_001","당신의 이야기를 들려달라고 한다"
6,"TEXT_REGYOK6OKHANU_00871_A1_000_002","여기는 어떤 곳인지 물어본다"
7,"TEXT_REGYOK6OKHANU_00871_A1_000_003","취소"
8,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_010","난 건물의 상태를 살펴보러 다니거나
사람들에게 들은 정보를 정리하는 역할을 해.
습기가 많은 지역이라 목재가 썩지 않도록 주의해야 하거든."
9,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_011","물러진 부분이 있으면
목수 일을 하는 남편에게 수리를 부탁하지.
그이가 신나게 일하는 모습은…… 정말 최고야~"
10,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_020","'오크 하누'라는 마을 이름은
하누하누족 언어로 '우리 마을'이라는 뜻이야."
11,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_021","마을을 비롯한 이 일대를 '우유우브'라고 부른단다.
공용어로는 '알의 나무들'이라고 해야 할까…….
이곳에서 알을 깨고 태어나 나무들과 함께 사는 것이 목표지."
12,"TEXT_REGYOK6OKHANU_00871_UULIHALI_000_022","계승 의식을 통해 갈대도 되살아났으니
도움을 받은 만큼 이 나라가 번영하도록 만들어야지~"
