key,0,1
#,,
int32,str,str
0,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_001","무기, 식량, 상처 치료제, 갈아입을 옷……
조달해야 할 물건이 산더미처럼 많네."
1,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_100_001","아, <Highlight>ObjectParameter(1)</Highlight> 씨, 안 그래도 마침
리빙 메모리의 정보를 정리하던 참이야.
당신이 볼일을 마쳤을 때쯤에는 얘기해 줄 수 있을 것 같아."
2,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_002","오블리비언의 멤버 몇 명이 함께
리빙 메모리를 계속 조사 중이야.
경계가 필요한 대상을 골라 뒀는데 필요하다면 공유해 줄게."
3,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_Q1_000_000","무엇을 물어보시겠습니까?"
4,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_001","B급: 보석 도둑 '반짝이도둑'"
5,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_002","B급: 덮어서 감추는 자 '열셋째 아이'"
6,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_003","A급: 청소 인형 '청소부 샐리'"
7,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_004","A급: 고양이 눈의 검은 덩어리 '캣츠아이'"
8,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_005","S급: 날씨 예언기 '기상예보기'"
9,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_006",""
10,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_A1_000_007","취소"
11,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_010","우리는 리빙 메모리에 있는 기계병을 원격으로 조작해서
현지 조사를 진행 중이야.
이게 결코 쉬운 일은 아니거든."
12,"TEXT_CTSHNT70RISKYMOBLIVINGMEMORY_00903_RINURI_000_011","그런데…… 고생해서 해킹한 기계병을
노리는 마물이 있단 말이지.
그 우두머리가 반짝이도둑이라는 이름의 개체야."
