key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_000","여러분의 모험에 도움을 드릴 수 있도록
이 지역의 기상 변화를 조사하고 있습니다.
그럼 현재의 날씨와 앞으로의 예보를 말씀드리겠습니다."
1,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_010","현재 '신기루'가 발생 중입니다."
2,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_020","참고로 '신기루'라 불리는 기후는
발생을 예측할 수 없으니 주의하세요."
3,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_030","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>에서는 현재 신기루가 발생 중입니다.
신기루가 언제 걷힐지는 알 수 없지만,
일찍 걷힌다면 <Sheet(Weather,IntegerParameter(2),1)/>, 늦게 걷힌다면 <Sheet(Weather,IntegerParameter(3),1)/>.
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
4,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_035","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>에서는 현재 신기루가 발생 중입니다.
신기루가 언제 걷힐지는 알 수 없지만,
걷히고 나면 <Sheet(Weather,IntegerParameter(2),1)/>.
그 후 <Sheet(Weather,IntegerParameter(4),1)/>
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
5,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_040","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>에서는 현재 신기루가 발생 중입니다.
신기루가 언제 걷힐지는 알 수 없지만,
일찍 걷힌다면 <Sheet(Weather,IntegerParameter(2),1)/>, 늦게 걷힌다면 <Sheet(Weather,IntegerParameter(3),1)/>.
그 후 한동안 <Sheet(Weather,IntegerParameter(4),1)/>
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
6,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_045","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>에서는 현재 신기루가 발생 중입니다.
신기루가 언제 걷힐지는 알 수 없지만,
걷히고 나면 <Sheet(Weather,IntegerParameter(2),1)/>.
그 후 한동안 <Sheet(Weather,IntegerParameter(4),1)/>
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
7,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_050","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>의 현재 날씨는 '<Sheet(Weather,IntegerParameter(2),1)/>'입니다.
이 시간 이후로 <Sheet(Weather,IntegerParameter(3),1)/> <Sheet(Weather,IntegerParameter(4),1)/>
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
8,"TEXT_CTSMKDWEATHERFORECAST_00925_WEATHERFORECAST_000_060","<Sheet(WeatherPlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>의 현재 날씨는 '<Sheet(Weather,IntegerParameter(2),1)/>'입니다.
이 시간 이후로 한동안 <Sheet(Weather,IntegerParameter(3),1)/>
내일 이 시간에는 <Sheet(Weather,IntegerParameter(5),1)/>."
