key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_000_000","나는 긴급 상황 발생 시 인원 수송을 담당하고 있어.
유사시에는 시뮬레이션대로 참가자를 모집하는데
우선 서칭웨이에게 이야기를 들어봐 줄래?"
1,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_000","나는 레플레다야, 잘 부탁해.
긴급 상황 발생 시 인원 수송을 담당하고 있어."
2,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_010","행성 파엔나는 중앙 크리스탈이 제어를 하고 있어도
갑자기 격렬한 뇌우나 강한 한기가 찾아오는 가혹한 환경이야.
유리비가 오는 것도 주의해야 해."
3,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_010_020","긴급 상황이 발생했을 때,
문제 해결에 협력해 줄 거면 말을 걸어줄래?
긴급 임무를 해야 하는 임무 지역까지 내가 데려다줄 테니까."
4,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_000","잘 왔어, 긴급 상황이 발령 중이야!
긴급 임무에 참가할 사람을 모집하고 있어.
지금 즉시 너도 현장으로 가줄래?"
5,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_010","종료"
6,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_020_020","어느 긴급 임무 지역으로 이동하시겠습니까?"
7,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_000","너희들의 협력 덕분에 긴급 상황은 해결될 것 같고
현지에 필요한 추가 인원은 더 이상 없다고 해."
8,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_010","너희들 협력 덕분에 긴급 상황은 해제되었어.
현지에 필요한 추가 인원은 더 이상 없다고 해."
9,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_030_020","협력해줘서 고마워.
또 긴급 상황이 발생하면 도움을 요청할게."
10,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_000","앗…… 임무 지역에서 연락이 왔어!
발생했던 문제는 해결할 수 있을 것 같대.
따라서 네가 현지로 갈 필요가 없어졌어. "
11,"TEXT_CTSWKSEMERGENCYTRANSPORT_00958_TALK_040_010","협력한다고 해줘서 고마워.
또 긴급 상황이 발생하면 도움을 요청할게."
