key,0,1
#,,
int32,str,str
0,"TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_000","노노타 씨에게서 말씀 전해 들었어요.
제가 행사장까지 안내해 드릴게요!"
1,"TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_001","도와주셔서 정말 감사드립니다.
행사장 안내나 풀베기 설명은 저에게 맡겨 주세요!"
2,"TEXT_FESEST2026ENTRANCE_00960_SYSTEM_000_002","퀘스트 '알 사냥과 이상한 풀'을 진행하려면
'봄맞이 풀베기'를 플레이하고
스테이지 4까지 공략해야 합니다."
3,"TEXT_FESEST2026ENTRANCE_00960_SYSTEM_000_003","""'봄맞이 풀베기'에 대해 물어보기"" 선택지를 통해
임무 규칙 등 자세한 정보를 확인할 수 있습니다.
풀베기를 하러 가기 전에, 한번 읽어 보세요."
4,"TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_002","（★未使用／削除予定★）"
5,"TEXT_FESEST2026ENTRANCE_00960_ENTRANCEMAN0960_000_003","（★未使用／削除予定★）"
6,"TEXT_FESEST2026ENTRANCE_00960_Q1_000_000","무엇을 하시겠습니까?"
7,"TEXT_FESEST2026ENTRANCE_00960_Q1_100_000","무엇을 하시겠습니까?
 <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>[최고 기록: <Value>IntegerParameter(1)</Value>]<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
8,"TEXT_FESEST2026ENTRANCE_00960_A1_000_001","'봄맞이 풀베기'로 이동"
9,"TEXT_FESEST2026ENTRANCE_00960_A1_000_002","'봄맞이 풀베기'에 대해 물어보기"
10,"TEXT_FESEST2026ENTRANCE_00960_A1_000_003","취소"
11,"TEXT_FESEST2026ENTRANCE_00960_TALK_SYSTEM_000_010","파티를 맺거나 모집 중인 경우,
혹은 임무 찾기를 신청 중인 경우에는
'봄맞이 풀베기'를 플레이할 수 없습니다."
12,"TEXT_FESEST2026ENTRANCE_00960_TALK_SYSTEM_000_015","소지품에 공간이 부족하여
보상 아이템을 모두 받지 못할 가능성이 있습니다."
13,"TEXT_FESEST2026ENTRANCE_00960_INVENTORYMAX_CONFIRM","'봄맞이 풀베기'를 진행하시겠습니까?"
14,"TEXT_FESEST2026ENTRANCE_00960_GAMEWARP_CONFIRM","（★未使用／削除予定★）"
