key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_07002_000010_ERENVILLE","용맹한 수렵 민족, 슈발라족은
이 땅을 '푸른 숲'―― 야크텔 밀림이라고 부른다"
1,"TEXT_VOICEMAN_07002_000020_ERENVILLE","먼 옛날, 운석이 떨어지며 형성된 구덩이 세노테
그리고 특수한 푸른 식물들은 숲의 상징이 되었을 것이다"
2,"TEXT_VOICEMAN_07002_000030_ERENVILLE","슈발라족과 마무쟈족의 싸움이 계속되었던 이 땅에서
계승 의식은 절정을 맞이하게 된다――"
3,"TEXT_VOICEMAN_07002_000040_WUKLAMAT","우욱……"
4,"TEXT_VOICEMAN_07002_000050_KRILE","우크라마트 씨, 괜찮아?"
5,"TEXT_VOICEMAN_07002_000060_WUKLAMAT","노, 높은 곳도 무서워……."
6,"TEXT_VOICEMAN_07002_000070_ALPHINAUD","이 숲은 코자말루 카보다 나무들이 울창하군."
7,"TEXT_VOICEMAN_07002_000080_ERENVILLE","위만 보고 있으면 세노테에 떨어질걸."
8,"TEXT_VOICEMAN_07002_000090_ALISAIE","세노테가 뭐야?"
9,"TEXT_VOICEMAN_07002_000100_ERENVILLE","지면에 생긴 구멍에 빗물이나 지하수가 고여서 생긴 샘이야.
아주 먼 옛날에는 이 일대에 운석이 떨어졌다더군……
그 때문에 땅이 움푹 패였다고 해."
10,"TEXT_VOICEMAN_07002_000105_ERENVILLE","오랜 세월이 흐르면서 흔적이 메워지긴 했는데,
지질이 약해서 걸핏하면 구멍이 생기곤 해.
……제법 깊으니까 떨어지면 올라오느라 고생 좀 할 거야."
11,"TEXT_VOICEMAN_07002_000110_ERENVILLE","절대 떨어지지 마라."
12,"TEXT_VOICEMAN_07002_000120_WUKLAMAT","아, 알았다니까~"
13,"TEXT_VOICEMAN_07002_000130_ALPHINAUD","'음식의 장'의 무대, 슈발라족의 마을은
여기서 가깝나?"
14,"TEXT_VOICEMAN_07002_000140_ERENVILLE","응, 저 앞쪽 갈림길에서 서쪽으로 가면 금방이야."
15,"TEXT_VOICEMAN_07002_000150_WUKLAMAT","좋아, 계속 이러고 있을 순 없지!
어서 가자!"
16,"TEXT_VOICEMAN_07002_000160_SAREELJA","이제서야 오셨군요."
