key,0,1
#,,
int32,str,str
0,"TEXT_CRAFTLEVECLIENT_ADDITIONAL_TRADE_SELECTION_TITLE","추가로 납품하시겠습니까?"
1,"TEXT_CRAFTLEVECLIENT_ADDITIONAL_TRADE_SELECTION_0","추가로 납품한다"
2,"TEXT_CRAFTLEVECLIENT_ADDITIONAL_TRADE_SELECTION_1","그만 임무를 종료한다"
3,"TEXT_CRAFTLEVECLIENT_ADDITIONAL_TRADE_SELECTION_2","나중에 정한다"
4,"TEXT_CRAFTLEVECLIENT_SYSTEM_NO_ITEM","납품할 아이템이 부족합니다."
5,"TEXT_CRAFTLEVECLIENT_CONFIRM_CANCEL_ADDITIONAL_TRADE_TITLE","추가로 납품하지 않고 임무를 종료하시겠습니까?"
6,"TEXT_CRAFTLEVECLIENT_CONFIRM_CANCEL_ADDITIONAL_TRADE_YES","예"
7,"TEXT_CRAFTLEVECLIENT_CONFIRM_CANCEL_ADDITIONAL_TRADE_NO","아니요"
8,"TEXT_CRAFTLEVECLIENT_TALK_ADD_REWARD","HQ 아이템을 <If(Equal(IntegerParameter(1),1))><Else/><Value>IntegerParameter(1)</Value>종류 </If>납품한 대가로
보상이 <Value>IntegerParameter(2)</Value>% 증가합니다."
