key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSD020_00090_SEQ_00","위리앙제는 모험가에게 야만신 문제에 관해 의뢰하고 싶은 일이 있는 듯하다."
1,"TEXT_GAIUSD020_00090_SEQ_01","모래의 집에 있는 위리앙제와 대화했다. 이단자에 의해 야만신 '시바'가 다시 소환되었다고 한다. 커르다스 중앙고지 '하얀테 전초지'에 있는 '드리유몽'의 이야기를 들어보자."
2,"TEXT_GAIUSD020_00090_SEQ_02","드리유몽과 대화했다. 대빙벽에 나타난 '얼음의 무녀' 일당에게 공병대가 큰 피해를 입었다고 한다. 야만신 '시바'를 토벌하기 위해, 커르다스 중앙고지 '얼음외투 대빙벽'에 있는 '강인한 신전기사'와 대화하자."
3,"TEXT_GAIUSD020_00090_SEQ_03","강인한 신전기사와 대화했다. 빙벽 내부로 침입하여 재소환된 야만신 '시바'를 토벌하자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
4,"TEXT_GAIUSD020_00090_SEQ_04","재소환된 야만신 '시바'를 토벌했다. 하얀테 전초지에 있는 '드리유몽'에게 보고하자."
5,"TEXT_GAIUSD020_00090_SEQ_05","드리유몽에게 '시바'를 토벌했다고 보고했다. 그는 이단자 대책을 재검토할 필요가 있다고 느낀 듯하다. 모래의 집에 있는 '위리앙제'에게도 토벌 결과를 보고하자."
6,"TEXT_GAIUSD020_00090_SEQ_06","위리앙제에게 '시바'를 토벌했다고 보고했다. 야만신이 소환되는 족족 쓰러뜨리는 데 성공한 것에는 큰 의미가 있다. 위리앙제는 야만신이 더는 궁극의 힘을 얻지 못하도록 아씨엔 대책을 추진할 것을 다시금 다짐했다."
7,"TEXT_GAIUSD020_00090_SEQ_07",""
8,"TEXT_GAIUSD020_00090_SEQ_08",""
9,"TEXT_GAIUSD020_00090_SEQ_09",""
10,"TEXT_GAIUSD020_00090_SEQ_10",""
11,"TEXT_GAIUSD020_00090_SEQ_11",""
12,"TEXT_GAIUSD020_00090_SEQ_12",""
13,"TEXT_GAIUSD020_00090_SEQ_13",""
14,"TEXT_GAIUSD020_00090_SEQ_14",""
15,"TEXT_GAIUSD020_00090_SEQ_15",""
16,"TEXT_GAIUSD020_00090_SEQ_16",""
17,"TEXT_GAIUSD020_00090_SEQ_17",""
