key,0,1
#,,
int32,str,str
0,"TEXT_CLSTAN001_00106_SEQ_00","가죽공예가 길드의 게바는 모험가의 성장을 확인하기 위해 새로운 과제를 내리려는 듯하다."
1,"TEXT_CLSTAN001_00106_SEQ_01","게바는 모험가의 성장을 보고 싶은 모양이다. <Sheet(Item,4304,0)/><13>FF0F02280BFF054974656DF210D00103FF04EBA5BCFF04EC9D84</13> 3개 정도 제작하여 가죽공예가 길드에 있는 '게바'에게 전달하자."
2,"TEXT_CLSTAN001_00106_SEQ_02","<Sheet(Item,4304,0)/><13>FF0F02280BFF054974656DF210D00103FF04EBA5BCFF04EC9D84</13> 본 게바는 평범한 가죽공예가치고는 제법 잘 만들었다고 하지만……. 그녀에게 받은 보조 도구 <Sheet(Item,2430,0)/><13>FF0F02280BFF054974656DF2097E0103FF04EBA5BCFF04EC9D84</13> 활용하며 더 열심히 수련하자.

※ 가죽공예가 레벨 10 이상 되면 게바에게 다음 가죽공예가 퀘스트를 받을 수 있습니다."
3,"TEXT_CLSTAN001_00106_SEQ_03",""
4,"TEXT_CLSTAN001_00106_SEQ_04",""
5,"TEXT_CLSTAN001_00106_SEQ_05",""
6,"TEXT_CLSTAN001_00106_SEQ_06",""
7,"TEXT_CLSTAN001_00106_SEQ_07",""
8,"TEXT_CLSTAN001_00106_SEQ_08",""
9,"TEXT_CLSTAN001_00106_SEQ_09",""
10,"TEXT_CLSTAN001_00106_SEQ_10",""
11,"TEXT_CLSTAN001_00106_SEQ_11",""
12,"TEXT_CLSTAN001_00106_SEQ_12",""
13,"TEXT_CLSTAN001_00106_SEQ_13",""
14,"TEXT_CLSTAN001_00106_SEQ_14",""
15,"TEXT_CLSTAN001_00106_SEQ_15",""
16,"TEXT_CLSTAN001_00106_SEQ_16",""
17,"TEXT_CLSTAN001_00106_SEQ_17",""
18,"TEXT_CLSTAN001_00106_SEQ_18",""
19,"TEXT_CLSTAN001_00106_SEQ_19",""
20,"TEXT_CLSTAN001_00106_SEQ_20",""
21,"TEXT_CLSTAN001_00106_SEQ_21",""
22,"TEXT_CLSTAN001_00106_SEQ_22",""
23,"TEXT_CLSTAN001_00106_SEQ_23",""
24,"TEXT_CLSTAN001_00106_TODO_00","게바에게 <Sheet(Item,4304,0)/> 납품"
