key,0,1
#,,
int32,str,str
0,"TEXT_CLSWDK005_00168_SEQ_00","목수 길드마스터 베아탱은 어쩐지 풀이 죽어 있는 듯하다……."
1,"TEXT_CLSWDK005_00168_SEQ_01","머리가 복잡해 보이는 베아탱이 자기 대신 목수 길드 뒤편의 '도토리 놀이터'에 있는 아이들과 놀아달라고 부탁했다. '도토리 놀이터'에 있는 아이 '니콜리오'에게 말을 걸어보자."
2,"TEXT_CLSWDK005_00168_SEQ_02","니콜리오가 말하길 베아탱은 슬럼프에 빠진 모양이다. 베아탱에게 질 좋은 목재를 가져다주면 힘이 날 것이라고 한다. <Sheet(ItemHQ,5371,0)/><13>FF1102280DFF074974656D4851F214FB0103FF04EBA5BCFF04EC9D84</13> 1개 만들어 목수 길드의 '베아탱'에게 건네자."
3,"TEXT_CLSWDK005_00168_SEQ_03","베아탱에게 <Sheet(ItemHQ,5371,0)/><13>FF1102280DFF074974656D4851F214FB0103FF04EBA5BCFF04EC9D84</13> 건넸다. 베아탱은 부쩍 성장한 모험가를 보면 그의 오랜 친구가 떠오른다며 기뻐했다. 모험가의 활약으로 그는 기운을 되찾고 슬럼프에서도 벗어난 것 같다.

※ 목수 레벨이 30 이상 되면 베아탱에게 다음 목수 퀘스트를 받을 수 있습니다."
4,"TEXT_CLSWDK005_00168_SEQ_04",""
5,"TEXT_CLSWDK005_00168_SEQ_05",""
6,"TEXT_CLSWDK005_00168_SEQ_06",""
7,"TEXT_CLSWDK005_00168_SEQ_07",""
8,"TEXT_CLSWDK005_00168_SEQ_08",""
9,"TEXT_CLSWDK005_00168_SEQ_09",""
10,"TEXT_CLSWDK005_00168_SEQ_10",""
11,"TEXT_CLSWDK005_00168_SEQ_11",""
12,"TEXT_CLSWDK005_00168_SEQ_12",""
13,"TEXT_CLSWDK005_00168_SEQ_13",""
14,"TEXT_CLSWDK005_00168_SEQ_14",""
15,"TEXT_CLSWDK005_00168_SEQ_15",""
16,"TEXT_CLSWDK005_00168_SEQ_16",""
17,"TEXT_CLSWDK005_00168_SEQ_17",""
18,"TEXT_CLSWDK005_00168_SEQ_18",""
19,"TEXT_CLSWDK005_00168_SEQ_19",""
20,"TEXT_CLSWDK005_00168_SEQ_20",""
21,"TEXT_CLSWDK005_00168_SEQ_21",""
