key,0,1
#,,
int32,str,str
0,"TEXT_MANFST003_00123_SEQ_00","칼라인 카페의 뮨은 모험가가 알아야 할 기본적인 세 가지 시설을 소개해주려고 한다."
1,"TEXT_MANFST003_00123_SEQ_01","뮨이 세 가지 시설을 소개해주었다. 그리다니아 거리를 둘러보고, 혹시 어려움에 처한 시민을 만나면 먼저 나서서 말을 걸어보자."
2,"TEXT_MANFST003_00123_SEQ_02","세 가지 시설을 모두 둘러보았다. '칼라인 카페'로 돌아가 '뮨'에게 보고하자."
3,"TEXT_MANFST003_00123_SEQ_03","뮨이 말하기론, 앞으로 그리다니아를 거점으로 삼으려면 이 세 가지 시설을 꼭 알아두어야 할 것이라고 한다. 이 시설들을 적절히 활용하며 자신이 가지고 있는 능력에 맞춰서 점차 행동 범위를 넓혀가자."
4,"TEXT_MANFST003_00123_SEQ_04",""
5,"TEXT_MANFST003_00123_SEQ_05",""
6,"TEXT_MANFST003_00123_SEQ_06",""
7,"TEXT_MANFST003_00123_SEQ_07",""
8,"TEXT_MANFST003_00123_SEQ_08",""
9,"TEXT_MANFST003_00123_SEQ_09",""
10,"TEXT_MANFST003_00123_SEQ_10",""
11,"TEXT_MANFST003_00123_SEQ_11",""
12,"TEXT_MANFST003_00123_SEQ_12",""
13,"TEXT_MANFST003_00123_SEQ_13",""
14,"TEXT_MANFST003_00123_SEQ_14",""
15,"TEXT_MANFST003_00123_SEQ_15",""
16,"TEXT_MANFST003_00123_SEQ_16",""
17,"TEXT_MANFST003_00123_SEQ_17",""
18,"TEXT_MANFST003_00123_SEQ_18",""
19,"TEXT_MANFST003_00123_SEQ_19",""
20,"TEXT_MANFST003_00123_SEQ_20",""
21,"TEXT_MANFST003_00123_SEQ_21",""
22,"TEXT_MANFST003_00123_SEQ_22",""
23,"TEXT_MANFST003_00123_SEQ_23",""
24,"TEXT_MANFST003_00123_TODO_00","도시 안에 있는 에테라이트 접촉"
25,"TEXT_MANFST003_00123_TODO_01","궁술사 길드에 가서 인사하기"
26,"TEXT_MANFST003_00123_TODO_02","파르세몽트레에게 상점가에 대한 설명 듣기"
27,"TEXT_MANFST003_00123_TODO_03","칼라인 카페에서 뮨에게 보고"
28,"TEXT_MANFST003_00123_TODO_04",""
29,"TEXT_MANFST003_00123_TODO_05",""
