key,0,1
#,,
int32,str,str
0,"TEXT_CLSEXC020_00311_SEQ_00","도끼술사 길드 접수원 블라우토타는 길드 입문 절차에 앞서 모험가의 마음을 확인하고 싶은 듯하다."
1,"TEXT_CLSEXC020_00311_SEQ_01","블라우토타는 모험가에게 길드마스터 '뷔른쵠'을 찾아가 길드에 입문할 의사를 전하라고 했다. 도끼술사 길드 접수처 앞에 있는 '뷔른쵠'에게 말을 걸자."
2,"TEXT_CLSEXC020_00311_SEQ_02","뷔른쵠은 모험가가 도끼술사 길드에 들어오는 걸 허락했다. 도끼를 다루는 데 적응하기 위해 '쥐', '양', '무당벌레'를 각각 3마리씩 처치하자."
3,"TEXT_CLSEXC020_00311_SEQ_03","지정된 마물을 처치했다. '도끼술사 길드'에 있는 '뷔른쵠'에게 보고하자."
4,"TEXT_CLSEXC020_00311_SEQ_04","뷔른쵠은 임무를 마치고 돌아온 모험가에게, 도끼가 손에 익으려면 매일 노력하는 것이 중요하다며 꾸준히 단련하라고 말했다.

※ 도끼술사 레벨이 5 이상 되면 뷔른쵠에게 다음 도끼술사 퀘스트를 받을 수 있습니다."
5,"TEXT_CLSEXC020_00311_SEQ_05",""
6,"TEXT_CLSEXC020_00311_SEQ_06",""
7,"TEXT_CLSEXC020_00311_SEQ_07",""
8,"TEXT_CLSEXC020_00311_SEQ_08",""
9,"TEXT_CLSEXC020_00311_SEQ_09",""
10,"TEXT_CLSEXC020_00311_SEQ_10",""
11,"TEXT_CLSEXC020_00311_SEQ_11",""
12,"TEXT_CLSEXC020_00311_SEQ_12",""
13,"TEXT_CLSEXC020_00311_SEQ_13",""
14,"TEXT_CLSEXC020_00311_SEQ_14",""
15,"TEXT_CLSEXC020_00311_SEQ_15",""
16,"TEXT_CLSEXC020_00311_SEQ_16",""
17,"TEXT_CLSEXC020_00311_SEQ_17",""
18,"TEXT_CLSEXC020_00311_SEQ_18",""
19,"TEXT_CLSEXC020_00311_SEQ_19",""
20,"TEXT_CLSEXC020_00311_SEQ_20",""
21,"TEXT_CLSEXC020_00311_SEQ_21",""
22,"TEXT_CLSEXC020_00311_SEQ_22",""
23,"TEXT_CLSEXC020_00311_SEQ_23",""
24,"TEXT_CLSEXC020_00311_TODO_00","뷔른쵠과 대화"
