key,0,1
#,,
int32,str,str
0,"TEXT_SUBSEA054_00466_SEQ_00","여름여울 농장의 슈텔뷔른은 모험가에게 농작물의 횡령을 저지 후 라다그란 관문에 무사히 납품하는 것을 도와주길 바라는 듯하다."
1,"TEXT_SUBSEA054_00466_SEQ_01","라다그란 관문에 납품할 '오렌지가 든 자루'를 세브린이 빼돌리고 있다고 한다. 외출한 '세브린'에게 감정 표현 '추궁'을 사용하여 '오렌지가 든 자루'를 돌려받자."
2,"TEXT_SUBSEA054_00466_SEQ_02","세브린은 '오렌지가 든 자루'를 거래하려 했던 고블린 강도의 공격을 피해 숨어있었다. '오렌지가 든 자루'를 되찾기 위해 세브린의 동료 세 사람을 구하자."
3,"TEXT_SUBSEA054_00466_SEQ_03","세브린의 동료 세 사람을 구했다. '세브린'에게 '오렌지가 든 자루'를 돌려달라고 하자."
4,"TEXT_SUBSEA054_00466_SEQ_04","세브린은 동료를 구해준 모험가에게 보답하기 위해 그 약속을 지켰다. '오렌지가 든 자루'를 손에 넣자."
5,"TEXT_SUBSEA054_00466_SEQ_05","세브린이 빼돌리려던 '오렌지가 든 자루'를 무사히 되찾았다. '라다그란 관문'의 '오신'에게 납품하자."
6,"TEXT_SUBSEA054_00466_SEQ_06","라다그란 관문의 병사 오신의 반응으로 보아, 세브린은 이 전에도 몇 번이나 물건을 빼돌린 것 같다. '여름여울 농장'의 '슈텔뷔른'에게 사건의 자초지종을 보고하자."
7,"TEXT_SUBSEA054_00466_SEQ_07","슈텔뷔른은 농사일은 뒷전이고 사고만 치고 다니는 세브린이 걱정되는 것 같다. 세브린이 슈텔뷔른의 이런 마음을 알게 될 날이 올까?"
8,"TEXT_SUBSEA054_00466_SEQ_08",""
9,"TEXT_SUBSEA054_00466_SEQ_09",""
10,"TEXT_SUBSEA054_00466_SEQ_10",""
11,"TEXT_SUBSEA054_00466_SEQ_11",""
12,"TEXT_SUBSEA054_00466_SEQ_12",""
13,"TEXT_SUBSEA054_00466_SEQ_13",""
14,"TEXT_SUBSEA054_00466_SEQ_14",""
15,"TEXT_SUBSEA054_00466_SEQ_15",""
16,"TEXT_SUBSEA054_00466_SEQ_16",""
17,"TEXT_SUBSEA054_00466_SEQ_17",""
18,"TEXT_SUBSEA054_00466_SEQ_18",""
