key,0,1
#,,
int32,str,str
0,"TEXT_CLSWVR200_00591_SEQ_00","재봉사 길드마스터 향기로운 장미는 모험가에게 맡기고 싶은 일이 있는 듯하다."
1,"TEXT_CLSWVR200_00591_SEQ_01","모험가에게 딱 맞는 일이 있다고 한다. 우선 직물전문점 '태양비단'으로 가서 '마마자루'가 뭘 주문하려는지 자세히 듣자."
2,"TEXT_CLSWVR200_00591_SEQ_02","마마자루는 '마테리아'를 장착한 누비옷을 원하는 듯하다. 일단 '재봉사 길드'로 돌아가서 '향기로운 장미'와 상의해보자."
3,"TEXT_CLSWVR200_00591_SEQ_03","향기로운 장미와 상의했다. 마마자루는 꼭 마테리아가 장착된 옷을 가지고 싶은 것 같다. 어떤 속성이든 좋으니 '마테리아'를 장착한 <Sheet(Item,3039,0)/><13>FF0F02280BFF054974656DF20BDF0103FF04EBA5BCFF04EC9D84</13> 만들어서 '재봉사 길드'에 있는 '향기로운 장미'에게 납품하자. 마테리아에 대해 잘 모른다면 중부 다날란 '봉화 언덕'으로 가서 마테리아를 잘 아는 장인에게 물어보자."
4,"TEXT_CLSWVR200_00591_SEQ_04","마마자루는 모험가가 납품한 <Sheet(Item,3039,0)/><13>FF0F02280BFF054974656DF20BDF0103FF04EAB080FF04EC9DB4</13> 마음에 쏙 드는 것 같다. 향기로운 장미는 고객이 가진 단점을 잘 가려서 매력적인 신사숙녀로 보이게 하는 것 또한 옷의 역할이라고 했다. 좋은 옷을 납품받은 마마자루. 과연 앞으로 열심히 수행해나갈는지…….

※ 재봉사 레벨이 25 이상 되면 향기로운 장미에게 다음 재봉사 퀘스트를 받을 수 있습니다."
5,"TEXT_CLSWVR200_00591_SEQ_05",""
6,"TEXT_CLSWVR200_00591_SEQ_06",""
7,"TEXT_CLSWVR200_00591_SEQ_07",""
8,"TEXT_CLSWVR200_00591_SEQ_08",""
9,"TEXT_CLSWVR200_00591_SEQ_09",""
10,"TEXT_CLSWVR200_00591_SEQ_10",""
11,"TEXT_CLSWVR200_00591_SEQ_11",""
12,"TEXT_CLSWVR200_00591_SEQ_12",""
13,"TEXT_CLSWVR200_00591_SEQ_13",""
14,"TEXT_CLSWVR200_00591_SEQ_14",""
15,"TEXT_CLSWVR200_00591_SEQ_15",""
