key,0,1
#,,
int32,str,str
0,"TEXT_SUBWIL113_00621_SEQ_00","마른뼈 야영지 주민 대표 아이셈바드는 아울슨의 동향에 대해 알고 있는 듯하다."
1,"TEXT_SUBWIL113_00621_SEQ_01","아울슨이 무엇을 하는지 알아보기 위해 '금 장터'에 있는 '꾀죄죄한 소년'과 대화해보자."
2,"TEXT_SUBWIL113_00621_SEQ_02","아울슨은 소년의 보물을 찾으러 밖으로 나갔다가 돌아오지 않고 있는 모양이다. '아울슨'을 찾으러 가자."
3,"TEXT_SUBWIL113_00621_SEQ_03","'마른뼈 황야'로 돌아가 '아이셈바드'에게 아울슨의 행동을 보고하자."
4,"TEXT_SUBWIL113_00621_SEQ_04","아이셈바드는 어린아이를 위해 위험을 무릅쓴 그녀의 행동에 깜짝 놀랐다. 역시 그녀는 공범이 아닌 듯하다."
5,"TEXT_SUBWIL113_00621_SEQ_05",""
6,"TEXT_SUBWIL113_00621_SEQ_06",""
7,"TEXT_SUBWIL113_00621_SEQ_07",""
8,"TEXT_SUBWIL113_00621_SEQ_08",""
9,"TEXT_SUBWIL113_00621_SEQ_09",""
10,"TEXT_SUBWIL113_00621_SEQ_10",""
11,"TEXT_SUBWIL113_00621_SEQ_11",""
12,"TEXT_SUBWIL113_00621_SEQ_12",""
13,"TEXT_SUBWIL113_00621_SEQ_13",""
14,"TEXT_SUBWIL113_00621_SEQ_14",""
15,"TEXT_SUBWIL113_00621_SEQ_15",""
16,"TEXT_SUBWIL113_00621_SEQ_16",""
17,"TEXT_SUBWIL113_00621_SEQ_17",""
18,"TEXT_SUBWIL113_00621_SEQ_18",""
19,"TEXT_SUBWIL113_00621_SEQ_19",""
20,"TEXT_SUBWIL113_00621_SEQ_20",""
21,"TEXT_SUBWIL113_00621_SEQ_21",""
22,"TEXT_SUBWIL113_00621_SEQ_22",""
23,"TEXT_SUBWIL113_00621_SEQ_23",""
24,"TEXT_SUBWIL113_00621_TODO_00","꾀죄죄한 소년과 대화"
25,"TEXT_SUBWIL113_00621_TODO_01","아울슨 구출"
26,"TEXT_SUBWIL113_00621_TODO_02","아이셈바드에게 보고"
27,"TEXT_SUBWIL113_00621_TODO_03",""
28,"TEXT_SUBWIL113_00621_TODO_04",""
29,"TEXT_SUBWIL113_00621_TODO_05",""
30,"TEXT_SUBWIL113_00621_TODO_06",""
31,"TEXT_SUBWIL113_00621_TODO_07",""
32,"TEXT_SUBWIL113_00621_TODO_08",""
33,"TEXT_SUBWIL113_00621_TODO_09",""
34,"TEXT_SUBWIL113_00621_TODO_10",""
35,"TEXT_SUBWIL113_00621_TODO_11",""
36,"TEXT_SUBWIL113_00621_TODO_12",""
37,"TEXT_SUBWIL113_00621_TODO_13",""
38,"TEXT_SUBWIL113_00621_TODO_14",""
39,"TEXT_SUBWIL113_00621_TODO_15",""
40,"TEXT_SUBWIL113_00621_TODO_16",""
41,"TEXT_SUBWIL113_00621_TODO_17",""
42,"TEXT_SUBWIL113_00621_TODO_18",""
43,"TEXT_SUBWIL113_00621_TODO_19",""
44,"TEXT_SUBWIL113_00621_TODO_20",""
45,"TEXT_SUBWIL113_00621_TODO_21",""
46,"TEXT_SUBWIL113_00621_TODO_22",""
47,"TEXT_SUBWIL113_00621_TODO_23",""
48,"TEXT_SUBWIL113_00621_ISEMBARD_000_1","아울슨 사제님이라…….
그러고 보니 그분은 곧잘 혼자 '금 장터'에 가서
빈민 아이들과 뭔가 대화를 나누시던데, 설마……."
49,"TEXT_SUBWIL113_00621_ISEMBARD_000_2","……어쩌면 뭔가 알 수 있을지도 모르니,
그분이 거기 가서 대체 뭘 하시는지
'꾀죄죄한 소년'에게 한번 물어보는 게 어떻겠나?"
50,"TEXT_SUBWIL113_00621_CHILD_000_10","……다, 당신 모험가 맞죠? 저 좀 도와주세요!
아울슨 누나가 혼자 밖에 나갔는데
한참 지나도 안 오고 있어요!"
51,"TEXT_SUBWIL113_00621_CHILD_000_11","누나는 평소엔 여기서 이야기책을 읽어주시는데
오늘은 제가 잃어버린 보물을 찾으러 가는 바람에…….
누나가 마물한테 잡아먹히기 전에 빨리 찾아주세요!"
52,"TEXT_SUBWIL113_00621_CHILD_000_20","아울슨 누나가 마물한테 잡아먹힐지도 몰라요.
빨리 가서 찾아주세요!"
53,"TEXT_SUBWIL113_00621_OURCEN_000_30","다, 당신은 전에 뵈었던 모험가님이시죠……?
구해주셔서 감사합니다.
약간 다치기는 했지만 괜찮아요."
54,"TEXT_SUBWIL113_00621_OURCEN_000_31","다행히 아이의 보물도 찾았답니다!
어머님이 남겨주신 반지라고 하더군요…….
저는 이걸 아이에게 가져다주러 이만 실례하겠습니다."
55,"TEXT_SUBWIL113_00621_POP_MESSAGE","적이 나타났습니다!!"
56,"TEXT_SUBWIL113_00621_ISEMBARD_000_60","아울슨 사제님이 어린애 보물을 찾으러 갔다가 다치셨다고!?
혹시 모르니 여관에 방을 하나 확보해두겠네."
57,"TEXT_SUBWIL113_00621_ISEMBARD_000_61","……자신의 몸을 아끼지 않고
아이가 잃어버린 보물을 지켜낸 걸 보니
역시 그분은 공범일 것 같지가 않네."
