key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSA407_00749_SEQ_00","하늘다리에 있는 유적 조사원 클라우디엔은 모험가에게 맡기고 싶은 일이 있는 듯하다."
1,"TEXT_GAIUSA407_00749_SEQ_01","유적을 조사하는 데 방해가 되는 새들을 쫓아내 달라고 한다. 하늘다리에 있는 <Sheet(EObj,2001960,0)/>에 <Sheet(EventItem,2000599,0)/><13>FF15022811FF0A4576656E744974656DF61E86D70103FF04EBA5BCFF04EC9D84</13> 설치하자."
2,"TEXT_GAIUSA407_00749_SEQ_02","<Sheet(EObj,2001960,0)/>에 <Sheet(EventItem,2000599,0)/><13>FF15022811FF0A4576656E744974656DF61E86D70103FF04EBA5BCFF04EC9D84</13> 설치했다. 하늘다리에 있는 '클라우디엔'에게 보고하자."
3,"TEXT_GAIUSA407_00749_SEQ_03","클라우디엔은 모험가에게 고마워했다. 이제 유적 조사도 다시 진행될 것이다."
4,"TEXT_GAIUSA407_00749_SEQ_04",""
5,"TEXT_GAIUSA407_00749_SEQ_05",""
6,"TEXT_GAIUSA407_00749_SEQ_06",""
7,"TEXT_GAIUSA407_00749_SEQ_07",""
8,"TEXT_GAIUSA407_00749_SEQ_08",""
9,"TEXT_GAIUSA407_00749_SEQ_09",""
10,"TEXT_GAIUSA407_00749_SEQ_10",""
11,"TEXT_GAIUSA407_00749_SEQ_11",""
12,"TEXT_GAIUSA407_00749_SEQ_12",""
13,"TEXT_GAIUSA407_00749_SEQ_13",""
14,"TEXT_GAIUSA407_00749_SEQ_14",""
15,"TEXT_GAIUSA407_00749_SEQ_15",""
16,"TEXT_GAIUSA407_00749_SEQ_16",""
17,"TEXT_GAIUSA407_00749_SEQ_17",""
18,"TEXT_GAIUSA407_00749_SEQ_18",""
19,"TEXT_GAIUSA407_00749_SEQ_19",""
20,"TEXT_GAIUSA407_00749_SEQ_20",""
21,"TEXT_GAIUSA407_00749_SEQ_21",""
22,"TEXT_GAIUSA407_00749_SEQ_22",""
23,"TEXT_GAIUSA407_00749_SEQ_23",""
24,"TEXT_GAIUSA407_00749_TODO_00","<Sheet(EObj,2001960,0)/>에 <Sheet(EventItem,2000599,0)/> 사용"
25,"TEXT_GAIUSA407_00749_TODO_01","클라우디엔에게 보고"
26,"TEXT_GAIUSA407_00749_TODO_02",""
27,"TEXT_GAIUSA407_00749_TODO_03",""
28,"TEXT_GAIUSA407_00749_TODO_04",""
29,"TEXT_GAIUSA407_00749_TODO_05",""
30,"TEXT_GAIUSA407_00749_TODO_06",""
31,"TEXT_GAIUSA407_00749_TODO_07",""
32,"TEXT_GAIUSA407_00749_TODO_08",""
33,"TEXT_GAIUSA407_00749_TODO_09",""
34,"TEXT_GAIUSA407_00749_TODO_10",""
35,"TEXT_GAIUSA407_00749_TODO_11",""
36,"TEXT_GAIUSA407_00749_TODO_12",""
37,"TEXT_GAIUSA407_00749_TODO_13",""
38,"TEXT_GAIUSA407_00749_TODO_14",""
39,"TEXT_GAIUSA407_00749_TODO_15",""
40,"TEXT_GAIUSA407_00749_TODO_16",""
41,"TEXT_GAIUSA407_00749_TODO_17",""
42,"TEXT_GAIUSA407_00749_TODO_18",""
43,"TEXT_GAIUSA407_00749_TODO_19",""
44,"TEXT_GAIUSA407_00749_TODO_20",""
45,"TEXT_GAIUSA407_00749_TODO_21",""
46,"TEXT_GAIUSA407_00749_TODO_22",""
47,"TEXT_GAIUSA407_00749_TODO_23",""
48,"TEXT_GAIUSA407_00749_CLAUDIEN_000_000","높은 데는 무서운데…….
아냐, 아래만 안 보면 괜찮을 거야…….
하나도 안 높다, 안 무섭다…… 으으, 역시 안 되겠어……."
49,"TEXT_GAIUSA407_00749_CLAUDIEN_000_001","으악! 까, 깜짝이야……. 놀래키지 마!
젠장, 안 그래도 저 새들 때문에 힘든데…….
저놈들 때문에 유적 조사가 전혀 진척되질 않아."
50,"TEXT_GAIUSA407_00749_CLAUDIEN_000_002","그렇지, 자네가 저 새들을 쫓아내주면 안 될까?
이 <Sheet(EventItem,2000599,0)/><13>FF15022811FF0A4576656E744974656DF61E86D70103FF04EBA5BCFF04EC9D84</13>
4개 정도 설치하면 될 거야."
51,"TEXT_GAIUSA407_00749_DUMMYTODO_000_010","<Sheet(EventItem,2000599,0)/> 설치"
52,"TEXT_GAIUSA407_00749_CLAUDIEN_000_020","이야, 자네 덕분에 조사를 계속할 수 있겠어.
정말 고맙네.
이제 고소공포증만 극복하면 되나……."
