key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB202_00833_SEQ_00","코스타 델 솔의 쿠자이 타자이는 난처한 일이 있는 듯하다."
1,"TEXT_GAIUSB202_00833_SEQ_01","코스타 델 솔의 식량을 훔쳐가는 코볼드족을 퇴치해달라고 한다. <Sheet(EObj,2002050,0)/>에 <Sheet(EventItem,2000650,0)/><13>FF15022811FF0A4576656E744974656DF61E870A0103FF04EBA5BCFF04EC9D84</13> 놓아두자."
2,"TEXT_GAIUSB202_00833_SEQ_02","<Sheet(EventItem,2000650,0)/><13>FF15022811FF0A4576656E744974656DF61E870A0103FF04EBA5BCFF04EC9D84</13> 놓아두었다. <Sheet(EObj,2002051,0)/>에서 기다리다가, 코볼드족이 나타나면 물리치자."
3,"TEXT_GAIUSB202_00833_SEQ_03","나타난 코볼드족을 모두 물리쳤다. 코스타 델 솔에 있는 쿠자이 타자이에게 보고하자."
4,"TEXT_GAIUSB202_00833_SEQ_04","쿠자이 타자이는 모험가의 얘기를 듣고선 한숨 돌린 듯하다. 그러나 그가 말하길, 코볼드족이 전투 준비를 하고 있다는데……."
5,"TEXT_GAIUSB202_00833_SEQ_05",""
6,"TEXT_GAIUSB202_00833_SEQ_06",""
7,"TEXT_GAIUSB202_00833_SEQ_07",""
8,"TEXT_GAIUSB202_00833_SEQ_08",""
9,"TEXT_GAIUSB202_00833_SEQ_09",""
10,"TEXT_GAIUSB202_00833_SEQ_10",""
11,"TEXT_GAIUSB202_00833_SEQ_11",""
12,"TEXT_GAIUSB202_00833_SEQ_12",""
13,"TEXT_GAIUSB202_00833_SEQ_13",""
14,"TEXT_GAIUSB202_00833_SEQ_14",""
15,"TEXT_GAIUSB202_00833_SEQ_15",""
16,"TEXT_GAIUSB202_00833_SEQ_16",""
17,"TEXT_GAIUSB202_00833_SEQ_17",""
18,"TEXT_GAIUSB202_00833_SEQ_18",""
19,"TEXT_GAIUSB202_00833_SEQ_19",""
20,"TEXT_GAIUSB202_00833_SEQ_20",""
21,"TEXT_GAIUSB202_00833_SEQ_21",""
22,"TEXT_GAIUSB202_00833_SEQ_22",""
23,"TEXT_GAIUSB202_00833_SEQ_23",""
24,"TEXT_GAIUSB202_00833_TODO_00","<Sheet(EObj,2002050,0)/>에 <Sheet(EventItem,2000650,0)/> 사용"
25,"TEXT_GAIUSB202_00833_TODO_01","<Sheet(EObj,2002051,0)/>에서 대기하다 나타난 코볼드족 처치"
26,"TEXT_GAIUSB202_00833_TODO_02","쿠자이 타자이에게 보고"
27,"TEXT_GAIUSB202_00833_TODO_03",""
28,"TEXT_GAIUSB202_00833_TODO_04",""
29,"TEXT_GAIUSB202_00833_TODO_05",""
30,"TEXT_GAIUSB202_00833_TODO_06",""
31,"TEXT_GAIUSB202_00833_TODO_07",""
32,"TEXT_GAIUSB202_00833_TODO_08",""
33,"TEXT_GAIUSB202_00833_TODO_09",""
34,"TEXT_GAIUSB202_00833_TODO_10",""
35,"TEXT_GAIUSB202_00833_TODO_11",""
36,"TEXT_GAIUSB202_00833_TODO_12",""
37,"TEXT_GAIUSB202_00833_TODO_13",""
38,"TEXT_GAIUSB202_00833_TODO_14",""
39,"TEXT_GAIUSB202_00833_TODO_15",""
40,"TEXT_GAIUSB202_00833_TODO_16",""
41,"TEXT_GAIUSB202_00833_TODO_17",""
42,"TEXT_GAIUSB202_00833_TODO_18",""
43,"TEXT_GAIUSB202_00833_TODO_19",""
44,"TEXT_GAIUSB202_00833_TODO_20",""
45,"TEXT_GAIUSB202_00833_TODO_21",""
46,"TEXT_GAIUSB202_00833_TODO_22",""
47,"TEXT_GAIUSB202_00833_TODO_23",""
48,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_000","요즘 들어 코스타 델 솔의 식량을
몰래 훔쳐가는 '코볼드족'들이 있어요."
49,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_001","그 코볼드족들을 물리치자니, 제 힘으론 안 될 것 같고……
하지만 식량을 도둑 맞았다고 솔직히 보고하면
뒤어스트바이츠 님한테 혼날 거고……."
50,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_002","모험가님이 저 대신 코볼드족을 물리쳐 주시면 안 될까요?
이 <Sheet(EventItem,2000650,0)/><13>FF15022811FF0A4576656E744974656DF61E870A0103FF04EBA5BCFF04EC9D84</13> 미끼로 쓰면
그놈들을 꼬여낼 수 있을 거예요……."
51,"TEXT_GAIUSB202_00833_DUMMY_000_010","（指定地点に「食料が入った袋」を設置）"
52,"TEXT_GAIUSB202_00833_DUMMY_000_020","（指定地点で「待機」コボルドが３匹ＰＯＰ、倒す）"
53,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_030","정말 고맙습니다!
이제 뒤어스트바이츠 님한테 혼날 일은 없겠어요!"
54,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_031","제가 가끔 음식을 슬쩍해서 먹곤 했더니
이젠 뒤어스트바이츠 님도 제 일이라면
무조건 화부터 내고 보신다니까요…… 아하하."
55,"TEXT_GAIUSB202_00833_KUZAITAZAI_000_032","코볼드족도 그래요. 괜히 제 일을 늘리지 말았으면 좋겠는데……
요즘 보니 그놈들, 어쩐지 전투 준비를 하는 것 같더라구요.
이러다 안 좋은 일이 일어나는 거 아닌가 몰라……."
56,"TEXT_GAIUSB202_00833_POP_MESSAGE_000","적이 나타났습니다!!"
