key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSC206_00965_SEQ_00","배의 무덤에 있는 알두빌은 원하는 것이 있는 듯하다."
1,"TEXT_GAIUSC206_00965_SEQ_01","<Sheet(EventItem,2000746,0)/>에 술을 담아다 주기로 했다. <Sheet(EObj,2002187,0)/>에 있는 포도주를 담자."
2,"TEXT_GAIUSC206_00965_SEQ_02","<Sheet(EventItem,2000747,0)/><13>FF15022811FF0A4576656E744974656DF61E876B0103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 배의 무덤에 있는 '알두빌'에게 가져다주자."
3,"TEXT_GAIUSC206_00965_SEQ_03","알두빌에게 <Sheet(EventItem,2000747,0)/><13>FF15022811FF0A4576656E744974656DF61E876B0103FF04EBA5BCFF04EC9D84</13> 가져다주었다. 담아온 술은 바닷물이 스며들어서 마실 게 못 된다고 한다……."
4,"TEXT_GAIUSC206_00965_SEQ_04",""
5,"TEXT_GAIUSC206_00965_SEQ_05",""
6,"TEXT_GAIUSC206_00965_SEQ_06",""
7,"TEXT_GAIUSC206_00965_SEQ_07",""
8,"TEXT_GAIUSC206_00965_SEQ_08",""
9,"TEXT_GAIUSC206_00965_SEQ_09",""
10,"TEXT_GAIUSC206_00965_SEQ_10",""
11,"TEXT_GAIUSC206_00965_SEQ_11",""
12,"TEXT_GAIUSC206_00965_SEQ_12",""
13,"TEXT_GAIUSC206_00965_SEQ_13",""
14,"TEXT_GAIUSC206_00965_SEQ_14",""
15,"TEXT_GAIUSC206_00965_SEQ_15",""
16,"TEXT_GAIUSC206_00965_SEQ_16",""
17,"TEXT_GAIUSC206_00965_SEQ_17",""
18,"TEXT_GAIUSC206_00965_SEQ_18",""
19,"TEXT_GAIUSC206_00965_SEQ_19",""
20,"TEXT_GAIUSC206_00965_SEQ_20",""
21,"TEXT_GAIUSC206_00965_SEQ_21",""
22,"TEXT_GAIUSC206_00965_SEQ_22",""
23,"TEXT_GAIUSC206_00965_SEQ_23",""
24,"TEXT_GAIUSC206_00965_TODO_00","<Sheet(EObj,2002187,0)/>에 <Sheet(EventItem,2000746,0)/> 사용"
25,"TEXT_GAIUSC206_00965_TODO_01","알두빌에게 <Sheet(EventItem,2000747,0)/> 전달"
26,"TEXT_GAIUSC206_00965_TODO_02",""
27,"TEXT_GAIUSC206_00965_TODO_03",""
28,"TEXT_GAIUSC206_00965_TODO_04",""
29,"TEXT_GAIUSC206_00965_TODO_05",""
30,"TEXT_GAIUSC206_00965_TODO_06",""
31,"TEXT_GAIUSC206_00965_TODO_07",""
32,"TEXT_GAIUSC206_00965_TODO_08",""
33,"TEXT_GAIUSC206_00965_TODO_09",""
34,"TEXT_GAIUSC206_00965_TODO_10",""
35,"TEXT_GAIUSC206_00965_TODO_11",""
36,"TEXT_GAIUSC206_00965_TODO_12",""
37,"TEXT_GAIUSC206_00965_TODO_13",""
38,"TEXT_GAIUSC206_00965_TODO_14",""
39,"TEXT_GAIUSC206_00965_TODO_15",""
40,"TEXT_GAIUSC206_00965_TODO_16",""
41,"TEXT_GAIUSC206_00965_TODO_17",""
42,"TEXT_GAIUSC206_00965_TODO_18",""
43,"TEXT_GAIUSC206_00965_TODO_19",""
44,"TEXT_GAIUSC206_00965_TODO_20",""
45,"TEXT_GAIUSC206_00965_TODO_21",""
46,"TEXT_GAIUSC206_00965_TODO_22",""
47,"TEXT_GAIUSC206_00965_TODO_23",""
48,"TEXT_GAIUSC206_00965_AHLDUWIL_000_000","아, 제기랄. 술이 다 떨어졌잖아……. 끄윽.
……엇, 눈앞에 웬 모험가가 보이네?
게다가 한가해 보이잖아. 이 섬만큼 짜증 나는 녀석이군."
49,"TEXT_GAIUSC206_00965_AHLDUWIL_000_001","후우, 건너편 '배의 무덤'에는 해류를 타고
바다를 떠돌던 난파선 잔해가 밀려오곤 하지.
그중에 오래된 술통이 있으면 내용물은 아주 잘 익었을 거야. "
50,"TEXT_GAIUSC206_00965_AHLDUWIL_000_002","……너 한가하면 이 '병'에 술을 좀 담아다 줄래?
거기는 귀신도 술을 마시러 온다고 할 정도로
좋은 술통이 굴러다닌다니까 말이야……. 딸꾹."
51,"TEXT_GAIUSC206_00965_DUMMY_000_000","「船の墓場」のeob樽jにアクセス→「酔いどれゴースト」がポップ、倒すと「上質のワイン」をゲット"
52,"TEXT_GAIUSC206_00965_SYSTEM_000_000","（★未使用／削除予定★）"
53,"TEXT_GAIUSC206_00965_AHLDUWIL_000_010","귀신이 무서우면 난파선 털이도 못해먹지~!
……딸꾹!"
54,"TEXT_GAIUSC206_00965_AHLDUWIL_000_020","……이야, 아주 넘치도록 담아왔구만?
고생 좀 했겠어. 고맙다!"
55,"TEXT_GAIUSC206_00965_AHLDUWIL_000_021","가라앉은 배 중에는, 동주나 남방대륙이랑 거래할 보물을
왕창 실은 배도 있다고 하던데.
뭐, 지금 나한테는 이 술이 보물이지!"
56,"TEXT_GAIUSC206_00965_AHLDUWIL_000_022","자, 그럼 어디 마셔볼까……. 읍, 우욱, 짜!!
소금물이 들어갔나……. 이건 도저히 못 마시겠군!
……휴, 정말 짜증 나는 일만 잔뜩 있네……."
57,"TEXT_GAIUSC206_00965_POP_MESSAGE_000","적이 나타났습니다!!"
