key,0,1
#,,
int32,str,str
0,"TEXT_JOBDRG400_01069_SEQ_00","알베리크는 모험가에게 한층 특별한 용기사의 시련을 내리고자 하는 듯하다."
1,"TEXT_JOBDRG400_01069_SEQ_01","알베리크가 한층 특별한 '창천의 시련'을 받으러 가라고 했다. 커르다스 중앙고지 '마녀의 비탈'에 있는 신전기사 '우스티엔'과 대화하자."
2,"TEXT_JOBDRG400_01069_SEQ_02","한층 특별한 '창천의 시련'을 극복했다. 마녀의 비탈에 있는 신전기사 '우스티엔'과 대화하자."
3,"TEXT_JOBDRG400_01069_SEQ_03","우스티엔과 대화했다. 커르다스 중앙고지 '아도넬 점성대'에 있는 '알베리크'에게 보고하자."
4,"TEXT_JOBDRG400_01069_SEQ_04","알베리크에게 보고했다. 시련을 통과한 모험가의 '정의로운 마음'이 <Sheet(Item,　4545,0)/><13>FF15022811FF054974656DFF08E38080343534350103FF04EC9980FF04EAB3BC</13> 공명하여 새로운 '용의 힘'에 눈떴다. 니드호그가 깨어나기 전에 '용의 눈'을 되찾기 위해, 앞으로도 열심히 수행하자.

※ 용기사 레벨이 45 이상 되면 알베리크에게 다음 용기사 퀘스트를 받을 수 있습니다."
5,"TEXT_JOBDRG400_01069_SEQ_05",""
6,"TEXT_JOBDRG400_01069_SEQ_06",""
7,"TEXT_JOBDRG400_01069_SEQ_07",""
8,"TEXT_JOBDRG400_01069_SEQ_08",""
9,"TEXT_JOBDRG400_01069_SEQ_09",""
10,"TEXT_JOBDRG400_01069_SEQ_10",""
11,"TEXT_JOBDRG400_01069_SEQ_11",""
12,"TEXT_JOBDRG400_01069_SEQ_12",""
13,"TEXT_JOBDRG400_01069_SEQ_13",""
14,"TEXT_JOBDRG400_01069_SEQ_14",""
15,"TEXT_JOBDRG400_01069_SEQ_15",""
16,"TEXT_JOBDRG400_01069_SEQ_16",""
17,"TEXT_JOBDRG400_01069_SEQ_17",""
18,"TEXT_JOBDRG400_01069_SEQ_18",""
19,"TEXT_JOBDRG400_01069_SEQ_19",""
20,"TEXT_JOBDRG400_01069_SEQ_20",""
21,"TEXT_JOBDRG400_01069_SEQ_21",""
22,"TEXT_JOBDRG400_01069_SEQ_22",""
23,"TEXT_JOBDRG400_01069_SEQ_23",""
