key,0,1
#,,
int32,str,str
0,"TEXT_JOBWAR400_01051_SEQ_00","호기심 많은 산골짜기는 옛 문서를 좀 더 읽어보고 나서 전사에 관련된 믿기 어려운 사실과 마주한 것 같다."
1,"TEXT_JOBWAR400_01051_SEQ_01","호기심 많은 산골짜기가 일을 맡겼다. 동부 라노시아 '포도주 항구'에 있는 '포도주 항구 자경단장'과 대화하자."
2,"TEXT_JOBWAR400_01051_SEQ_02","포도주 항구 자경단장과 대화했다. 동부 라노시아의 <Sheet(EObj,2002307,0)/>에서 주위를 둘러보고 마물을 처치하자."
3,"TEXT_JOBWAR400_01051_SEQ_03","지정된 마물을 처치했다. 동부 라노시아 '포도주 항구'에 있는 '포도주 항구 자경단장'과 대화하자."
4,"TEXT_JOBWAR400_01051_SEQ_04","포도주 항구 사람들은 호기심 많은 산골짜기가 '털북숭이 괴물'과 한패라고 오해하고 있다. '포도주 항구 자경단장'과 상의하자."
5,"TEXT_JOBWAR400_01051_SEQ_05","포도주 항구 자경단장과 대화했다. 동부 라노시아 '숨겨진 폭포'에 있는 '호기심 많은 산골짜기'에게 보고하자."
6,"TEXT_JOBWAR400_01051_SEQ_06","호기심 많은 산골짜기에게 보고했다. 그는 일찍이 에오르제아에서 전사가 사라진 이유를 '전사'가 괴물이 되었다는 오해를 샀기 때문이라고 여겼다. 그런데 호기심 많은 산골짜기는 달리 마음에 걸리는 일이 있는지 왠지 불안해하며 옛 문서에 더욱 매달렸다. 그가 새로운 정보를 알아낼 때까지 수련에 힘쓰자.

※ 전사 레벨이 45 이상 되면 호기심 많은 산골짜기에게 다음 전사 퀘스트를 받을 수 있습니다."
7,"TEXT_JOBWAR400_01051_SEQ_07",""
8,"TEXT_JOBWAR400_01051_SEQ_08",""
9,"TEXT_JOBWAR400_01051_SEQ_09",""
10,"TEXT_JOBWAR400_01051_SEQ_10",""
11,"TEXT_JOBWAR400_01051_SEQ_11",""
12,"TEXT_JOBWAR400_01051_SEQ_12",""
13,"TEXT_JOBWAR400_01051_SEQ_13",""
14,"TEXT_JOBWAR400_01051_SEQ_14",""
15,"TEXT_JOBWAR400_01051_SEQ_15",""
16,"TEXT_JOBWAR400_01051_SEQ_16",""
17,"TEXT_JOBWAR400_01051_SEQ_17",""
