key,0,1
#,,
int32,str,str
0,"TEXT_JOBWHM350_01080_SEQ_00","고요한 야영지에 있는 라야 오 센나는 모험가에게 부탁하고 싶은 일이 있는 듯하다."
1,"TEXT_JOBWHM350_01080_SEQ_01","라야 오 센나가 일을 맡겼다. 중부삼림 '수영풀 쉼터'에 있는 나무, <Sheet(EObj,2002392,0)/><13>FF1002280CFF05454F626AF61E8DD80103FF04EBA5BCFF04EC9D84</13> 진정시키자."
2,"TEXT_JOBWHM350_01080_SEQ_02","수영풀 쉼터에서 분노에 휩싸인 나무를 진정시켰다. 남부삼림 '고요한 야영지'에 있는 '라야 오 센나'에게 보고하자."
3,"TEXT_JOBWHM350_01080_SEQ_03","라야 오 센나에게 보고했다. 그녀는 정령이 분노에 휩싸인 것과 검은장막 숲이 이상해진 것은 서로 깊은 관련이 있다고 했다. 그런 혼란을 바로 잡는 것이 백마도사이며, 그게 꼭 뿔의 아이여야만 하는 것은 아닌데도 남동생 아 룬 센나가 그 사실을 못 받아들이는 게 걱정인 것 같다. 아 룬 센나도 인정할 만한 백마도사가 될 수 있도록 수행에 힘쓰자.

※ 백마도사 레벨이 40 이상 되면 라야 오 센나에게 다음 백마도사 퀘스트를 받을 수 있습니다."
4,"TEXT_JOBWHM350_01080_SEQ_04",""
5,"TEXT_JOBWHM350_01080_SEQ_05",""
6,"TEXT_JOBWHM350_01080_SEQ_06",""
7,"TEXT_JOBWHM350_01080_SEQ_07",""
8,"TEXT_JOBWHM350_01080_SEQ_08",""
9,"TEXT_JOBWHM350_01080_SEQ_09",""
10,"TEXT_JOBWHM350_01080_SEQ_10",""
11,"TEXT_JOBWHM350_01080_SEQ_11",""
12,"TEXT_JOBWHM350_01080_SEQ_12",""
13,"TEXT_JOBWHM350_01080_SEQ_13",""
14,"TEXT_JOBWHM350_01080_SEQ_14",""
15,"TEXT_JOBWHM350_01080_SEQ_15",""
16,"TEXT_JOBWHM350_01080_SEQ_16",""
17,"TEXT_JOBWHM350_01080_SEQ_17",""
18,"TEXT_JOBWHM350_01080_SEQ_18",""
19,"TEXT_JOBWHM350_01080_SEQ_19",""
20,"TEXT_JOBWHM350_01080_SEQ_20",""
21,"TEXT_JOBWHM350_01080_SEQ_21",""
22,"TEXT_JOBWHM350_01080_SEQ_22",""
