key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA209_01240_SEQ_00","잿빛 진영의 나루지 보는 모험가에게 의뢰할 일이 있는 듯하다."
1,"TEXT_BANAMA209_01240_SEQ_01","나루지 보의 의뢰를 받았다. 리틀 알라미고 동쪽에 있는 '곤경에 처한 상인'과 대화하여 사정을 들어보자."
2,"TEXT_BANAMA209_01240_SEQ_02","곤경에 처한 상인과 대화했다. 잔라크에 있는 <Sheet(EventItem,2001161,0)/><13>FF15022811FF0A4576656E744974656DF61E89090103FF04EBA5BCFF04EC9D84</13> 3개 탈환하자. 또 잔라크 제단 주변에 있는 <Sheet(EObj,2003056,0)/><13>FF1002280CFF05454F626AF61E90700103FF04EBA5BCFF04EC9D84</13> 찾아내어 근처에 있는 <Sheet(BNpcName,2302,0)/><13>FF1302280FFF09424E70634E616D65F208FE0103FF04EBA5BCFF04EC9D84</13> 처치한 후 탈환하도록 하자."
3,"TEXT_BANAMA209_01240_SEQ_03","<Sheet(EventItem,2001161,0)/><13>FF15022811FF0A4576656E744974656DF61E89090103FF04EC9980FF04EAB3BC</13> <Sheet(EventItem,2001162,0)/><13>FF15022811FF0A4576656E744974656DF61E890A0103FF04EBA5BCFF04EC9D84</13> 모두 되찾았다. 리틀 알라미고 동쪽에 있는 '곤경에 처한 상인'에게 건네자."
4,"TEXT_BANAMA209_01240_SEQ_04","곤경에 처한 상인에게 짐을 돌려주었다. 잿빛 진영에 있는 '나루지 보'에게 보고하자."
5,"TEXT_BANAMA209_01240_SEQ_05","나루지 보에게 보고했다. 그는 아말쟈족이 인간과 마주하면 오해를 낳는다고 생각해서 자기 대신 의뢰를 수행해 준 모험가에게 진심으로 고마워했다. 다음에 기회가 오면 또 힘을 빌려주자."
6,"TEXT_BANAMA209_01240_SEQ_06",""
7,"TEXT_BANAMA209_01240_SEQ_07",""
8,"TEXT_BANAMA209_01240_SEQ_08",""
9,"TEXT_BANAMA209_01240_SEQ_09",""
10,"TEXT_BANAMA209_01240_SEQ_10",""
11,"TEXT_BANAMA209_01240_SEQ_11",""
12,"TEXT_BANAMA209_01240_SEQ_12",""
13,"TEXT_BANAMA209_01240_SEQ_13",""
14,"TEXT_BANAMA209_01240_SEQ_14",""
15,"TEXT_BANAMA209_01240_SEQ_15",""
