key,0,1
#,,
int32,str,str
0,"TEXT_BANKOB004_01323_SEQ_00","제789땅굴단 채굴지의 흑와단 소위 스케츠위스는 모험가에게 긴히 할 이야기가 있는 듯하다."
1,"TEXT_BANKOB004_01323_SEQ_01","지금까지의 이야기:
 우연한 계기로 코볼드족 사회 최하층 집단인 '제789땅굴단'의 복수(라는 이름의 심술)에 가담하게 된 모험가. 복수 작전은 의외로 순조롭게 진행되어, 복수 대상인 '제13단 두목 조 가'가 계획하고 있던 '신형 연금솥'의 작동을 정지시키는 데에도 성공했다. 그러나 제13단 두목 조 가는 분명 이에 보복할 것이다. 제789땅굴단 채굴지의 책임자 '제789단 광부 기 그'의 안전을 걱정한 소꿉친구 '제175단 연금술사 비 비'가 만류했지만, 이미 돌이킬 수 없는 상황까지 왔다. 그리하여 제789땅굴단과 모험가는 복수(라고 주장하지만 아무리 봐도 심술)를 계속하게 되었다.
　　　　　　　　　　　　*　*　*
흑와단 소위 스케츠위스의 말에 따르면, 우가마로 무장광산의 코볼드족이 꾸미고 있는 '계획'에 대해 흑와단 측에서도 뭔가 생각이 있는 모양이다. 외지 라노시아 '감시대 야영지'에 있는 '흑와단 소령 블루이딘'의 이야기를 들어보자."
2,"TEXT_BANKOB004_01323_SEQ_02","흑와단 소령 블루이딘은 모험가에게 계속해서 조 가를 괴롭히며 시간을 벌어달라고 부탁했다. 제789땅굴단 채굴지로 돌아가 '흑와단 소위 스케츠위스'에게 보고하자."
3,"TEXT_BANKOB004_01323_SEQ_03","흑와단 소위 스케츠위스에게 보고하던 중, 제789단 광부 기 그가 당황한 모습으로 나타나 모험가에게 매달렸다. 그의 소꿉친구인 제175단 연금술사 비 비가 실종되었다고 한다. 외지 라노시아 '코볼드군 시굴지'에 가서 그녀를 찾아보자."
4,"TEXT_BANKOB004_01323_SEQ_04","제175단 연금술사 비 비는 코볼드군 시굴지에서 성질 나쁜 코볼드족들에게 둘러싸여 있었다. 그들을 물리치고 '제175단 연금술사 비 비'에게 말을 걸자."
5,"TEXT_BANKOB004_01323_SEQ_05","제175단 연금술사 비 비는 소중한 <Sheet(EventItem,2001235,0)/><13>FF15022811FF0A4576656E744974656DF61E89530103FF04EBA5BCFF04EC9D84</13> 어딘가에 떨어뜨린 것 같다고 한다. 외지 라노시아 '코볼드군 시굴지' 일대를 수색하여 <Sheet(EventItem,2001235,0)/><13>FF15022811FF0A4576656E744974656DF61E89530103FF04EBA5BCFF04EC9D84</13> 찾아내자."
6,"TEXT_BANKOB004_01323_SEQ_06","<Sheet(EventItem,2001235,0)/><13>FF15022811FF0A4576656E744974656DF61E89530103FF04EBA5BCFF04EC9D84</13> 발견했다. '코볼드군 시굴지'에 있는 제175단 연금술사 비 비에게 가져다주자."
7,"TEXT_BANKOB004_01323_SEQ_07","제175단 연금술사 비 비는 모험가에게 고마워했다. 그녀는 제789단 광부 기 그에 대한 자신의 마음을 밝히고 모험가에게 <Sheet(EventItem,2001236,0)/><13>FF15022811FF0A4576656E744974656DF61E89540103FF04EBA5BCFF04EC9D84</13> 맡겼다. 제789땅굴단 채굴지에 있는 '제789단 광부 기 그'에게 <Sheet(EventItem,2001236,0)/><13>FF15022811FF0A4576656E744974656DF61E89540103FF04EBA5BCFF04EC9D84</13> 전달하자."
