key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE201_01345_SEQ_00","돌의 집에 있는 민필리아는 모험가에게 새로운 '새벽'에서 처음으로 할 일을 맡기려는 듯하다."
1,"TEXT_GAIUSE201_01345_SEQ_01","지금까지의 이야기:
모험가와 '새벽의 혈맹'이 활약하여 갈레말 제국군 군단장 '가이우스'가 품은 야망은 무너지고, 에오르제아에 잠시 평화가 찾아왔다. 이러한 업적을 이뤄낸 '새벽의 혈맹'은 자신들을 정치적으로 이용하려는 자들과 거리를 두기 위해 본부를 모르도나 '망자의 종소리'로 옮기게 되었다. 그러던 중 그들 앞에 흰옷을 입은 수수께끼의 존재 '아씨엔 엘리디부스'가 나타났다. 자신을 '진정한 신과 인간을 잇는 조정자'라고 칭한 아씨엔 엘리디부스는 '초월하는 힘'을 가진 모험가와 민필리아에게 그 힘을 받아들이라고 했다. 그렇게 하면 인간과 아씨엔이 서로 싸우지 않아도 된다는 것이 그의 주장이었다. 하지만 맹주 민필리아는 그 말에 넘어가지 않고 에오르제아를 구하기 위해 아씨엔과 싸우기로 다짐했다. 불사의 존재 아씨엔을 이 세상에서 완전히 없앨 방법이 과연 있을 것인가…….
　　　　　　　　　　　　*　*　*
아마지나 광산회사에서 크리스탈이 자꾸 없어지는 사건이 야만신 소환과 관련되었다는 의혹이 있어, 민필리아가 조사를 부탁했다. 서부 다날란 '지평선 관문'에 있는 '야슈톨라'와 대화하자."
2,"TEXT_GAIUSE201_01345_SEQ_02","야슈톨라는 크리스탈이 없어진 사건을 해결할 단서를 찾고 있었다. 지평선 관문 수사를 맡은 구리칼날단 장미연대 '푸푸루파'에게 사건의 자세한 내막을 들어보자."
3,"TEXT_GAIUSE201_01345_SEQ_03","사건을 풀 단서는 아직 못 잡은 것 같다. 하지만 검문을 뚫고 동부 다날란 쪽으로 도주한 초코보 마차가 나타났다고 한다. 이 일을 '지평선 관문'에 있는 '야슈톨라'에게 얘기하자."
4,"TEXT_GAIUSE201_01345_SEQ_04","도주하는 초코보 마차가 동부 다날란 '아말쟈군 진영'으로 향하지 않았을까 짐작하는 야슈톨라. 동부 다날란 '아말쟈군 진영'에 있는 '산크레드'와 대화하자."
5,"TEXT_GAIUSE201_01345_SEQ_05","산크레드는 도주한 초코보 마차가 크리스탈 소실사건과는 관련이 없다는 사실을 밝혀냈다. 산크레드가 '아말쟈군 진영'도 살펴봤지만 별다른 움직임이 없다고 한다. 조사 준비를 다시 갖추기 위해 지평선 관문으로 일단 돌아가서 '산크레드'와 대화하자."
6,"TEXT_GAIUSE201_01345_SEQ_06","산크레드와 지평선 관문에서 다시 만났을 무렵, 저녁별 만 '여객선 부두'에 동방의 외딴 도시 '도마'에서 찾아왔다는 이방인이 발을 디뎠다. 이방인은 울다하 왕을 만나고 싶어하는데……."
7,"TEXT_GAIUSE201_01345_SEQ_07",""
