key,0,1
#,,
int32,str,str
0,"TEXT_BANIXA605_01566_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ 이 퀘스트의 권장 레벨은 ""제작자 클래스 16, 전투 클래스 49 이상""입니다.

에카틀 실험장의 부단장 제즐 아후아탄은 모험가에게 특수한 제작 의뢰를 하고 싶은 듯하다."
1,"TEXT_BANIXA605_01566_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정<13>FF2A024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA095FF04EAB080FF04EC9DB4</13>
 적용됩니다.

부단장 제즐 아후아탄이 <Sheet(ItemHQ,　8125,0)/> 제작을 의뢰했다. 우선 커르다스 중앙고지 '악귀의 위장'에 가서 <Sheet(BNpcName,　2918,0)/><13>FF19022815FF09424E70634E616D65FF08E38080323931380103FF04EBA5BCFF04EC9D84</13> 처치하자. 그리고 <Sheet(BNpcName,2992,0)/><13>FF1302280FFF09424E70634E616D65F20BB00103FF04EAB080FF04EC9DB4</13> 나타나면 처치하여 <Sheet(EventItem,2001430,0)/><13>FF15022811FF0A4576656E744974656DF61E8A160103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
2,"TEXT_BANIXA605_01566_SEQ_02","<Sheet(EventItem,2001430,0)/><13>FF15022811FF0A4576656E744974656DF61E8A160103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 용머리 전진기지에 있는 '노르베토'에게 <Sheet(EventItem,2001430,0)/><13>FF15022811FF0A4576656E744974656DF61E8A160103FF04EBA5BCFF04EC9D84</13> 건네고 제작시설 사용 허가를 받자."
3,"TEXT_BANIXA605_01566_SEQ_03","제작시설을 사용할 준비가 끝났다. <Sheet(Item,　8082,0)/><14>FF15022811FF054974656DFF08E38080383038320103FF04EBA19CFF07EC9CBCEBA19C</14> <Sheet(ItemHQ,　8125,0)/><13>FF17022813FF074974656D4851FF08E38080383132350103FF04EBA5BCFF04EC9D84</13> 2개 제작하여 에카틀 실험장에 있는 '부단장 제즐 아후아탄'에게 납품하자.

※ 강화 효과 '제작시설: 고급제작 2'가 끝나거나 <Sheet(Item,　8082,0)/><13>FF15022811FF054974656DFF08E38080383038320103FF04EBA5BCFF04EC9D84</13> 잃어버렸을 때에는 노르베토에게 말을 걸어주세요. 강화 효과와 재료를 다시 받아서 재도전할 수 있습니다."
4,"TEXT_BANIXA605_01566_SEQ_04","부단장 제즐 아후아탄에게 <Sheet(ItemHQ,　8125,0)/><13>FF17022813FF074974656D4851FF08E38080383132350103FF04EBA5BCFF04EC9D84</13> 납품했다. 제즐은 엄격하고 무서운 모습으로 조직 내 규율을 잡는 역할이라 누군가를 대놓고 칭찬하는 일은 거의 없지만, 마음속으로는 모험가의 기술에 크게 감탄하고 있는 듯하다. 중간에 조달했던 수상한 재료의 정체가 궁금하지만, 그게 무엇이었든 간에 전도율 향상에 기여한 것은 확실해 보인다……."
5,"TEXT_BANIXA605_01566_SEQ_05",""
6,"TEXT_BANIXA605_01566_SEQ_06",""
7,"TEXT_BANIXA605_01566_SEQ_07",""
