key,0,1
#,,
int32,str,str
0,"TEXT_FESSUM010_01543_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

'불꽃축제 실행위원장 헤어마가'는 모든 행사에 참가한 모험가에게 특별한 보상을 주려는 듯하다."
1,"TEXT_FESSUM010_01543_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
     진행하실 수 있습니다.
     개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
     자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

헤어마가가 말한 특별한 보상은 불꽃놀이 세트와 비장의 전통춤이었다. <If(PlayerParameter(4))><Sheet(Item,2970,0)/><Else/><Sheet(Item,2967,0)/></If><13>FF27020823E905FF0F02280BFF054974656DF20B9A0103FF0F02280BFF054974656DF20B97010303FF04EBA5BCFF04EC9D84</13> 입고 뱃고물 광장에 있는 '불꽃축제 실행위원'을 찾아가서 남은 불꽃놀이 세트가 있는지 물어보자."
2,"TEXT_FESSUM010_01543_SEQ_02","불꽃축제 실행위원은 헤어마가가 '기다리는 사람이 오지 않아서' 기운이 없는 것 같다며 걱정했다. 레스토랑 '비스마르크'에 가서 헤어마가가 기다리는 사람을 찾자. 그동안 보상으로 줄 불꽃놀이 세트를 준비해두겠다고 한다."
3,"TEXT_FESSUM010_01543_SEQ_03","헤어마가가 기다리는 '무역상 야미미'를 만났다. 그녀는 죽은 남자아이가 헤어마가에게 남긴 선물을 맡겼다. 그 남자아이와 헤어마가는 예전에 열린 불꽃축제를 통해 친해진 모양이다. 뱃고물 광장에 있는 '불꽃축제 실행위원장 헤어마가'에게 남자아이가 남긴 <Sheet(EventItem,2001433,0)/><13>FF15022811FF0A4576656E744974656DF61E8A190103FF04EBA5BCFF04EC9D84</13> 전달하자."
4,"TEXT_FESSUM010_01543_SEQ_04","불꽃축제 실행위원장 헤어마가는 <Sheet(EventItem,2001433,0)/><13>FF15022811FF0A4576656E744974656DF61E8A190103FF04EBA5BCFF04EC9D84</13> 전해준 모험가에게 몹시 고마워했다. 죽은 남자아이가 남긴 물건에는 앞으로도 계속 불꽃축제를 열어달라는 의미가 담겨있었다. 헤어마가가 앞으로도 축제를 지켜나가겠다고 다짐하며 행사는 마무리되었다. 계속해서 붉은빛 제전 '불꽃축제'를 즐기자."
5,"TEXT_FESSUM010_01543_SEQ_05",""
6,"TEXT_FESSUM010_01543_SEQ_06",""
7,"TEXT_FESSUM010_01543_SEQ_07",""
