key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA115_01594_SEQ_00","장미의 집에 있는 마리엘은 걱정거리가 있는 듯하다."
1,"TEXT_HEAVNA115_01594_SEQ_01","마리엘이 라니에트를 보고 와달라고 부탁했다. 장미의 집에 있는 '라니에트'와 대화하자."
2,"TEXT_HEAVNA115_01594_SEQ_02","에마넬랭을 데리고 부르 시안시란에 가서 <Sheet(EventItem,2001574,0)/><13>FF15022811FF0A4576656E744974656DF61E8AA60103FF04EBA5BCFF04EC9D84</13> 채집해달라고 라니에트가 부탁했다. 장미의 집에 있는 '에마넬랭'과 대화하자."
3,"TEXT_HEAVNA115_01594_SEQ_03","에마넬랭에게 라니에트가 내린 임무를 통보하자, 그는 곧장 현지로 향했다. 아발라시아 구름바다 '부르 시안시란'에 있는 '에마넬랭'과 대화하자."
4,"TEXT_HEAVNA115_01594_SEQ_04","에마넬랭과 대화하고 그의 도전을 받았다. 부르 시안시란에 있는 <Sheet(EventItem,2001574,0)/><13>FF15022811FF0A4576656E744974656DF61E8AA60103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
5,"TEXT_HEAVNA115_01594_SEQ_05","<Sheet(EventItem,2001574,0)/><13>FF15022811FF0A4576656E744974656DF61E8AA60103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 부르 시안시란에 있는 '오노루아'에게 <Sheet(EventItem,2001574,0)/><13>FF15022811FF0A4576656E744974656DF61E8AA60103FF04EBA5BCFF04EC9D84</13> 건네자."
6,"TEXT_HEAVNA115_01594_SEQ_06","오노루아에게 <Sheet(EventItem,2001574,0)/><13>FF15022811FF0A4576656E744974656DF61E8AA60103FF04EBA5BCFF04EC9D84</13> 건넸다. 그는 하늘섬에서 물이 생성되는 원리를 알고 감동한 것 같다."
7,"TEXT_HEAVNA115_01594_SEQ_07",""
8,"TEXT_HEAVNA115_01594_SEQ_08",""
9,"TEXT_HEAVNA115_01594_SEQ_09",""
10,"TEXT_HEAVNA115_01594_SEQ_10",""
11,"TEXT_HEAVNA115_01594_SEQ_11",""
12,"TEXT_HEAVNA115_01594_SEQ_12",""
13,"TEXT_HEAVNA115_01594_SEQ_13",""
14,"TEXT_HEAVNA115_01594_SEQ_14",""
15,"TEXT_HEAVNA115_01594_SEQ_15",""
