key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ113_01762_SEQ_00","성 피네아 연대 야영지의 도미니아크는 초조한 기색으로 생각에 빠져있는 듯하다."
1,"TEXT_HEAVNZ113_01762_SEQ_01","도미니아크가 드래곤족에 대한 정보를 모아달라고 부탁했다. 성 피네아 연대 야영지에서 드래곤족에 대해 아는 사람을 찾자."
2,"TEXT_HEAVNZ113_01762_SEQ_02","교활한 순찰병이 드래곤족에 대한 정보를 알려주겠다고 한다. 하지만 그 대가로 대신 순찰을 해달라고 한다. 성 피네아 연대 야영지 부근에 있는 <Sheet(EObj,2006005,0)/>에서 주위를 둘러보자."
3,"TEXT_HEAVNZ113_01762_SEQ_03","순찰을 마쳤다. 성 피네아 연대 야영지에 있는 '교활한 순찰병'에게 보고하자."
4,"TEXT_HEAVNZ113_01762_SEQ_04","교활한 순찰병이 드래곤족 졸개의 시체를 놓아두면 다른 졸개를 유인할 수 있다는 정보를 알려주었다. 성 피네아 연대 야영지에 있는 '도미니아크'에게 보고하자."
5,"TEXT_HEAVNZ113_01762_SEQ_05","도미니아크에게 보고했다. 그는 드래곤족 졸개의 습성을 이용해 고위 드래곤족을 유인할 계획을 세운 모양이다. 그의 계획을 도와주자."
6,"TEXT_HEAVNZ113_01762_SEQ_06",""
7,"TEXT_HEAVNZ113_01762_SEQ_07",""
8,"TEXT_HEAVNZ113_01762_SEQ_08",""
9,"TEXT_HEAVNZ113_01762_SEQ_09",""
10,"TEXT_HEAVNZ113_01762_SEQ_10",""
11,"TEXT_HEAVNZ113_01762_SEQ_11",""
12,"TEXT_HEAVNZ113_01762_SEQ_12",""
13,"TEXT_HEAVNZ113_01762_SEQ_13",""
14,"TEXT_HEAVNZ113_01762_SEQ_14",""
15,"TEXT_HEAVNZ113_01762_SEQ_15",""
16,"TEXT_HEAVNZ113_01762_SEQ_16",""
17,"TEXT_HEAVNZ113_01762_SEQ_17",""
18,"TEXT_HEAVNZ113_01762_SEQ_18",""
19,"TEXT_HEAVNZ113_01762_SEQ_19",""
20,"TEXT_HEAVNZ113_01762_SEQ_20",""
21,"TEXT_HEAVNZ113_01762_SEQ_21",""
22,"TEXT_HEAVNZ113_01762_SEQ_22",""
23,"TEXT_HEAVNZ113_01762_SEQ_23",""
