key,0,1
#,,
int32,str,str
0,"TEXT_CLSALC502_02065_SEQ_00","연금술사 길드마스터 세베리안은 뭔가 심오한 심부름을 떠맡기려는 듯하다."
1,"TEXT_CLSALC502_02065_SEQ_01","지금까지의 이야기:
천재적인 연금술사인 길드마스터 세베리안의 '심부름꾼'으로 연금술사 길드에 입문한 모험가는, 금세 두각을 드러내며 그의 '조수'로 승진했다. 세베리안이 침식을 잊고 연구하는 '궁극의 연금술'이란, 바로 죽은 연인 와나자를 되살리기 위한 생명 창조법이었다. 모험가의 도움을 받아 비술을 발동한 세베리안은 연인의 영혼과 잠시나마 재회할 수 있었다. 그리고 그는 맑은 미소를 띠며 이렇게 말했다. '너는 최고의 조수야'라고…….
　　　　　　　　　　　　*　*　*
세베리안이 심부름을 맡겼다. 연금술사 길드에 있는 '디트리히'와 대화하여 망자의 종소리에 배달할 물건을 받자."
2,"TEXT_CLSALC502_02065_SEQ_02","디트리히와 대화했다. 모르도나 '망자의 종소리'에 있는 '빌트베크'에게 디트리히가 맡긴 <Sheet(EventItem,2001704,0)/><13>FF15022811FF0A4576656E744974656DF61E8B280103FF04EBA5BCFF04EC9D84</13> 전달하자."
3,"TEXT_CLSALC502_02065_SEQ_03","빌트베크에게 <Sheet(EventItem,2001704,0)/><13>FF15022811FF0A4576656E744974656DF61E8B280103FF04EBA5BCFF04EC9D84</13> 전달했다. 세베리안의 꾀에 빠져 범죄 조사에 협조하게 되었다. 망자의 종소리 주변에서 자주 발생하는 '연금술'을 악용한 범죄의 진상을 파헤치기 위해 빌트베크를 비롯한 모험가 길드 사람들과 힘을 모으자.

※ 연금술사 레벨이 53 이상 되면 망자의 종소리에 있는 빌트베크에게 다음 연금술사 퀘스트를 받을 수 있습니다."
4,"TEXT_CLSALC502_02065_SEQ_04",""
5,"TEXT_CLSALC502_02065_SEQ_05",""
6,"TEXT_CLSALC502_02065_SEQ_06",""
7,"TEXT_CLSALC502_02065_SEQ_07",""
8,"TEXT_CLSALC502_02065_SEQ_08",""
9,"TEXT_CLSALC502_02065_SEQ_09",""
10,"TEXT_CLSALC502_02065_SEQ_10",""
11,"TEXT_CLSALC502_02065_SEQ_11",""
12,"TEXT_CLSALC502_02065_SEQ_12",""
13,"TEXT_CLSALC502_02065_SEQ_13",""
