key,0,1
#,,
int32,str,str
0,"TEXT_CLSHRV550_02050_SEQ_00","에테라이트 광장의 무지 뮤릴라에게 새로운 요청이 들어온 듯하다."
1,"TEXT_CLSHRV550_02050_SEQ_01","이슈가르드의 원예가 바실로부터 요청이 들어왔다고 한다. 아발라시아 구름바다 '구름마루 초소'에 있는 '바실'과 대화하자."
2,"TEXT_CLSHRV550_02050_SEQ_02","바실은 토양 개량에 도움이 되는 작물을 찾고 있다고 한다. 그리다니아 '원예가 길드'에 있는 '푸푸차'에게 상의하자."
3,"TEXT_CLSHRV550_02050_SEQ_03","푸푸차가 말하길, <Sheet(EventItem,2001664)/><13>FF14022810FF0A4576656E744974656DF51E8B0103FF04EC9980FF04EAB3BC</13> 고지에 적응한 품종을 교잡하면 원하는 품종이 탄생할지도 모른다고 한다. 현지 기후에 박식한 전문가를 찾기 위해, 이슈가르드 '에테라이트 광장'에 있는 '무지 뮤릴라'와 대화하자."
4,"TEXT_CLSHRV550_02050_SEQ_04","무지 뮤릴라가 이슈가르드의 본초학자를 만나게 해준다고 한다. 이슈가르드 '성 레마노 대성당'에 있는 본초학자 '마르티노'와 대화하자."
5,"TEXT_CLSHRV550_02050_SEQ_05","마르티노가 말하길, <Sheet(EventItem,2001664)/><13>FF14022810FF0A4576656E744974656DF51E8B0103FF04EC9980FF04EAB3BC</13> <Sheet(ItemHQ,12879,0)/><13>FF1102280DFF074974656D4851F2324F0103FF04EBA5BCFF04EC9D84</13> 교잡하면 원하는 품종을 얻을 수 있을 거라 한다. <Sheet(ItemHQ,12879,0)/><13>FF1102280DFF074974656D4851F2324F0103FF04EBA5BCFF04EC9D84</13> 10개 조달하여 구름마루 초소에 있는 '바실'에게 납품하자. <Sheet(ItemHQ,12879,0)/><13>FF1102280DFF074974656D4851F2324F0103FF04EB8A94FF04EC9D80</13> 드라바니아 구름바다에 있는 약초밭에서 채집할 수 있다."
6,"TEXT_CLSHRV550_02050_SEQ_06","바실에게 <Sheet(ItemHQ,12879,0)/><13>FF1102280DFF074974656D4851F2324F0103FF04EBA5BCFF04EC9D84</13> 납품했다. 무지 뮤릴라가 모험가를 찾고 있는 모양이다. 이슈가르드 '에테라이트 광장'에 있는 '무지 뮤릴라'를 만나자."
7,"TEXT_CLSHRV550_02050_SEQ_07","무지 뮤릴라가 쓴 기사는 호평을 받고 있는 모양이다. 바실의 다음 요청에 대비해 원예 실력을 기르자.

※ 원예가 레벨이 58 이상 되면 이슈가르드 '에테라이트 광장'에 있는 무지 뮤릴라에게 다음 원예가 퀘스트를 받을 수 있습니다."
