key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNR104_02093_SEQ_00","유격수 야영지에 있는 미데는 결전의 시간이 왔음을 알리고 싶은 듯하다."
1,"TEXT_HEAVNR104_02093_SEQ_01","지금까지의 이야기:
전설의 책 '에니그마 코덱스'에 기록된 이념은 '푸른손'에 의해 비뚤어진 선민주의로 변질되었다. 다시금 '푸른손'의 위험성을 확신한 시드는 야만신 알렉산더를 반드시 파괴하기로 결심했다…….
                        *  *  *
'기공성 알렉산더: 기동편4'에 도전할 수 있게 되었다. 미데만이 알렉산더의 동력원인 핵을 정지시킬 수 있다. 그녀를 핵까지 호위하기 위해, 만반의 준비를 하고 동료들과 함께 미궁에 도전하자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다.(예술의 거리에 있는 <Sheet(EObj,2006170,0)/><13>FF1002280CFF05454F626AF61E9C9A0103FF04EBA5BCFF04EC9D84</13> 통해서도 도전 가능합니다.)"
2,"TEXT_HEAVNR104_02093_SEQ_02","'기공성 알렉산더: 기동편4'를 공략했다. 이 구역에서 탈출하자."
3,"TEXT_HEAVNR104_02093_SEQ_03","미데의 활약에 힘입어 알렉산더는 작동을 정지했지만, 만능의 퀵싱크스는 전혀 동요하지 않았다. 적이 이딜샤이어로 별동대를 보냈을 가능성도 있다. 개구부가 있는 예술의 거리로 돌아가 상황을 확인하자."
4,"TEXT_HEAVNR104_02093_SEQ_04","'감시원 레드브릭스'의 이야기를 들었다. '푸른손' 정예 단원이 아직 '유격수 야영지' 부근에 숨어있을 가능성이 있다고 한다. 만능의 퀵싱크스가 말한 '마지막 부품'의 정체는 과연 무엇일까……?"
5,"TEXT_HEAVNR104_02093_SEQ_05",""
6,"TEXT_HEAVNR104_02093_SEQ_06",""
7,"TEXT_HEAVNR104_02093_SEQ_07",""
8,"TEXT_HEAVNR104_02093_SEQ_08",""
9,"TEXT_HEAVNR104_02093_SEQ_09",""
10,"TEXT_HEAVNR104_02093_SEQ_10",""
11,"TEXT_HEAVNR104_02093_SEQ_11",""
12,"TEXT_HEAVNR104_02093_SEQ_12",""
13,"TEXT_HEAVNR104_02093_SEQ_13",""
14,"TEXT_HEAVNR104_02093_SEQ_14",""
15,"TEXT_HEAVNR104_02093_SEQ_15",""
